load_kg,profile,intervention,window,samples,window_end_tick,bar_mass_kg,contact_impulse_sign,contact_sign_votes,contact_radial_cosine_p50,bar_support_vertical_over_weight_p50,arm_contact_normal_vertical_over_weight_p50,joint_plus_friction_vertical_over_weight_p50,friction_bound_over_weight_p50,joint_vertical_share_p50,joint_share_low_p50,joint_share_high_p50,joint_share_low_p05,joint_share_high_p95,quasi_static_samples,drive_realized_stiffness_fraction_p50,engine_force_nonzero_ticks,engine_force_nonzero_at_linear_limit,attached_samples
25,p28-v1,production,v1,591,601,25,1,1232,-0.999932,1.00143,-0.02816,1.02545,0.129047,1.02815,0.899019,1.1573,0.635728,1.63169,553,0.797712,0,0,599
25,p28-v1,production,pre_gross,591,601,25,1,1232,-0.999932,1.00143,-0.02816,1.02545,0.129047,1.02815,0.899019,1.1573,0.635728,1.63169,553,0.797712,0,0,599
25,p28-v1,production,attached,599,601,25,1,1232,-0.999932,1.0015,-0.0281434,1.02517,0.129054,1.02814,0.899009,1.15732,-0.445523,1.6958,553,0.797712,0,0,599
300,p28-v1,production,v1,0,1,300,1,1460,-0.999869,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,62,62,130
300,p28-v1,production,pre_gross,23,33,300,1,1460,-0.999869,0.919526,0.0177268,0.847277,0.0947676,0.983359,0.891794,1.07638,0.481647,1.11012,1,4.26685,62,62,130
300,p28-v1,production,attached,130,601,300,1,1460,-0.999869,0.895996,0,0.884546,0.00607219,1,0.997892,1.00642,0.660435,1.10013,2,2.77305,62,62,130
60,p28-v1,production,v1,32,42,60,1,6167,-6.64767e-05,1.06821,-0.152836,1.22633,16.3409,1.14084,-14.0862,16.6488,-15.6298,19.5783,2,2.58529,0,0,186
60,p28-v1,production,pre_gross,77,87,60,1,6167,-6.64767e-05,1.03454,-0.257707,1.29975,15.6032,1.25189,-13.2989,16.4781,-16.3916,20.6172,3,1.72926,0,0,186
60,p28-v1,production,attached,186,601,60,1,6167,-6.64767e-05,1.00743,-0.134004,1.15363,15.2482,1.11668,-13.8077,16.561,-28.9483,39.0276,4,1.23594,0,0,186
25,p28-v4,production,v1,591,601,25,1,1232,-0.999932,1.00143,-0.02816,1.02545,0.129047,1.02815,0.899019,1.1573,0.635728,1.63169,553,0.797712,0,0,599
25,p28-v4,production,pre_gross,591,601,25,1,1232,-0.999932,1.00143,-0.02816,1.02545,0.129047,1.02815,0.899019,1.1573,0.635728,1.63169,553,0.797712,0,0,599
25,p28-v4,production,attached,599,601,25,1,1232,-0.999932,1.0015,-0.0281434,1.02517,0.129054,1.02814,0.899009,1.15732,-0.445523,1.6958,553,0.797712,0,0,599
300,p28-v4,production,v1,0,1,300,1,1460,-0.999869,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,62,62,130
300,p28-v4,production,pre_gross,23,33,300,1,1460,-0.999869,0.919526,0.0177268,0.847277,0.0947676,0.983359,0.891794,1.07638,0.481647,1.11012,1,4.26685,62,62,130
300,p28-v4,production,attached,130,601,300,1,1460,-0.999869,0.895996,0,0.884546,0.00607219,1,0.997892,1.00642,0.660435,1.10013,2,2.77305,62,62,130
60,p28-v4,production,v1,32,42,60,1,6167,-6.64767e-05,1.06821,-0.152836,1.22633,16.3409,1.14084,-14.0862,16.6488,-15.6298,19.5783,2,2.58529,0,0,186
60,p28-v4,production,pre_gross,77,87,60,1,6167,-6.64767e-05,1.03454,-0.257707,1.29975,15.6032,1.25189,-13.2989,16.4781,-16.3916,20.6172,3,1.72926,0,0,186
60,p28-v4,production,attached,186,601,60,1,6167,-6.64767e-05,1.00743,-0.134004,1.15363,15.2482,1.11668,-13.8077,16.561,-28.9483,39.0276,4,1.23594,0,0,186
25,p28-v8,production,v1,591,601,25,1,1237,-0.999946,1.00029,-0.0398517,1.03598,0.146816,1.04003,0.893331,1.18652,0.636842,1.63123,548,0.829868,0,0,599
25,p28-v8,production,pre_gross,591,601,25,1,1237,-0.999946,1.00029,-0.0398517,1.03598,0.146816,1.04003,0.893331,1.18652,0.636842,1.63123,548,0.829868,0,0,599
25,p28-v8,production,attached,599,601,25,1,1237,-0.999946,1.00031,-0.039849,1.03593,0.146817,1.04002,0.893317,1.18672,-0.799325,1.70942,548,0.829868,0,0,599
300,p28-v8,production,v1,0,1,300,1,1436,-0.99997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,63,63,130
300,p28-v8,production,pre_gross,23,33,300,1,1436,-0.99997,0.93318,0.0206583,0.862634,0.0950032,0.981667,0.902642,1.07409,0.460517,1.11482,1,4.30629,63,63,130
300,p28-v8,production,attached,130,601,300,1,1436,-0.99997,0.890059,0,0.874063,0.00481028,1,0.999799,1.00451,0.670265,1.10804,1,4.30629,63,63,130
60,p28-v8,production,v1,32,42,60,1,6546,-0.815626,1.05725,-0.159293,1.2488,16.1805,1.14685,-13.6034,16.5575,-15.1925,19.3005,2,1.33364,0,0,190
60,p28-v8,production,pre_gross,82,92,60,1,6546,-0.815626,1.01694,-0.200745,1.27486,15.7391,1.19636,-13.5222,16.6384,-15.3784,21.6317,3,1.33106,0,0,190
60,p28-v8,production,attached,190,601,60,1,6546,-0.815626,0.98225,-0.159293,1.17136,15.0596,1.13824,-13.5956,16.9161,-34.0575,41.9069,3,1.33106,0,0,190
