body,mass_kg,inertia_x,inertia_y,inertia_z,inertia_rot_x,inertia_rot_y,inertia_rot_z,inertia_rot_w,local_com_x,local_com_y,local_com_z,solver_position,solver_velocity,linear_damping,angular_damping
abdomen,13.9,0.0631291643,0.105871662,0.102049164,0,0,0,1,0,0,0,28,1,0.04,0.08
head_neck,8.1,0.094635,0.059535,0.094635,0,0,0,1,0,0,0,28,1,0.04,0.08
left_foot,1.44999993,0.0113704158,0.0122041646,0.00325041637,0,0,0,1,0,0,0,28,1,0.04,0.08
left_forearm,1.6,0.006785868,0.00240666675,0.006785868,0,0,0,1,0,0,0,28,1,0.04,0.08
left_hand,0.6,0.000281250017,0.00108125,0.0011600001,0,0,0,1,0,0,0,28,1,0.04,0.08
left_shank,4.65,0.0641000643,0.0130975,0.0641000643,0,0,0,1,0,0,0,28,1,0.04,0.08
left_thigh,10,0.135115311,0.0540000051,0.135115311,0,0,0,1,0,0,0,28,1,0.04,0.08
left_upper_arm,2.80000019,0.0137420017,0.00672,0.0137420017,0,0,0,1,0,0,0,28,1,0.04,0.08
pelvis,14.2000008,0.08567334,0.144840017,0.153833345,0,0,0,1,0,0,0,28,1,0.04,0.08
right_foot,1.44999993,0.0113704158,0.0122041646,0.00325041637,0,0,0,1,0,0,0,28,1,0.04,0.08
right_forearm,1.6,0.006785866,0.00240666675,0.006785866,0,0,0,1,0,0,0,28,1,0.04,0.08
right_hand,0.6,0.000281250017,0.00108125,0.0011600001,0,0,0,1,0,0,0,28,1,0.04,0.08
right_shank,4.65,0.0641000643,0.0130975,0.0641000643,0,0,0,1,0,0,0,28,1,0.04,0.08
right_thigh,10,0.135115311,0.0540000051,0.135115311,0,0,0,1,0,0,0,28,1,0.04,0.08
right_upper_arm,2.80000019,0.0137419961,0.00672,0.0137419961,0,0,0,1,0,0,0,28,1,0.04,0.08
thorax,21.6,0.21312,0.30528003,0.374400049,0,0,0,1,0,0,0,28,1,0.04,0.08
barbell,25,0.0138764679,14.1037264,14.1037264,0,0,0,1,0,0,0,12,6,0.035,0.055
