load_kg,plant,primary_classification,trim_feasible,ankle_bias_deg,knee_bias_deg,hip_bias_deg,abdomen_bias_deg,thorax_bias_deg,min_capture_margin_m,max_trunk_pitch_rad,min_pelvis_height_m,max_drive_saturation,max_limit_proximity,max_saddle_separation_m,support_loss_samples,capture_violation_samples,nonfinite_samples,com_accel_ap_mps2,com_accel_ml_mps2,com_vel_ap_mps,com_vel_ml_mps,trunk_velocity_rad_s,pelvis_velocity_mps,posture_error_rad
25,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.8358608280093,1.70048591332033,-0.666892037538094,3.41440719598313,3.33167554330793,0.123748913,0.231723964,0.972855,0.300892532,0.06923429,0.005322194,0,0,0,0.08930342,0.0278749429,0.034754876,0.00482806051,0.04804853,0.0187986437,0.0951562151
35,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.8358608280093,1.70048591332033,-0.666892037538094,3.41440719598313,3.33167554330793,0.0883425847,0.314637065,0.9713622,0.3005259,0.139451355,0.007421929,0,0,0,0.06527214,0.03222391,0.0192045,0.005592962,0.0477097258,0.0307086036,0.140636384
45,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.03097788285567,1.08475709147443,-0.29735040685288,3.75032427171574,3.56856139035707,0.103791013,0.375909418,0.9687785,0.300195962,0.204579875,0.009500507,0,0,0,0.0519313775,0.0340950452,0.008177716,0.005908308,0.05678343,0.0273282938,0.185203135
55,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.42285481319109,0.450668466617989,0.100223907154721,4.13458929089235,3.84257936472412,0.103392869,0.452264071,0.9657213,0.299868852,0.281686157,0.0115244417,0,0,0,0.0693113,0.0324517861,0.00976983,0.006085431,0.07326665,0.0367674753,0.233364165
60,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.05907931728648,-0.0389821643887694,0.51470845371855,4.54452360457629,4.13519084893104,0.112448104,0.470314771,0.964642763,0.29984647,0.306219518,0.0125152739,0,0,0,0.0528599434,0.0304565821,0.0106937913,0.006300378,0.0800309852,0.0401303545,0.251655459
70,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.38415448347313,-1.25547859279741,1.89787611774342,5.9746147811509,5.16819943659368,0.101259008,0.438218325,0.96710217,0.300326616,0.288026035,0.0144174676,0,0,0,0.0566121079,0.0279585812,0.0105644157,0.006618359,0.08121633,0.0445551947,0.257276654
85,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.93246582731032,-2.4982250444404,3.69009489325586,7.81465356769627,6.58314567360822,0.0426125973,0.425827861,0.971567154,0.301102668,0.266605854,0.0172785185,0,0,0,0.138949454,0.025734216,0.0260457639,0.00747561874,0.09213393,0.043380782,0.262922436
105,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.80850580860148,-4.43840827303833,6.1890867202781,10.4110087520091,8.49197323852351,0.0491263643,0.213933066,0.9767603,0.303315759,0.2690414,0.0212704949,0,0,0,0.05981113,0.0119656986,0.01075361,0.00543539366,0.0466339253,0.0240248479,0.22114034
125,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-0.973147235986198,-5.96887538157895,7.7147154434203,11.9636645803927,9.49896809776043,0.0356105343,0.1416158,0.9783118,0.304577053,0.618140161,0.0252443142,0,0,0,0.051621452,0.009719004,0.0121287983,0.00597784063,0.0453992374,0.01098425,0.225864366
140,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,EQUILIBRIUM_BIAS_BOUND,True,-0.180393570814984,-7.01111859219588,8.88415993450175,12,10.8066592627454,0.05213081,0.1008721,0.978574336,0.305271536,0.882941246,0.0282357186,0,0,0,0.006795346,0.01601839,0.00282939267,0.0142770326,0.05076044,0.0171581134,0.239910558
155,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,JOINT_LIMIT,False,0.602450951835644,-8.10073873000156,9.80588493323783,12,11.7852732637705,0.02304852,0.172833875,0.978346765,0.3052674,1,0.0311034825,0,0,0,0.061361894,0.0159996524,0.0148582421,0.01746164,0.06978925,0.0281485356,0.265963376
170,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,JOINT_LIMIT,False,2.07556520324648,-9.0583528988337,12,12,12,0.0229543224,0.149103761,0.978381,0.305910051,1,0.03412794,0,0,0,0.0486205928,0.02716884,0.01128176,0.02667591,0.07514702,0.035654597,0.2789314
200,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,SUPPORT_WRENCH_INFEASIBLE,False,3.38495262807183,-11.505514535123,12,12,12,-0.0402113721,1.0393914,0.9647972,0.45809257,1,0.03775286,0,24,0,0.2313738,0.0263270047,0.0479121134,0.012605981,0.545057833,0.195982248,0.52178663
230,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,SADDLE_CONTACT_INFEASIBLE,False,5.4541698380384,-12,12,12,12,-0.0719671249,1.54527557,0.9419158,0.502746344,1,0.0513192527,0,19,0,0.4297932,0.0330365039,0.0561724231,0.0096446285,0.661772966,0.2363814,0.6969841
260,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,SADDLE_CONTACT_INFEASIBLE,False,9.38141582538737,-12,11.6383950958291,11.2376352594059,11.4519656408319,-0.0472408831,1.78158915,0.902558,0.513251066,1,0.05148449,0,12,0,0.5032138,0.0393683352,0.07376488,0.0137706753,0.5554689,0.2746226,0.7839826
300,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,SADDLE_CONTACT_INFEASIBLE,False,12,-12,11.69055200719,9.53738810690563,11.2960203519104,-0.08218756,2.00975466,0.8615222,0.5082953,1,0.05174271,0,17,0,0.696433961,0.06192611,0.110512272,0.0277749486,0.439699173,0.3077155,0.8343665
25,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.89277946015692,1.97813804648061,-0.559682566665293,3.53511227958307,3.45748995225724,0.106230721,0.221757188,0.9745983,0.3024959,0.0479600653,0.00517637562,0,0,0,0.010205932,0.00373614836,0.0003943737,0.000554419,0.0291905645,0.00487681758,0.08728467
60,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.05907931728648,-0.0389821643887694,0.51470845371855,4.54452360457629,4.13519084893104,0.08244227,0.5537582,0.9644027,0.3011602,0.349956065,0.0120450659,0,0,0,0.00459000561,0.01067113,0.00260154251,0.00270758313,0.04369665,0.0108333072,0.280986845
140,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,SUPPORT_WRENCH_INFEASIBLE,False,0.0323028036751349,-6.85290239330527,9.00569303126966,11.845065754557,10.9202028798153,-1.50371194,1.69819629,0.156720445,0.797272265,1,0.02826274,0,394,0,1.00010455,0.224426985,0.296654642,0.0190808941,0.229327172,0.3753899,0.246226609
170,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,SADDLE_CONTACT_INFEASIBLE,False,2.07556520324648,-9.0583528988337,12,12,12,-1.48879826,2.37092137,0.155381843,1.30163336,1,0.0585013367,0,432,0,1.13106763,0.199337021,0.3497027,0.0531681,0.3496174,0.443904757,0.29858
300,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,SADDLE_CONTACT_INFEASIBLE,False,12,-12,11.9982509190721,9.12837897193577,11.9893448851286,-1.49623036,2.52303839,0.113295369,0.532159865,1,0.0508780852,158,500,0,1.42730355,0.2352209,0.339470655,0.01613258,0.3663106,0.4956622,0.311286062
