load_kg,plant,converged,iterations,evaluations,rejected_steps,initial_residual_norm,final_residual_norm,classification,ankle_bias_deg,knee_bias_deg,hip_bias_deg,abdomen_bias_deg,thorax_bias_deg,com_accel_ap_mps2,com_accel_ml_mps2,com_vel_ap_mps,com_vel_ml_mps,trunk_velocity_rad_s,trunk_accel_rad_s2,pelvis_velocity_mps,joint_velocity_rad_s,posture_error_rad,min_capture_margin_m,max_trunk_pitch_rad,min_pelvis_height_m,max_drive_saturation,max_limit_proximity,max_saddle_separation_m
25,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,2,7,0,0.984917683975361,0.148822303092752,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-2.8358608280093032,1.7004859133203321,-0.6668920375380939,3.41440719598313,3.3316755433079259,0.08930342,0.0278749429,0.034754876,0.00482806051,0.04804853,0.201590568,0.0187986437,0.0596845262,0.09515622,0.1237489,0.231724,0.972855,0.3008925,0.06923429,0.005322194
35,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,1,1,0,0.150635012889647,0.150635012889647,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-2.8358608280093032,1.7004859133203321,-0.6668920375380939,3.41440719598313,3.3316755433079259,0.06527214,0.03222391,0.0192045,0.005592962,0.0477097258,0.300076127,0.0307086036,0.07076696,0.1406364,0.08834258,0.3146371,0.9713622,0.3005259,0.1394514,0.007421929
45,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,2,7,0,0.317189150756197,0.153924865838074,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-2.0309778828556655,1.0847570914744269,-0.29735040685288044,3.7503242717157379,3.5685613903570683,0.0519313775,0.0340950452,0.008177716,0.005908308,0.05678343,0.393253654,0.0273282938,0.07896695,0.1852031,0.103791,0.3759094,0.9687785,0.300196,0.2045799,0.009500507
55,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,2,7,0,0.294894157843823,0.197200448602877,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-1.4228548131910945,0.45066846661798876,0.10022390715472057,4.1345892908923458,3.8425793647241195,0.0693113,0.0324517861,0.00976983,0.006085431,0.07326665,0.508676469,0.0367674753,0.09380414,0.2333642,0.1033929,0.4522641,0.9657213,0.2998689,0.2816862,0.01152444
60,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,2,7,0,0.26010280564685,0.212695472573893,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-1.0590793172864812,-0.038982164388769391,0.51470845371854979,4.5445236045762947,4.1351908489310443,0.0528599434,0.0304565821,0.0106937913,0.006300378,0.0800309852,0.5373551,0.0401303545,0.09801936,0.2516555,0.1124481,0.4703148,0.9646428,0.2998465,0.3062195,0.01251527
70,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,4,19,0,0.331350828681475,0.223872258741948,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-1.3841544834731307,-1.2554785927974055,1.8978761177434249,5.9746147811509,5.1681994365936781,0.0566121079,0.0279585812,0.0105644157,0.006618359,0.08121633,0.4699178,0.0445551947,0.09784864,0.2572767,0.101259,0.4382183,0.9671022,0.3003266,0.288026,0.01441747
85,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,4,19,0,0.410524679782368,0.240244495067262,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-1.9324658273103235,-2.4982250444404008,3.6900948932558615,7.8146535676962721,6.5831456736082172,0.138949454,0.025734216,0.0260457639,0.00747561874,0.09213393,0.3373917,0.043380782,0.09720733,0.2629224,0.0426126,0.4258279,0.9715672,0.3011027,0.2666059,0.01727852
105,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,4,19,0,0.566649121189696,0.167594367015095,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-1.8085058086014825,-4.438408273038327,6.189086720278099,10.411008752009067,8.4919732385235136,0.05981113,0.0119656986,0.01075361,0.00543539366,0.0466339253,0.132874414,0.0240248479,0.08340862,0.2211403,0.04912636,0.2139331,0.9767603,0.3033158,0.2690414,0.02127049
125,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,3,13,0,0.551642364286016,0.158662515702813,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-0.9731472359861979,-5.9688753815789495,7.714715443420296,11.963664580392683,9.4989680977604323,0.051621452,0.009719004,0.0121287983,0.00597784063,0.0453992374,0.0920468345,0.01098425,0.111464947,0.2258644,0.03561053,0.1416158,0.9783118,0.3045771,0.6181402,0.02524431
140,GAM13_PRODUCTION_PLANT_V2_GAM13_SADDLE_BAR_LIMB_FILTER_V2,True,3,13,0,0.522955347973853,0.174625957302258,EQUILIBRIUM_BIAS_BOUND,-0.18039357081498414,-7.0111185921958761,8.8841599345017457,12,10.806659262745418,0.006795346,0.01601839,0.00282939267,0.0142770326,0.05076044,0.07698368,0.0171581134,0.145434856,0.2399106,0.05213081,0.1008721,0.9785743,0.3052715,0.8829412,0.02823572
