run_id,load_kg,system_mass_kg,bar_mass_kg,equilibrium_load_kg,family,flat_bias_deg,standing_surface_deg,total_anatomical_deg,composed_logical_deg_a,composed_logical_deg_b,composed_matches_total,max_composed_drift_deg,hard_bound_deg,at_hard_bound,v2_trim_deg,runtime_minus_trim_deg,max_canonical_deviation_deg,tail_signed_logical_deviation_deg
p28-v1-k5x-production-25kg,25,124.999992,25,25,Ankle,0,0,0,0,0,true,0,12.0000277,false,-2.89277935,2.89277935,0.7433542,0.61911273
p28-v1-k5x-production-25kg,25,124.999992,25,25,Knee,0,0,0,0,0,true,0,12.0000277,false,1.97813809,-1.97813809,0.323851,0.2613916
p28-v1-k5x-production-25kg,25,124.999992,25,25,Hip,0,0,0,0,0,true,0,12.0000277,false,-0.559682548,0.559682548,0.189745575,0.007359488
p28-v1-k5x-production-25kg,25,124.999992,25,25,Abdomen,0,3.93,3.93,3.93000031,3.93000031,true,0,12.0000277,false,3.53511238,0.3948877,3.19481373,3.15756345
p28-v1-k5x-production-25kg,25,124.999992,25,25,Thorax,0,3.67,3.67,3.67000031,3.67000031,true,0,12.0000277,false,3.45749,0.212510109,3.150402,3.144325
p28-v1-k5x-production-60kg,60,159.999969,60,60,Ankle,0,0,0,0,0,true,0,12.0000277,false,-1.05907929,1.05907929,1.37228119,1.2471168
p28-v1-k5x-production-60kg,60,159.999969,60,60,Knee,0,0,0,0,0,true,0,12.0000277,false,-0.0389821641,0.0389821641,0.482948869,0.4250088
p28-v1-k5x-production-60kg,60,159.999969,60,60,Hip,0,0,0,0,0,true,0,12.0000277,false,0.514708459,-0.514708459,0.234067857,0.0413447954
p28-v1-k5x-production-60kg,60,159.999969,60,60,Abdomen,0,7.4,7.4,7.400001,7.400001,true,0,12.0000277,false,4.54452372,2.85547638,6.36470842,6.30070734
p28-v1-k5x-production-60kg,60,159.999969,60,60,Thorax,0,6.6,6.6,6.6,6.6,true,0,12.0000277,false,4.135191,2.464809,5.78667068,5.76880455
p28-v1-k5x-production-140kg,140,240.000015,140,140,Ankle,0,0,0,0,0,true,0,12.0000277,false,0.0323028043,-0.0323028043,2.65944219,2.12838078
p28-v1-k5x-production-140kg,140,240.000015,140,140,Knee,0,0,0,0,0,true,0,12.0000277,false,-6.85290241,6.85290241,0.8891079,0.7731506
p28-v1-k5x-production-140kg,140,240.000015,140,140,Hip,0,0,0,0,0,true,0,12.0000277,false,9.005693,-9.005693,0.3774232,0.05970539
p28-v1-k5x-production-140kg,140,240.000015,140,140,Abdomen,0,11.2,11.2,11.2,11.2,true,0,12.0000277,false,11.8450661,-0.645066261,9.74678,9.632885
p28-v1-k5x-production-140kg,140,240.000015,140,140,Thorax,0,10.3,10.3,10.3,10.3,true,0,12.0000277,false,10.9202032,-0.620203,8.936703,8.916749
p28-v1-k5x-production-170kg,170,270.000061,170,170,Ankle,0,0,0,0,0,true,0,12.0000277,false,2.075565,-2.075565,2.84653163,2.15961766
p28-v1-k5x-production-170kg,170,270.000061,170,170,Knee,0,0,0,0,0,true,0,12.0000277,false,-9.058352,9.058352,1.08569241,0.940815747
p28-v1-k5x-production-170kg,170,270.000061,170,170,Hip,0,0,0,0,0,true,0,12.0000277,false,12,-12,0.463093072,0.10447067
p28-v1-k5x-production-170kg,170,270.000061,170,170,Abdomen,0,11.8,11.8,11.8,11.8,true,0,12.0000277,false,12,-0.199999809,10.0461016,9.916424
p28-v1-k5x-production-170kg,170,270.000061,170,170,Thorax,0,11,11,11,11,true,0,12.0000277,false,12,-1,9.37644,9.360296
p28-v1-k5x-production-300kg,300,400.000031,300,300,Ankle,0,0,0,0,0,true,0,12.0000277,false,12,-12,41.32745,0.077882126
p28-v1-k5x-production-300kg,300,400.000031,300,300,Knee,0,0,0,0,0,true,0,12.0000277,false,-12,12,7.366784,0.02255175
p28-v1-k5x-production-300kg,300,400.000031,300,300,Hip,0,0,0,0,0,true,0,12.0000277,false,11.998251,-11.998251,13.6620913,-9.688671
p28-v1-k5x-production-300kg,300,400.000031,300,300,Abdomen,0,12,12,12,12,true,0,12.0000277,true,9.128379,2.87162113,23.833353,11.2274313
p28-v1-k5x-production-300kg,300,400.000031,300,300,Thorax,0,12,12,12,12,true,0,12.0000277,true,11.9893446,0.0106554031,17.9116173,16.5483551
