segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-1.336603E-05,1.08217585,-0.008903499,1,-6.815129E-05,9.803773E-07,800,85,1482
thorax,abdomen,trunk,-6.22834432E-06,1.18794274,0.00286064763,1,-0.00010086337,-1.31835623E-05,800,85,1482
head_neck,thorax,neck,3.528527E-05,1.531904,-0.0325527638,1,5.53230057E-05,1.21090343E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.212478444,1.46753645,-0.05838396,-0.07118553,-0.0184222534,0.997292936,500,55,494
right_upper_arm,thorax,shoulder,0.212461859,1.467592,-0.0583963767,0.07121125,-0.0183392186,0.997292638,500,55,494
left_forearm,left_upper_arm,elbow,-0.4628512,1.45844054,-0.0840158463,-0.0332078,0.9992882,0.0178973582,450,45,380
right_forearm,right_upper_arm,elbow,0.4628322,1.45858,-0.08403225,-0.0328207538,-0.999302864,-0.0177957043,450,45,380
left_hand,left_forearm,wrist,-0.70549,1.45072341,-0.0573953837,0.07295351,0.018707931,0.997159839,250,30,171
right_hand,right_forearm,wrist,0.705471337,1.45096242,-0.0574008375,-0.07327405,0.018774664,0.9971351,250,30,171
left_thigh,pelvis,hip,-0.114324935,0.981171846,-0.0375299454,1,3.01747041E-05,-1.49065781E-05,900,90,2052
right_thigh,pelvis,hip,0.114254639,0.981134653,-0.0375464074,1,0.000153508678,-3.83383776E-05,900,90,2052
left_shank,left_thigh,knee,-0.114333741,0.552346945,-0.03620486,1,-4.09850145E-05,-1.76383382E-05,800,80,2052
right_shank,right_thigh,knee,0.114320472,0.552334666,-0.0361915976,1,0.000153530927,-3.82488979E-05,800,80,2052
left_foot,left_shank,ankle,-0.114362322,0.0963077247,-0.0865727961,1,-6.407516E-05,5.49253264E-06,650,70,1710
right_foot,right_shank,ankle,0.11442706,0.09629488,-0.0865819,0.99999994,0.000283395755,-0.000162796321,650,70,1710
barbell,thorax,saddle,1.08445483E-05,1.46701443,-0.117657237,NA,NA,NA,50000,3000,60000
