arm,run_id,load_kg,system_mass_kg,bar_mass_kg,equilibrium_load_kg,family,flat_bias_deg,standing_surface_deg,total_anatomical_deg,composed_logical_deg_a,composed_logical_deg_b,composed_matches_total,max_composed_drift_deg,hard_bound_deg,at_hard_bound,v2_trim_deg,runtime_minus_trim_deg,max_canonical_deviation_deg,tail_signed_logical_deviation_deg
A0,p28-v1-production-25kg,25,124.999992,25,25,Ankle,0,0,0,0,0,true,0,12.0000277,false,-2.89277935,2.89277935,1.271628,-1.12379944
A0,p28-v1-production-25kg,25,124.999992,25,25,Knee,0,0,0,0,0,true,0,12.0000277,false,1.97813809,-1.97813809,1.43855429,1.25713372
A0,p28-v1-production-25kg,25,124.999992,25,25,Hip,0,0,0,0,0,true,0,12.0000277,false,-0.559682548,0.559682548,0.749645054,0.6315728
A0,p28-v1-production-25kg,25,124.999992,25,25,Abdomen,0,3.93,3.93,3.93000031,3.93000031,true,0,12.0000277,false,3.53511238,0.3948877,0.764122367,0.172070727
A0,p28-v1-production-25kg,25,124.999992,25,25,Thorax,0,3.67,3.67,3.67000031,3.67000031,true,0,12.0000277,false,3.45749,0.212510109,0.201741114,0.173036039
A0,p28-v1-production-60kg,60,159.999969,60,60,Ankle,0,0,0,0,0,true,0,12.0000277,false,-1.05907929,1.05907929,5.7021594,-5.200877
A0,p28-v1-production-60kg,60,159.999969,60,60,Knee,0,0,0,0,0,true,0,12.0000277,false,-0.0389821641,0.0389821641,4.74595737,4.30060768
A0,p28-v1-production-60kg,60,159.999969,60,60,Hip,0,0,0,0,0,true,0,12.0000277,false,0.514708459,-0.514708459,4.04278326,3.59547758
A0,p28-v1-production-60kg,60,159.999969,60,60,Abdomen,0,7.4,7.4,7.400001,7.400001,true,0,12.0000277,false,4.54452372,2.85547638,4.856354,-3.95420432
A0,p28-v1-production-60kg,60,159.999969,60,60,Thorax,0,6.6,6.6,6.6,6.6,true,0,12.0000277,false,4.135191,2.464809,3.32802176,-2.82242131
A0,p28-v1-production-140kg,140,240.000015,140,140,Ankle,0,0,0,0,0,true,0,12.0000277,false,0.0323028043,-0.0323028043,42.8111649,2.66728
A0,p28-v1-production-140kg,140,240.000015,140,140,Knee,0,0,0,0,0,true,0,12.0000277,false,-6.85290241,6.85290241,24.1625175,-1.39785
A0,p28-v1-production-140kg,140,240.000015,140,140,Hip,0,0,0,0,0,true,0,12.0000277,false,9.005693,-9.005693,17.3607826,-9.028084
A0,p28-v1-production-140kg,140,240.000015,140,140,Abdomen,0,11.2,11.2,11.2,11.2,true,0,12.0000277,false,11.8450661,-0.645066261,36.1850433,12.2407808
A0,p28-v1-production-140kg,140,240.000015,140,140,Thorax,0,10.3,10.3,10.3,10.3,true,0,12.0000277,false,10.9202032,-0.620203,22.718729,13.7047338
A0,p28-v1-production-170kg,170,270.000061,170,170,Ankle,0,0,0,0,0,true,0,12.0000277,false,2.075565,-2.075565,40.1175,2.85498524
A0,p28-v1-production-170kg,170,270.000061,170,170,Knee,0,0,0,0,0,true,0,12.0000277,false,-9.058352,9.058352,34.72881,-1.365558
A0,p28-v1-production-170kg,170,270.000061,170,170,Hip,0,0,0,0,0,true,0,12.0000277,false,12,-12,23.0620461,-9.23661
A0,p28-v1-production-170kg,170,270.000061,170,170,Abdomen,0,11.8,11.8,11.8,11.8,true,0,12.0000277,false,12,-0.199999809,37.0382919,11.8547535
A0,p28-v1-production-170kg,170,270.000061,170,170,Thorax,0,11,11,11,11,true,0,12.0000277,false,12,-1,25.8808,13.8435059
A0,p28-v1-production-300kg,300,400.000031,300,300,Ankle,0,0,0,0,0,true,0,12.0000277,false,12,-12,55.2089462,1.81754351
A0,p28-v1-production-300kg,300,400.000031,300,300,Knee,0,0,0,0,0,true,0,12.0000277,false,-12,12,75.6596451,-1.2107743
A0,p28-v1-production-300kg,300,400.000031,300,300,Hip,0,0,0,0,0,true,0,12.0000277,false,11.998251,-11.998251,37.54628,-9.725274
A0,p28-v1-production-300kg,300,400.000031,300,300,Abdomen,0,12,12,12,12,true,0,12.0000277,true,9.128379,2.87162113,37.9471054,10.6904335
A0,p28-v1-production-300kg,300,400.000031,300,300,Thorax,0,12,12,12,12,true,0,12.0000277,true,11.9893446,0.0106554031,21.6362152,14.7362595
G1,p28-v1-balance.posture_guard_false-25kg,25,124.999992,25,25,Ankle,0,0,0,0,0,true,0,12.0000277,false,-2.89277935,2.89277935,1.26422036,-1.10769367
G1,p28-v1-balance.posture_guard_false-25kg,25,124.999992,25,25,Knee,0,0,0,0,0,true,0,12.0000277,false,1.97813809,-1.97813809,1.43146372,1.26962316
G1,p28-v1-balance.posture_guard_false-25kg,25,124.999992,25,25,Hip,0,0,0,0,0,true,0,12.0000277,false,-0.559682548,0.559682548,0.744406343,0.6374977
