load_kg,arm,run_id,impedance_factor,system_mass_kg,bar_mass_kg,k_knee_pair,k_hip_pair,k_lumbar,k_thorax,tau_knee_nm,tau_hip_nm,tau_lumbar_nm,tau_thorax_nm,g_knee,g_hip,g_lumbar,g_thorax,eig1_k_minus_g,eig2_k_minus_g,eig3_k_minus_g,eig4_k_minus_g,spine_normalized_min_eig,spine_stable,hip_spine_normalized_min_eig,hip_spine_stable,knee_hip_spine_normalized_min_eig,knee_hip_spine_stable,min_stable_factor_spine,min_stable_factor_hip_spine,min_stable_factor_knee_hip_spine,required_knee_bias_deg,required_hip_bias_deg,required_abdomen_bias_deg,required_thorax_bias_deg,max_required_bias_deg,within_12_deg
25,A0,p28-v1-production-25kg,1,125,25,1600,1800,800,800,-13.7562,-12.3793,-33.4822,-41.7516,762.003,321.944,243.646,169.309,137.857,764.886,964.059,1636.3,0.525228,true,0.385442,true,0.12516,true,0.474772,0.614558,0.87484,-0.492606,0.394046,2.39799,2.99024,2.99024,true
25,A0,p28-v1-production-25kg,3,125,25,4800,5400,2400,2400,-13.7562,-12.3793,-33.4822,-41.7516,762.003,321.944,243.646,169.309,1940.6,2366.48,4012.71,5183.3,0.841743,true,0.795147,true,0.708387,true,0.474772,0.614558,0.87484,-0.164202,0.131349,0.799329,0.996746,0.996746,true
60,A0,p28-v1-production-60kg,1,160,60,1600,1800,800,800,-41.1017,-38.3897,-68.9988,-81.6181,1077.36,490.056,376.908,266.236,-382.213,742.24,841.328,1588.09,0.258128,true,0.0429442,true,-0.332519,false,0.741872,0.957056,1.33252,-1.47185,1.22198,4.94168,5.84546,5.84546,true
60,A0,p28-v1-production-60kg,3,160,60,4800,5400,2400,2400,-41.1017,-38.3897,-68.9988,-81.6181,1077.36,490.056,376.908,266.236,1605.41,2349.43,3723.39,5111.21,0.752709,true,0.680981,true,0.555827,true,0.741872,0.957056,1.33252,-0.490616,0.407327,1.64723,1.94849,1.94849,true
140,A0,p28-v1-production-140kg,1,240,140,1600,1800,800,800,-103.663,-98.6279,-151.059,-173.612,1799.43,875.55,682.611,488.87,-1651.51,581.323,725.845,1497.88,-0.355145,false,-0.743335,false,-1.38568,false,1.35515,1.74333,2.38568,-3.71216,3.13942,10.8188,12.434,12.434,false
140,A0,p28-v1-production-140kg,3,240,140,4800,5400,2400,2400,-103.663,-98.6279,-151.059,-173.612,1799.43,875.55,682.611,488.87,645.117,2309.1,3220.93,4978.39,0.548285,true,0.418888,true,0.204772,true,1.35515,1.74333,2.38568,-1.23739,1.04647,3.60626,4.14467,4.14467,true
170,A0,p28-v1-production-170kg,1,270,170,1600,1800,800,800,-127.088,-121.205,-181.82,-208.093,2070.38,1020.28,797.409,572.512,-2136.74,498.829,709.104,1468.22,-0.585514,false,-1.03867,false,-1.78152,false,1.58551,2.03867,2.78152,-4.551,3.85807,13.0219,14.9036,14.9036,false
170,A0,p28-v1-production-170kg,3,270,170,4800,5400,2400,2400,-127.088,-121.205,-181.82,-208.093,2070.38,1020.28,797.409,572.512,234.485,2293.27,3077.02,4934.63,0.471495,true,0.320442,true,0.0728271,true,1.58551,2.03867,2.78152,-1.517,1.28602,4.34063,4.96786,4.96786,true
300,A0,p28-v1-production-300kg,1,400,300,1600,1800,800,800,-228.321,-219.039,-315.282,-357.616,3244.73,1647.7,1295.12,935.207,-4255.69,134.75,643.333,1354.86,-1.58441,false,-2.31926,false,-3.49831,false,2.58441,3.31926,4.49831,-8.17615,6.97221,22.5804,25.6124,25.6124,false
300,A0,p28-v1-production-300kg,3,400,300,4800,5400,2400,2400,-228.321,-219.039,-315.282,-357.616,3244.73,1647.7,1295.12,935.207,-1700.46,2213.73,2599.03,4764.95,0.13853,true,-0.10642,false,-0.499436,false,2.58441,3.31926,4.49831,-2.72538,2.32407,7.52681,8.53746,8.53746,true
