run_id,load_kg,system_mass_kg,bar_mass_kg,equilibrium_load_kg,family,flat_bias_deg,standing_surface_deg,total_anatomical_deg,composed_logical_deg_a,composed_logical_deg_b,composed_matches_total,max_composed_drift_deg,hard_bound_deg,at_hard_bound,v2_trim_deg,runtime_minus_trim_deg,max_canonical_deviation_deg,tail_signed_logical_deviation_deg
p28-v1-k3x-equilibrium.target_v2_trim_3x-25kg,25,124.999992,25,25,Ankle,-1.98916245,0,-1.98916245,1.98916245,1.98916245,true,0,12.0000277,false,-2.89277935,0.9036169,1.02181447,-0.9239885
p28-v1-k3x-equilibrium.target_v2_trim_3x-25kg,25,124.999992,25,25,Knee,1.492995,0,1.492995,1.492995,1.492995,true,0,12.0000277,false,1.97813809,-0.485143065,2.120712,2.04457545
p28-v1-k3x-equilibrium.target_v2_trim_3x-25kg,25,124.999992,25,25,Hip,-0.420318931,0,-0.420318931,0.420318931,0.420318931,true,0,12.0000277,false,-0.559682548,0.139363617,0.57334733,0.5339178
p28-v1-k3x-equilibrium.target_v2_trim_3x-25kg,25,124.999992,25,25,Abdomen,-0.239516482,3.93,3.69048357,3.69048357,3.69048357,true,0,12.0000277,false,3.53511238,0.155371189,2.42320013,2.36165571
p28-v1-k3x-equilibrium.target_v2_trim_3x-25kg,25,124.999992,25,25,Thorax,-0.21873188,3.67,3.4512682,3.451269,3.451269,true,0,12.0000277,false,3.45749,-0.00622177124,2.48728,2.473547
p28-v1-k3x-equilibrium.target_v2_trim_3x-60kg,60,159.999969,60,60,Ankle,-1.28230655,0,-1.28230655,1.28230643,1.28230643,true,0,12.0000277,false,-1.05907929,-0.223227262,2.08872962,-1.970211
p28-v1-k3x-equilibrium.target_v2_trim_3x-60kg,60,159.999969,60,60,Knee,1.08679819,0,1.08679819,1.08679819,1.08679819,true,0,12.0000277,false,-0.0389821641,1.12578034,2.32764077,2.27510667
p28-v1-k3x-equilibrium.target_v2_trim_3x-60kg,60,159.999969,60,60,Hip,-0.341306478,0,-0.341306478,0.3413065,0.3413065,true,0,12.0000277,false,0.514708459,-0.856014967,1.1790061,1.06487656
p28-v1-k3x-equilibrium.target_v2_trim_3x-60kg,60,159.999969,60,60,Abdomen,-3.67465472,7.4,3.72534537,3.72534561,3.72534561,true,0,12.0000277,false,4.54452372,-0.819178343,0.7295379,0.248775363
p28-v1-k3x-equilibrium.target_v2_trim_3x-60kg,60,159.999969,60,60,Thorax,-3.18031549,6.6,3.41968441,3.41968441,3.41968441,true,0,12.0000277,false,4.135191,-0.715506554,1.11345327,1.09590292
p28-v1-k3x-equilibrium.target_v2_trim_3x-140kg,140,240.000015,140,140,Ankle,2.42926955,0,2.42926955,-2.42926979,-2.42926979,true,0,12.0000277,false,0.0323028043,2.3969667,3.64375782,-3.32973361
p28-v1-k3x-equilibrium.target_v2_trim_3x-140kg,140,240.000015,140,140,Knee,-0.0902358741,0,-0.0902358741,-0.0902358741,-0.0902358741,true,0,12.0000277,false,-6.85290241,6.7626667,3.59051919,2.49257565
p28-v1-k3x-equilibrium.target_v2_trim_3x-140kg,140,240.000015,140,140,Hip,1.68422258,0,1.68422258,-1.6842227,-1.6842227,true,0,12.0000277,false,9.005693,-7.32147074,1.414965,0.4484064
p28-v1-k3x-equilibrium.target_v2_trim_3x-140kg,140,240.000015,140,140,Abdomen,-5.87025452,11.2,5.32974529,5.32974625,5.32974625,true,0,12.0000277,false,11.8450661,-6.515321,4.576999,-3.25208759
p28-v1-k3x-equilibrium.target_v2_trim_3x-140kg,140,240.000015,140,140,Thorax,-5.31962633,10.3,4.980374,4.980375,4.980375,true,0,12.0000277,false,10.9202032,-5.93982935,1.13296473,-0.508198
p28-v1-k3x-equilibrium.target_v2_trim_3x-170kg,170,270.000061,170,170,Ankle,4.31317472,0,4.31317472,-4.31317472,-4.31317472,true,0,12.0000277,false,2.075565,2.23760962,3.44134712,-3.05341983
p28-v1-k3x-equilibrium.target_v2_trim_3x-170kg,170,270.000061,170,170,Knee,-0.99503,0,-0.99503,-0.99503,-0.99503,true,0,12.0000277,false,-9.058352,8.063322,2.83247232,1.87863314
p28-v1-k3x-equilibrium.target_v2_trim_3x-170kg,170,270.000061,170,170,Hip,2.68622684,0,2.68622684,-2.68622684,-2.68622684,true,0,12.0000277,false,12,-9.313773,0.7359469,-0.170090184
p28-v1-k3x-equilibrium.target_v2_trim_3x-170kg,170,270.000061,170,170,Abdomen,-5.3767767,11.8,6.4232235,6.42322445,6.42322445,true,0,12.0000277,false,12,-5.5767765,4.88785,-3.718651
p28-v1-k3x-equilibrium.target_v2_trim_3x-170kg,170,270.000061,170,170,Thorax,-5.20660257,11,5.79339743,5.793398,5.793398,true,0,12.0000277,false,12,-6.20660257,1.21109867,-0.7371069
p28-v1-k3x-equilibrium.target_v2_trim_3x-300kg,300,400.000031,300,300,Ankle,7.09690332,0,7.09690332,-7.09690332,-7.09690332,true,0,12.0000277,false,12,-4.90309668,53.34578,-14.9054432
p28-v1-k3x-equilibrium.target_v2_trim_3x-300kg,300,400.000031,300,300,Knee,-6.017563,0,-6.017563,-6.017563,-6.017563,true,0,12.0000277,false,-12,5.982437,5.497313,-4.502866
p28-v1-k3x-equilibrium.target_v2_trim_3x-300kg,300,400.000031,300,300,Hip,6.17351341,0,6.17351341,-6.173513,-6.173513,true,0,12.0000277,false,11.998251,-5.82473755,16.2924576,2.66595769
p28-v1-k3x-equilibrium.target_v2_trim_3x-300kg,300,400.000031,300,300,Abdomen,-0.5617962,12,11.4382038,11.4382057,11.4382057,true,0,12.0000277,false,9.128379,2.309825,36.65098,1.1173687
p28-v1-k3x-equilibrium.target_v2_trim_3x-300kg,300,400.000031,300,300,Thorax,-1.94680119,12,10.0531988,10.0532,10.0532,true,0,12.0000277,false,11.9893446,-1.93614578,17.6943111,1.206646
