segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-2.69091579E-05,1.084178,-0.009836229,1,-0.000199669041,4.190329E-05,2400,147.224319,1482
thorax,abdomen,trunk,-6.3158277E-06,1.18992877,0.00254339725,1,-9.327406E-05,7.984536E-06,2400,147.224319,1482
head_neck,thorax,neck,3.754272E-05,1.53431284,-0.0296133384,1,5.68845062E-05,4.55567242E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.21251829,1.47010589,-0.0560606867,-0.07356631,-0.0278919563,0.9969002,500,55,494
right_upper_arm,thorax,shoulder,0.212514952,1.470139,-0.0560736768,0.0736025944,-0.027843548,0.9968989,500,55,494
left_forearm,left_upper_arm,elbow,-0.462802559,1.46027851,-0.0825025737,-0.0372279957,0.9989295,0.0274580978,450,45,380
right_forearm,right_upper_arm,elbow,0.4627978,1.46036875,-0.08252925,-0.0369521119,-0.9989414,-0.02739526,450,45,380
left_hand,left_forearm,wrist,-0.7054842,1.45123863,-0.05713661,0.06699328,0.008956313,0.997713268,250,30,171
right_hand,right_forearm,wrist,0.7054814,1.45140243,-0.05717395,-0.06710753,0.008985137,0.9977053,250,30,171
left_thigh,pelvis,hip,-0.114344671,0.983017743,-0.0381159,1,-4.251983E-05,-1.30063472E-05,2700,155.884567,2052
right_thigh,pelvis,hip,0.114210531,0.9829415,-0.03815269,0.99999994,0.000412738329,-7.091805E-05,2700,155.884567,2052
left_shank,left_thigh,knee,-0.114391945,0.5541698,-0.0357421637,1,-0.00012700606,-9.538283E-06,2400,138.564056,2052
right_shank,right_thigh,knee,0.114387587,0.5541432,-0.035760887,0.99999994,0.000412864378,-7.018196E-05,2400,138.564056,2052
left_foot,left_shank,ankle,-0.114455454,0.0980963558,-0.08601388,1,-0.00013049136,1.07971391E-05,1950,121.243553,1710
right_foot,right_shank,ankle,0.114635639,0.0980764255,-0.08615948,0.999999762,0.000610200455,-0.000228750228,1950,121.243553,1710
barbell,thorax,saddle,8.182583E-06,1.47078371,-0.116812341,NA,NA,NA,50000,3000,60000
