segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-2.011986E-05,1.08709729,-0.0100850221,1,-0.000189786908,9.63435959E-05,800,85,1482
thorax,abdomen,trunk,-9.892456E-07,1.1929388,0.00235580839,1,-3.556815E-05,5.88419243E-05,800,85,1482
head_neck,thorax,neck,2.1531423E-05,1.5379324,-0.025255613,1,3.62462124E-05,7.588424E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.212602526,1.47389424,-0.052546598,-0.07735293,-0.0406550355,0.9961745,500,55,494
right_upper_arm,thorax,shoulder,0.212594837,1.47392142,-0.0525761545,0.07750576,-0.0407108329,0.9961604,500,55,494
left_forearm,left_upper_arm,elbow,-0.462750554,1.46281374,-0.0802998,-0.0439068936,0.9982293,0.0401293561,450,45,380
right_forearm,right_upper_arm,elbow,0.46273914,1.46287227,-0.08037778,-0.04377581,-0.998232961,-0.0401827246,450,45,380
left_hand,left_forearm,wrist,-0.7055012,1.45171022,-0.056918174,0.05797457,-0.00388658,0.9983105,250,30,171
right_hand,right_forearm,wrist,0.705492556,1.45180118,-0.0570267364,-0.0579623431,-0.003980927,0.998310864,250,30,171
left_thigh,pelvis,hip,-0.114347458,0.985708356,-0.0382961221,1,1.54551071E-05,6.282216E-05,900,90,2052
right_thigh,pelvis,hip,0.114191733,0.9855488,-0.0383081734,0.9999999,0.000428637228,9.531047E-05,900,90,2052
left_shank,left_thigh,knee,-0.114383243,0.5568037,-0.0359597765,1,-0.000114507406,7.086933E-05,800,80,2052
right_shank,right_thigh,knee,0.11437539,0.556748569,-0.03600095,0.9999999,0.0004285987,9.548469E-05,800,80,2052
left_foot,left_shank,ankle,-0.114444286,0.100551441,-0.0850966,1,-0.000140788237,0.000121474077,650,70,1710
right_foot,right_shank,ankle,0.114658333,0.100498952,-0.08525606,0.999999762,0.000686831831,-0.000102365251,650,70,1710
barbell,thorax,saddle,2.266967E-06,1.47641706,-0.115654334,NA,NA,NA,50000,3000,60000
