segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-1.87359256E-05,1.08629644,-0.0100655984,1,-0.000164641082,7.81461E-05,800,85,1482
thorax,abdomen,trunk,-2.11217321E-06,1.19211948,0.00229563843,1,-4.67080827E-05,4.49629042E-05,800,85,1482
head_neck,thorax,neck,2.36405431E-05,1.53694558,-0.0264820568,1,3.886524E-05,6.452633E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.212579429,1.4728663,-0.0535493046,-0.07621597,-0.03732835,0.996392369,500,55,494
right_upper_arm,thorax,shoulder,0.212569073,1.47289979,-0.05357466,0.07633873,-0.03734829,0.996382236,500,55,494
left_forearm,left_upper_arm,elbow,-0.4627674,1.4621408,-0.08091144,-0.0420271233,0.998437464,0.0368298553,450,45,380
right_forearm,right_upper_arm,elbow,0.462753683,1.46221423,-0.0809767842,-0.0418603756,-0.9984439,-0.03684521,450,45,380
left_hand,left_forearm,wrist,-0.7054978,1.451606,-0.0569561869,0.06050712,-0.0005246996,0.9981676,250,30,171
right_hand,right_forearm,wrist,0.705486655,1.45172012,-0.057047978,-0.06052433,-0.0005805916,0.998166561,250,30,171
left_thigh,pelvis,hip,-0.114341944,0.984940052,-0.03813838,1,2.062093E-05,4.73673026E-05,900,90,2052
right_thigh,pelvis,hip,0.11420276,0.9848111,-0.03815183,0.99999994,0.000375102885,7.498575E-05,900,90,2052
left_shank,left_thigh,knee,-0.114373483,0.55605793,-0.035728354,1,-0.000104555264,5.28682431E-05,800,80,2052
right_shank,right_thigh,knee,0.114363477,0.556012154,-0.03575997,0.99999994,0.000375012431,7.543836E-05,800,80,2052
left_foot,left_shank,ankle,-0.114431031,0.0998973,-0.0855125859,1,-0.00013243861,9.99952244E-05,650,70,1710
right_foot,right_shank,ankle,0.114615537,0.0998535752,-0.0856458,0.9999998,0.00061862357,-0.000114565642,650,70,1710
barbell,thorax,saddle,3.54176632E-06,1.4748944,-0.116020769,NA,NA,NA,50000,3000,60000
