segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-3.67750945E-05,1.08583927,-0.0106020747,0.99999994,-0.000265927,0.00018536087,2400,147.224319,1482
thorax,abdomen,trunk,-1.06843836E-05,1.191636,0.00200122688,1,-8.47790361E-05,7.059664E-05,2400,147.224319,1482
head_neck,thorax,neck,3.37837264E-05,1.53645265,-0.0267578922,1,4.54573274E-05,0.000104599669,300,11,228
left_upper_arm,thorax,shoulder,-0.2125648,1.47239232,-0.0538422838,-0.07596673,-0.0374276526,0.9964077,500,55,494
right_upper_arm,thorax,shoulder,0.212566346,1.4724077,-0.0538430959,0.0760131851,-0.0374411866,0.996403635,500,55,494
left_forearm,left_upper_arm,elbow,-0.462762237,1.4618609,-0.0811180547,-0.0411225,0.9984718,0.0369197167,450,45,380
right_forearm,right_upper_arm,elbow,0.462761819,1.46191359,-0.0811431855,-0.0409307219,-0.9984795,-0.0369242765,450,45,380
left_hand,left_forearm,wrist,-0.705487967,1.45156753,-0.0569992,0.0613598749,-0.0005965232,0.99811554,250,30,171
right_hand,right_forearm,wrist,0.705490232,1.45167363,-0.0570585579,-0.06128937,-0.0006405357,0.9981199,250,30,171
left_thigh,pelvis,hip,-0.114356369,0.984471858,-0.0385688469,1,-7.059663E-05,0.0001655464,2700,155.884567,2052
right_thigh,pelvis,hip,0.114186421,0.984347343,-0.03851277,0.9999998,0.00055142137,0.000153522269,2700,155.884567,2052
left_shank,left_thigh,knee,-0.114419505,0.55559504,-0.0354899354,1,-0.0001614629,0.0001827918,2400,138.564056,2052
right_shank,right_thigh,knee,0.1144226,0.5555483,-0.0356772766,0.9999998,0.0005512653,0.00015408406,2400,138.564056,2052
left_foot,left_shank,ankle,-0.114487581,0.09935297,-0.08450115,0.99999994,-0.000158753275,0.0002186707,1950,121.243553,1710
right_foot,right_shank,ankle,0.114757471,0.09932893,-0.08498797,0.9999997,0.0007772844,6.094355E-06,1950,121.243553,1710
barbell,thorax,saddle,5.31536443E-06,1.474337,-0.116117418,NA,NA,NA,50000,3000,60000
