run_id,load_kg,system_mass_kg,bar_mass_kg,equilibrium_load_kg,family,flat_bias_deg,standing_surface_deg,total_anatomical_deg,composed_logical_deg_a,composed_logical_deg_b,composed_matches_total,max_composed_drift_deg,hard_bound_deg,at_hard_bound,v2_trim_deg,runtime_minus_trim_deg,max_canonical_deviation_deg,tail_signed_logical_deviation_deg
p28-v1-k3x-production-25kg,25,124.999992,25,25,Ankle,0,0,0,0,0,true,0,12.0000277,false,-2.89277935,2.89277935,0.5188864,0.399877161
p28-v1-k3x-production-25kg,25,124.999992,25,25,Knee,0,0,0,0,0,true,0,12.0000277,false,1.97813809,-1.97813809,0.451107055,0.379302174
p28-v1-k3x-production-25kg,25,124.999992,25,25,Hip,0,0,0,0,0,true,0,12.0000277,false,-0.559682548,0.559682548,0.16785875,0.0288033839
p28-v1-k3x-production-25kg,25,124.999992,25,25,Abdomen,0,3.93,3.93,3.93000031,3.93000031,true,0,12.0000277,false,3.53511238,0.3948877,2.87770939,2.8123517
p28-v1-k3x-production-25kg,25,124.999992,25,25,Thorax,0,3.67,3.67,3.67000031,3.67000031,true,0,12.0000277,false,3.45749,0.212510109,2.79939318,2.78308725
p28-v1-k3x-production-60kg,60,159.999969,60,60,Ankle,0,0,0,0,0,true,0,12.0000277,false,-1.05907929,1.05907929,1.0172081,0.8055178
p28-v1-k3x-production-60kg,60,159.999969,60,60,Knee,0,0,0,0,0,true,0,12.0000277,false,-0.0389821641,0.0389821641,0.745457053,0.6418602
p28-v1-k3x-production-60kg,60,159.999969,60,60,Hip,0,0,0,0,0,true,0,12.0000277,false,0.514708459,-0.514708459,0.216704726,0.112609178
p28-v1-k3x-production-60kg,60,159.999969,60,60,Abdomen,0,7.4,7.4,7.400001,7.400001,true,0,12.0000277,false,4.54452372,2.85547638,5.78315163,5.73119974
p28-v1-k3x-production-60kg,60,159.999969,60,60,Thorax,0,6.6,6.6,6.6,6.6,true,0,12.0000277,false,4.135191,2.464809,5.15493965,5.142327
p28-v1-k3x-production-140kg,140,240.000015,140,140,Ankle,0,0,0,0,0,true,0,12.0000277,false,0.0323028043,-0.0323028043,1.48302639,1.05537832
p28-v1-k3x-production-140kg,140,240.000015,140,140,Knee,0,0,0,0,0,true,0,12.0000277,false,-6.85290241,6.85290241,1.51281047,1.42201936
p28-v1-k3x-production-140kg,140,240.000015,140,140,Hip,0,0,0,0,0,true,0,12.0000277,false,9.005693,-9.005693,0.552491248,0.406261355
p28-v1-k3x-production-140kg,140,240.000015,140,140,Abdomen,0,11.2,11.2,11.2,11.2,true,0,12.0000277,false,11.8450661,-0.645066261,8.214266,8.067127
p28-v1-k3x-production-140kg,140,240.000015,140,140,Thorax,0,10.3,10.3,10.3,10.3,true,0,12.0000277,false,10.9202032,-0.620203,7.52946472,7.498891
p28-v1-k3x-production-170kg,170,270.000061,170,170,Ankle,0,0,0,0,0,true,0,12.0000277,false,2.075565,-2.075565,1.05349469,0.475368619
p28-v1-k3x-production-170kg,170,270.000061,170,170,Knee,0,0,0,0,0,true,0,12.0000277,false,-9.058352,9.058352,2.25418186,1.9013356
p28-v1-k3x-production-170kg,170,270.000061,170,170,Hip,0,0,0,0,0,true,0,12.0000277,false,12,-12,1.13158226,0.756739
p28-v1-k3x-production-170kg,170,270.000061,170,170,Abdomen,0,11.8,11.8,11.8,11.8,true,0,12.0000277,false,12,-0.199999809,7.662687,7.42811346
p28-v1-k3x-production-170kg,170,270.000061,170,170,Thorax,0,11,11,11,11,true,0,12.0000277,false,12,-1,7.403056,7.37374163
p28-v1-k3x-production-300kg,300,400.000031,300,300,Ankle,0,0,0,0,0,true,0,12.0000277,false,12,-12,45.7461624,0.0308190752
p28-v1-k3x-production-300kg,300,400.000031,300,300,Knee,0,0,0,0,0,true,0,12.0000277,false,-12,12,10.714757,-0.130519956
p28-v1-k3x-production-300kg,300,400.000031,300,300,Hip,0,0,0,0,0,true,0,12.0000277,false,11.998251,-11.998251,14.1257744,-9.807962
p28-v1-k3x-production-300kg,300,400.000031,300,300,Abdomen,0,12,12,12,12,true,0,12.0000277,true,9.128379,2.87162113,26.7404,10.8812122
p28-v1-k3x-production-300kg,300,400.000031,300,300,Thorax,0,12,12,12,12,true,0,12.0000277,true,11.9893446,0.0106554031,20.28502,16.2578316
