segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-1.93538472E-05,1.08220041,-0.008977611,1,-0.00013265005,3.47658238E-06,2400,147.224319,1482
thorax,abdomen,trunk,-5.441546E-06,1.18793821,0.003033054,1,-0.0001053872,-1.83931752E-05,2400,147.224319,1482
head_neck,thorax,neck,3.986137E-05,1.531885,-0.0325440168,1,6.24111854E-05,1.69731356E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.212474033,1.4675138,-0.0583496168,-0.0712163746,-0.0180176459,0.9972981,500,55,494
right_upper_arm,thorax,shoulder,0.212464824,1.46756351,-0.0583591759,0.0712199658,-0.01792957,0.9972995,500,55,494
left_forearm,left_upper_arm,elbow,-0.4628452,1.45843458,-0.08399052,-0.03314389,0.9992968,0.0175337,450,45,380
right_forearm,right_upper_arm,elbow,0.462834954,1.45856369,-0.08399821,-0.0327617042,-0.999311268,-0.0174261089,450,45,380
left_hand,left_forearm,wrist,-0.705484748,1.45073617,-0.0573942736,0.07280864,0.0190190673,0.997164547,250,30,171
right_hand,right_forearm,wrist,0.7054754,1.4509666,-0.05739043,-0.073105894,0.0190935526,0.9971414,250,30,171
left_thigh,pelvis,hip,-0.114333086,0.9812083,-0.03763978,1,-1.73268782E-05,-3.879884E-05,2700,155.884567,2052
right_thigh,pelvis,hip,0.114240885,0.9811656,-0.0376774147,0.99999994,0.00025847205,-9.261068E-05,2700,155.884567,2052
left_shank,left_thigh,knee,-0.11436148,0.5523792,-0.0362726077,1,-8.08007E-05,-3.904537E-05,2400,138.564056,2052
right_shank,right_thigh,knee,0.114351757,0.5523654,-0.03626709,0.99999994,0.000258506421,-9.251374E-05,2400,138.564056,2052
left_foot,left_shank,ankle,-0.114405483,0.09630381,-0.08634247,1,-8.893674E-05,-2.3999859E-05,1950,121.243553,1710
right_foot,right_shank,ankle,0.114508204,0.09629364,-0.08640606,0.9999999,0.000397930358,-0.000218532747,1950,121.243553,1710
barbell,thorax,saddle,1.19793094E-05,1.46696627,-0.117653273,NA,NA,NA,50000,3000,60000
