load_kg,plant,primary_classification,trim_feasible,ankle_bias_deg,knee_bias_deg,hip_bias_deg,abdomen_bias_deg,thorax_bias_deg,min_capture_margin_m,max_trunk_pitch_rad,min_pelvis_height_m,max_drive_saturation,max_limit_proximity,max_saddle_separation_m,support_loss_samples,capture_violation_samples,nonfinite_samples,com_accel_ap_mps2,com_accel_ml_mps2,com_vel_ap_mps,com_vel_ml_mps,trunk_velocity_rad_s,pelvis_velocity_mps,posture_error_rad
25,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.03320450848387,1.26733238323789,-0.569392282305897,3.53328924555686,3.28701203500584,0.111759529,0.08765138,0.977035761,0.3022071,0.04868418,0.00523323,0,0,0,0.07238172,0.0147779295,0.0263671372,0.002194053,0.0431522764,0.019170953,0.0259983577
35,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.03320450848387,1.26733238323789,-0.569392282305897,3.53328924555686,3.28701203500584,0.09801167,0.105747968,0.9769011,0.302419364,0.03836799,0.00722532254,0,0,0,0.0109747713,0.01780076,0.00574427657,0.002671685,0.0491161868,0.0150611727,0.0360369533
45,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.03320450848387,1.26733238323789,-0.569392282305897,3.53328924555686,3.28701203500584,0.0602949038,0.135164186,0.9762562,0.3025666,0.0313638337,0.00928807,0,0,0,0.04923036,0.0203791671,0.0339454524,0.003243051,0.05573838,0.0390424281,0.0466379374
55,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.28230654637971,1.08679821090574,-0.341306485926287,3.72534571508817,3.41968433445626,0.09536028,0.133534655,0.975434363,0.302724928,0.0279143546,0.0114157684,0,0,0,0.02508353,0.02194368,0.00396894058,0.00358913722,0.06435584,0.0156745631,0.05631802
60,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.28230654637971,1.08679821090574,-0.341306485926287,3.72534571508817,3.41968433445626,0.08134926,0.145688146,0.9750538,0.3027911,0.0309605524,0.012499446,0,0,0,0.02377302,0.0227769818,0.0142129324,0.00378972315,0.0689769462,0.0274953358,0.062377207
70,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-1.28230654637971,1.08679821090574,-0.341306485926287,3.72534571508817,3.41968433445626,0.0431918576,0.173144832,0.9741728,0.3028663,0.04417357,0.0147568518,0,0,0,0.06915875,0.0255331025,0.04254134,0.00431840168,0.0798249245,0.0530791432,0.0753166154
85,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-0.38048125365351,1.03340622874477,-0.0112680521666425,3.96049056335807,3.67229857951951,0.06285282,0.200806215,0.97258687,0.303072661,0.07919586,0.0182223544,0,0,0,0.04102645,0.0251638032,0.0249355845,0.00472259242,0.09773152,0.0459204726,0.09419613
105,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,0.400416877874013,0.707246819115897,0.520864356107055,4.44383697690732,4.15886663496506,0.05821371,0.229729444,0.971168,0.303477019,0.115806468,0.02278959,0,0,0,0.0432415344,0.0215207152,0.0241319761,0.006042221,0.120332822,0.05352896,0.119683653
125,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,1.22797772836043,-0.130798048119138,1.28069323030158,5.03291248832427,4.7092266746751,0.064671,0.2430461,0.97075206,0.304053426,0.139844939,0.0269929469,0,0,0,0.0435848646,0.02059466,0.01357649,0.006932545,0.139648646,0.0526561327,0.144557655
140,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,2.42926950032981,-0.0902358768534049,1.68422254215545,5.32974540300281,4.98037377297873,0.06846078,0.274881363,0.968962848,0.3082681,0.177738726,0.0303890649,0,0,0,0.06689295,0.0198605321,0.00672983658,0.00573261641,0.1588183,0.0526095,0.171965525
