load_kg,tick,lifecycle,state,bar_y,trunk_pitch,com_z,support_ap_min,support_ap_max,has_support,max_demand,ankle_offset,hip_offset,trunk_offset,guard_scale,abdomen_actual,abdomen_ref,abdomen_drive_err,abdomen_demand,thorax_actual,thorax_ref,thorax_drive_err,thorax_demand,left_thigh_actual,left_thigh_demand,left_shank_actual,left_shank_demand,left_foot_actual,left_foot_demand,abdomen_maxforce
25,1,START_WINDOW,SETUP,1.47159,0.10124,-0.04845,-0.15472,0.13528,True,2.29985,0,0,0,1,0.01483,0.06859,0.05376,0.04401,0.01892,0.06405,0.04512,0.0211,0,0.01196,0,0.00639,0,0.01419,1852.5
25,11,START_WINDOW,SETUP,1.41895,0.08028,-0.04705,-0.15472,0.13528,True,1.19819,0.24,0.01445,-0.00722,0.91921,0.03376,0.06136,0.0276,0.01502,0.01698,0.05683,0.03984,0.02688,0,0.00389,0.00442,0.00053,-0.00498,0.05158,1852.5
25,21,START_WINDOW,SETUP,1.40472,0.1152,-0.04523,-0.15472,0.13528,True,0.85569,-0.0182,0,0,0.91651,0.02017,0.06859,0.04842,0.02762,0.00069,0.06405,0.06341,0.03177,0.01172,0.00585,0.00753,0.00341,-0.01432,0.03887,1852.5
25,31,START_WINDOW,SETUP,1.39727,0.14361,-0.04533,-0.15472,0.13528,True,0.77617,0.05469,0,0,0.91267,0.00569,0.06859,0.06283,0.03385,-0.00892,0.06405,0.07299,0.03355,0.01599,0.00837,0.01721,0.00706,-0.02394,0.02634,1852.5
25,41,START_WINDOW,SETUP,1.39476,0.16356,-0.04598,-0.15472,0.13528,True,0.66488,0.03446,0,0,0.91267,-0.00544,0.06859,0.07406,0.03706,-0.01283,0.06405,0.07688,0.03482,0.02014,0.00938,0.02512,0.00844,-0.03112,0.02701,1852.5
25,51,START_WINDOW,SETUP,1.39564,0.17235,-0.04654,-0.15472,0.13528,True,0.47915,0.05738,0,0,0.91267,-0.01139,0.06859,0.07996,0.03447,-0.01251,0.06405,0.07656,0.03298,0.01974,0.00804,0.02722,0.00718,-0.02972,0.02538,1852.5
25,61,START_WINDOW,SETUP,1.39715,0.17219,-0.04694,-0.15472,0.13528,True,0.22614,0.03504,0,0,0.91267,-0.01229,0.06859,0.08089,0.03262,-0.01038,0.06405,0.07443,0.03093,0.01993,0.00773,0.02757,0.00763,-0.02915,0.02462,1852.5
25,71,START_WINDOW,SETUP,1.39867,0.16609,-0.04702,-0.15472,0.13528,True,0.22728,0.04637,0,0,0.91267,-0.00977,0.06859,0.07837,0.03062,-0.00711,0.06405,0.07117,0.02931,0.01844,0.00701,0.02714,0.00695,-0.02755,0.02589,1852.5
25,81,START_WINDOW,SETUP,1.39996,0.15852,-0.04691,-0.15472,0.13528,True,0.23457,0.05084,0,0,0.91267,-0.00621,0.06859,0.07484,0.02902,-0.00397,0.06405,0.06808,0.02813,0.01664,0.00635,0.0258,0.00635,-0.02538,0.02774,1852.5
25,91,START_WINDOW,SETUP,1.40122,0.15151,-0.04671,-0.15472,0.13528,True,0.23811,0.08193,0,0,0.91267,-0.00276,0.06859,0.07147,0.0278,-0.00138,0.06405,0.06554,0.02727,0.01494,0.0057,0.02429,0.00569,-0.02324,0.03031,1852.5
