load_kg,offset_deg,actual_ankle_deg,cop_ap_m,com_ap_m,com_velocity_ap_mps,support_ap_min_m,support_ap_max_m,contacts,solver_torque_nm
25,-3,-3.33718252,-0.07815504,-0.0267049223,0.122382715,-0.1535576,0.136984527,8,0.8448124
25,-2,-3.12044334,-0.06989265,-0.0292964876,0.1014643,-0.15471904,0.136106789,8,0.6221533
25,-1,-2.86544275,-0.0619926,-0.0320467,0.08022609,-0.15471904,0.135280982,8,0.467464328
25,0,-2.625376,-0.05417451,-0.0349419452,0.0590127558,-0.15471904,0.135280982,8,0.331559777
25,1,-2.385764,-0.0462830178,-0.0378134735,0.03740712,-0.15471904,0.135280982,8,0.158911943
25,2,-2.09471655,-0.0385488831,-0.0405022874,0.0160380714,-0.15471904,0.135280982,8,0.05135238
25,3,-1.84773743,-0.0297990423,-0.0431089364,-0.00448593264,-0.15471904,0.135280982,8,-0.0996351242
60,-3,-4.55470848,-0.0619691648,-0.0447292849,0.08832321,-0.1518963,0.13946633,8,0.7004857
60,-2,-4.346797,-0.05575805,-0.04662199,0.0727760345,-0.151875481,0.139273375,8,0.4600525
60,-1,-4.12615728,-0.0496933721,-0.04869752,0.0564658158,-0.152078539,0.138983145,8,0.2358973
60,0,-3.90869141,-0.0438262224,-0.0508394949,0.0401661769,-0.152463928,0.138556927,8,0.0368773937
60,1,-3.693688,-0.0380180441,-0.0530243,0.023731837,-0.1527949,0.138168052,8,-0.16463995
60,2,-3.46311522,-0.03214057,-0.055146832,0.00706301164,-0.1530715,0.137922838,8,-0.4715562
60,3,-3.24561834,-0.0263242051,-0.0571247451,-0.008535967,-0.15307644,0.13748087,8,-0.678437948
140,-3,-5.535636,-0.0389520973,-0.06558297,0.07763384,-0.144069269,0.150068671,8,-1.30871534
140,-2,-5.38158226,-0.0333168581,-0.06678568,0.06630884,-0.143439949,0.149104849,8,-1.67946219
140,-1,-5.221791,-0.0281439275,-0.06806379,0.055299744,-0.142810658,0.149754465,8,-2.02105045
140,0,-5.053394,-0.0234745238,-0.06942351,0.04448275,-0.144328147,0.149145126,8,-2.31051445
140,1,-4.90591669,-0.0187042858,-0.070665136,0.0344061926,-0.144259378,0.148538828,8,-2.63559818
140,2,-4.73720646,-0.0139966263,-0.07200428,0.023593355,-0.144801617,0.147889823,8,-2.88594365
140,3,-4.55144167,-0.0101561267,-0.07331726,0.01427956,-0.146628678,0.14708811,8,-3.01651359
170,-3,-5.913293,-0.03584671,-0.07032757,0.0800939053,-0.140516981,0.1511966,8,-1.41657591
170,-2,-5.71656,-0.0306892823,-0.07142999,0.07027169,-0.140102178,0.150847912,8,-1.70009136
170,-1,-5.5649786,-0.0261558518,-0.07256278,0.06073003,-0.1405204,0.150424123,8,-2.04757452
170,0,-5.40582466,-0.021322513,-0.07372515,0.05109243,-0.141202986,0.149815068,8,-2.41349936
170,1,-5.25631237,-0.0173280314,-0.07492206,0.0416610241,-0.1419253,0.149205551,8,-2.64607072
170,2,-5.11667538,-0.0130569441,-0.0760389343,0.0325342119,-0.142449215,0.148689091,8,-2.939254
170,3,-4.956722,-0.008487414,-0.077199325,0.0231978223,-0.14290911,0.148253143,8,-3.2714963
300,-3,-7.59512949,-0.03961602,-0.08344953,0.08361886,-0.139624983,0.151117116,8,1.35368109
300,-2,-7.460598,-0.03617556,-0.0841604546,0.07747161,-0.139798671,0.151240885,8,0.971460342
300,-1,-7.35603857,-0.03155487,-0.0849766061,0.0690347,-0.140395135,0.153888255,8,0.00349283218
300,0,-7.11916,-0.0275024734,-0.08577695,0.0616196245,-0.138900325,0.153687358,8,-0.337445736
300,1,-6.91276169,-0.0240229871,-0.0865316838,0.05480899,-0.137722254,0.15299058,8,-0.65048933
300,2,-6.789767,-0.0210032463,-0.08728144,0.0488233455,-0.138530582,0.152198181,8,-0.9823203
300,3,-6.817967,-0.02011053,-0.08790391,0.0459915064,-0.142734885,0.149759024,8,-1.47280693
