repeat,load_kg,measured_ticks,settle_pelvis_y,min_pelvis_y,final_pelvis_y,max_trunk_pitch_rad,max_foot_pitch_deg,min_capture_ap_margin_m,min_capture_hull_margin_m,max_com_speed_mps,max_canonical_pose_error_deg,max_target_actual_deflection_deg,max_limit_proximity,min_guard_scale,max_ankle_offset_deg,rearward_cop_authority_at_settle_m,min_rearward_cop_authority_m,max_saddle_separation_m,min_support_contacts,support_lost,saddle_unstable,non_finite,upright,pass
1,25,500,0.979163766,0.9791279,0.979239,0.0388320349,0.0193920638,0.105898544,0.105898544,0.0040920414,3.19481373,0.8943742,0.07051509,0.99569273,5.20053625,0.0762697,0.0762697,0.005294035,8,False,False,False,True,True
2,25,500,0.979163766,0.9791279,0.979239,0.0388320349,0.0193920638,0.105898544,0.105898544,0.0040920414,3.19481373,0.8943742,0.07051509,0.99569273,5.20053625,0.0762697,0.0762697,0.005294035,8,False,False,False,True,True
3,25,500,0.979163766,0.9791279,0.979239,0.0388320349,0.0193920638,0.105898544,0.105898544,0.0040920414,3.19481373,0.8943742,0.07051509,0.99569273,5.20053625,0.0762697,0.0762697,0.005294035,8,False,False,False,True,True
1,60,500,0.9783726,0.978309453,0.9784033,0.0523955077,0.0248268023,0.0919019,0.09177989,0.003936676,6.36470842,1.226511,0.140988842,0.953801751,5.360449,0.0621140972,0.0621140972,0.01231122,8,False,False,False,True,True
2,60,500,0.9783726,0.978309453,0.9784033,0.0523955077,0.0248268023,0.0919019,0.09177989,0.003936676,6.36470842,1.226511,0.140988842,0.953801751,5.360449,0.0621140972,0.0621140972,0.01231122,8,False,False,False,True,True
3,60,500,0.9783726,0.978309453,0.9784033,0.0523955077,0.0248268023,0.0919019,0.09177989,0.003936676,6.36470842,1.226511,0.140988842,0.953801751,5.360449,0.0621140972,0.0621140972,0.01231122,8,False,False,False,True,True
1,140,500,0.976,0.9759699,0.9759936,0.144029036,0.0288018882,0.0770769,0.07610775,0.0176274646,9.74678,1.87673855,0.215703547,0.9336607,5.44956541,0.04659857,0.04659857,0.02831983,8,False,False,False,True,True
2,140,500,0.976,0.9759699,0.9759936,0.144029036,0.0288018882,0.0770769,0.07610775,0.0176274646,9.74678,1.87673855,0.215703547,0.9336607,5.44956541,0.04659857,0.04659857,0.02831983,8,False,False,False,True,True
3,140,500,0.976,0.9759699,0.9759936,0.144029036,0.0288018882,0.0770769,0.07610775,0.0176274646,9.74678,1.87673855,0.215703547,0.9336607,5.44956541,0.04659857,0.04659857,0.02831983,8,False,False,False,True,True
1,170,500,0.9751378,0.974991739,0.9750045,0.15133819,0.04336428,0.07280029,0.07156449,0.0209757425,10.0461016,2.303641,0.221770048,0.8032275,5.16335964,0.0430853739,0.0430853739,0.03432674,8,False,False,False,True,False
2,170,500,0.9751378,0.974991739,0.9750045,0.15133819,0.04336428,0.07280029,0.07156449,0.0209757425,10.0461016,2.303641,0.221770048,0.8032275,5.16335964,0.0430853739,0.0430853739,0.03432674,8,False,False,False,True,False
3,170,500,0.9751378,0.974991739,0.9750045,0.15133819,0.04336428,0.07280029,0.07156449,0.0209757425,10.0461016,2.303641,0.221770048,0.8032275,5.16335964,0.0430853739,0.0430853739,0.03432674,8,False,False,False,True,False
1,300,500,0.9681469,0.09203157,0.103224576,1.58316386,89.71128,-1.69468975,-1.69558275,2.096816,23.833353,15.0953331,0.5276727,0,15.0000343,0.0333987921,-0.123640239,0.05088754,0,True,False,False,False,False
2,300,500,0.9681469,0.09203157,0.103224576,1.58316386,89.71128,-1.69468975,-1.69558275,2.096816,23.833353,15.0953331,0.5276727,0,15.0000343,0.0333987921,-0.123640239,0.05088754,0,True,False,False,False,False
3,300,500,0.9681469,0.09203157,0.103224576,1.58316386,89.71128,-1.69468975,-1.69558275,2.096816,23.833353,15.0953331,0.5276727,0,15.0000343,0.0333987921,-0.123640239,0.05088754,0,True,False,False,False,False
