load_kg,plant,primary_classification,trim_feasible,ankle_bias_deg,knee_bias_deg,hip_bias_deg,abdomen_bias_deg,thorax_bias_deg,min_capture_margin_m,max_trunk_pitch_rad,min_pelvis_height_m,max_drive_saturation,max_limit_proximity,max_saddle_separation_m,support_loss_samples,capture_violation_samples,nonfinite_samples,com_accel_ap_mps2,com_accel_ml_mps2,com_vel_ap_mps,com_vel_ml_mps,trunk_velocity_rad_s,pelvis_velocity_mps,posture_error_rad
25,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,ACTUATOR_CAPACITY_BOUND,False,-2.09854974423033,1.24565018578405,-0.617291029754331,3.46065903039952,3.36554299283427,0.114216752,0.08301583,0.9769506,0.999613464,0.0477462076,0.0104211289,0,0,0,0.06912051,0.0353218354,0.027423352,0.002960413,0.0454369038,0.0200711321,0.0255103391
35,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SADDLE_CONTACT_INFEASIBLE,False,-2.09854974423033,1.24565018578405,-0.617291029754331,3.46065903039952,3.36554299283427,0.102493435,0.09433929,0.9760658,3.848943,0.052496776,0.0510935932,0,0,0,0.05181134,0.327683,0.007868147,0.06420041,0.142672539,0.0724516958,0.04836189
45,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,ACTUATOR_CAPACITY_BOUND,False,-2.49619414024053,1.34013641426127,-0.958408343309508,3.90695608103076,3.72438754583929,0.06594251,0.144294113,0.9750313,4.506547,0.244150832,0.0303879511,0,0,0,0.07526126,0.400876,0.0287615322,0.08073025,0.237746015,0.104992442,0.08959413
55,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,ACTUATOR_CAPACITY_BOUND,False,-1.46269792873962,1.36278123690484,-0.592578256974261,3.43234613770048,3.7902355133719,0.0978136361,0.126634464,0.9737442,3.25992,0.08506092,0.02043066,0,0,0,0.06765075,0.261577159,0.008469982,0.0444263667,0.167631418,0.0562584177,0.07970509
60,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,ACTUATOR_CAPACITY_BOUND,False,-1.3655950784453,1.28249508506311,-0.488029371702785,4.02411130664946,3.6706116570214,0.09888461,0.125450656,0.972896338,4.07457,0.255920917,0.0203884523,0,0,0,0.136779875,0.230030686,0.0159085728,0.0438269861,0.15664953,0.057320226,0.152502149
70,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SADDLE_CONTACT_INFEASIBLE,False,-2.73011715341352,2.27028384337374,-0.918068363922118,4.04224559190366,5.75789210218654,-0.09604137,0.135074437,0.974047363,12.9470625,0.08375565,0.051667884,0,27,0,0.4017027,0.5967722,0.1466379,0.134247363,0.2592096,0.190688565,0.167189673
85,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SADDLE_CONTACT_INFEASIBLE,False,-2.73011715341352,2.27028384337374,-0.918068363922118,4.04224559190366,5.75789210218654,-0.001021117,0.332429022,0.971440732,4.309958,0.09884265,0.051865764,0,8,0,0.115382567,0.4224653,0.0897163,0.2530363,0.206673637,0.2547291,0.133438408
105,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SADDLE_CONTACT_INFEASIBLE,False,-1.2109174967659,2.01380116547683,0.554422080283752,1.76581328652816,6.4082395798835,-0.213549748,0.249890268,0.9684109,3.41237164,0.223952368,0.052193068,0,37,0,0.7413425,0.794950247,0.235575423,0.207007751,0.4696406,0.297531933,0.274857551
125,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SADDLE_CONTACT_INFEASIBLE,False,-1.19525123127629,2.07545843365558,0.537708192361611,1.742336059057,6.35323170695769,-0.134954348,0.374963939,0.9628446,15.0372467,0.324943632,0.05179088,0,41,0,0.404703259,0.256266147,0.185053632,0.0194343552,0.289086223,0.243449971,0.2039974
140,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,False,2.53833989431531,-0.0263161792087261,2.55467881116825,4.16194988462528,8.12425015365266,0.0831582844,0.219050765,0.9689098,0.796315849,0.203197017,0.03754508,0,0,0,0.148273081,0.04577293,0.033016935,0.00821583252,0.172172084,0.05771609,0.1607872
155,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,2.23705696539018,-0.480193909323472,4.38602880241939,4.63967276188026,8.88235719069512,0.06691462,0.1741194,0.9712609,0.547074,0.1809396,0.03767198,0,0,0,0.0931578353,0.05819414,0.010469228,0.010173372,0.1636178,0.0569434538,0.160277516
170,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,False,3.40675991332126,-0.862749712089256,4.89972803457481,3.63711361059082,9.16591639789058,0.08300043,0.234629676,0.96846807,0.5218725,0.282988966,0.0443813652,0,0,0,0.1467389,0.0326552056,0.03965931,0.008050748,0.2010431,0.05305669,0.204606727
200,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,False,4.48999473192019,-3.38078483760076,5.11879129916361,5.19159531481445,8.43228839935987,0.07913239,0.287410676,0.968240559,0.5371336,0.324919969,0.0491783246,0,0,0,0.13694495,0.0242972132,0.0472748168,0.004078379,0.226328552,0.0566430055,0.261596382
230,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SADDLE_CONTACT_INFEASIBLE,False,4.48970751748318,-3.38159090655386,5.11804874438369,5.19079728867629,8.43228612197928,-0.0274233669,0.454311281,0.9639557,0.5979136,0.4885588,0.050060764,0,19,0,0.256752431,0.019079037,0.061023578,0.003228573,0.206854075,0.117610306,0.369681239
260,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SADDLE_CONTACT_INFEASIBLE,False,4.03405911276657,-4.84842294143644,5.60812962479732,6.43653601199249,9.92606773172646,-0.103503406,0.4824069,0.966812849,0.6237883,0.501683533,0.0506729819,0,38,0,0.391429842,0.0135400845,0.103904933,0.00711889239,0.19105725,0.121722169,0.395112962
300,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SADDLE_CONTACT_INFEASIBLE,False,4.51541222211751,-5.12064629499561,6.37858947504007,7.6265317672051,10.7304928476308,-0.121108018,0.6937509,0.962179,0.854895949,0.711498857,0.0512531325,0,39,0,0.454844624,0.0281530116,0.108385645,0.009996468,0.175759688,0.116779581,0.483924478
25,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.09854974423033,1.24565018578405,-0.617291029754331,3.46065903039952,3.36554299283427,0.104682647,0.08516048,0.977803946,0.307839662,0.04761675,0.00632931432,0,0,0,0.0171276629,0.005556926,0.0011465766,0.000927189831,0.0341877267,0.004894232,0.0247731656
60,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X3,SUPPORT_WRENCH_INFEASIBLE,False,-1.25979112301278,1.35556395246879,-0.457330250215686,4.20362282247474,4.42547762456949,-1.35585868,1.68183959,0.161210969,7.84813833,0.80432415,0.0338534862,0,495,0,1.04763937,1.24499869,0.2374559,0.192332849,0.356566966,0.378549248,0.153272539
