load_kg,plant,primary_classification,trim_feasible,ankle_bias_deg,knee_bias_deg,hip_bias_deg,abdomen_bias_deg,thorax_bias_deg,min_capture_margin_m,max_trunk_pitch_rad,min_pelvis_height_m,max_drive_saturation,max_limit_proximity,max_saddle_separation_m,support_loss_samples,capture_violation_samples,nonfinite_samples,com_accel_ap_mps2,com_accel_ml_mps2,com_vel_ap_mps,com_vel_ml_mps,trunk_velocity_rad_s,pelvis_velocity_mps,posture_error_rad
25,GAM13_PRODUCTION_PLANT_V1,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.96298905430267,1.77279549430595,-0.601877242202708,3.45805894783185,3.3251497637013,0.12401738,0.223761991,0.972694,0.922548354,0.0602321625,0.0112318629,0,0,0,0.08810592,0.0381207466,0.03781746,0.0057816864,0.0565830544,0.0214000586,0.09229122
35,GAM13_PRODUCTION_PLANT_V1,ACTUATOR_CAPACITY_BOUND,False,-3.4450552644979,1.01885251168701,-0.148021941795466,4.12746968826583,3.16870093893584,0.108122557,0.233579859,0.9705517,3.154831,0.0835921839,0.02202637,0,0,0,0.115043335,0.0974240154,0.0563896373,0.0211586,0.103057638,0.0477947742,0.115953311
45,GAM13_PRODUCTION_PLANT_V1,ACTUATOR_CAPACITY_BOUND,False,-3.05655908651346,1.3497552509061,-0.822149236526875,4.96518466605561,3.09947064696042,0.06098868,0.575032532,0.968154848,2.77580619,0.204632983,0.0222310647,0,0,0,0.152309284,0.471143216,0.0388355963,0.195586279,0.316283852,0.145827025,0.223042041
55,GAM13_PRODUCTION_PLANT_V1,ACTUATOR_CAPACITY_BOUND,False,-3.14026164704288,1.1037514122894,0.12255550995923,4.54590608272736,3.22047526674443,0.0382078141,0.6380452,0.9658341,2.65661025,0.273673862,0.0233154222,0,0,0,0.227525413,0.1999386,0.047562547,0.09625066,0.390894473,0.0907307342,0.258340865
60,GAM13_PRODUCTION_PLANT_V1,ACTUATOR_CAPACITY_BOUND,False,-2.09441769876555,2.01925604095856,0.122958278510104,5.44622643148508,3.49782660075055,0.09394637,0.6900858,0.961965859,5.61624765,0.236890063,0.0226620845,0,0,0,0.09779873,0.120785646,0.0149946464,0.09290791,0.294394821,0.07746094,0.307620853
70,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,-3.65932701181086,2.29228903081165,0.0786764512044786,6.53840036845819,3.53123241734734,-0.03307484,0.7001303,0.9600598,3.27375,0.342451125,0.05209478,0,16,0,0.335404843,0.827285469,0.107421845,0.213278666,0.4435912,0.210514054,0.331340283
85,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,-3.65932701181086,2.29228903081165,0.0786764512044786,6.53840036845819,3.53123241734734,-0.295969,0.8417932,0.9553331,11.2885008,0.405560672,0.0525092855,0,31,0,1.15426314,0.8354419,0.269278973,0.12572284,0.5552646,0.312757879,0.466160566
105,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,-3.1950750960403,0.198631597188739,1.97389004992106,7.21469698484355,4.31049681919853,-0.09820168,1.40779054,0.9469352,5.67538548,0.9271322,0.0514826961,0,21,0,0.5912443,0.38868767,0.133908361,0.225656435,0.420245558,0.244719163,0.5487044
125,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,-1.77251046598577,-1.97924042988025,2.57716678620549,8.64142953712113,6.32219461297686,-0.0992785841,1.14596093,0.9416555,24.2700653,0.639725149,0.05208128,0,20,0,0.61629945,0.166953817,0.119850017,0.09665818,0.4184144,0.245483875,0.525332868
140,GAM13_PRODUCTION_PLANT_V1,SUPPORT_WRENCH_INFEASIBLE,False,-2.16182376169049,-10.0404333882313,8.48469881007613,12,8.67801961673676,-0.012908712,0.5079141,0.9753458,0.8286212,1,0.0371357538,0,11,0,0.202000514,0.0157271232,0.04588447,0.00363148539,0.216857627,0.06043845,0.354421
155,GAM13_PRODUCTION_PLANT_V1,SUPPORT_WRENCH_INFEASIBLE,False,-0.83839634314804,-11.878996173419,10.2623647802742,11.6060008789532,12,-0.02023147,0.308275938,0.9778785,0.7260818,1,0.0366567671,0,18,0,0.170142263,0.007290557,0.0474577956,0.00612780033,0.123999849,0.0337166563,0.310373753
170,GAM13_PRODUCTION_PLANT_V1,SUPPORT_WRENCH_INFEASIBLE,False,-0.270812577047356,-12,12,10.5023153061947,12,-0.0403657034,0.6888796,0.97304225,0.584513545,1,0.0427819677,0,23,0,0.242788479,0.037587475,0.05669074,0.0059513473,0.35545817,0.111498579,0.428774238
200,GAM13_PRODUCTION_PLANT_V1,SUPPORT_WRENCH_INFEASIBLE,False,0.201611388282181,-11.9621484412611,12,11.9736460972309,12,-0.1560399,1.2113564,0.9698134,0.7353993,1,0.04445625,0,49,0,0.5036094,0.04410057,0.137719467,0.0108420318,0.588919,0.147706017,0.5733915
230,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,0.197380851744372,-11.9632326110663,12,11.9738756217459,12,-0.193671837,1.62361431,0.9503458,0.793509245,1,0.05137773,0,39,0,0.769770741,0.0435579829,0.1444823,0.008035214,0.6465737,0.222365,0.7235169
260,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,0.401759896424071,-11.8515651967997,12,12,12,-0.2504211,1.82974076,0.9349836,0.577535748,1,0.0516151451,0,40,0,0.989995,0.0455374271,0.180808753,0.0109917792,0.6015709,0.290612966,0.776201546
300,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,3.32616001937608,-11.4521718267913,10.791468973491,10.5231376937697,12,-0.315799147,2.18542457,0.890455067,0.525269,1,0.0516648926,0,36,0,1.34277558,0.0545175336,0.239415556,0.00704340963,0.44939357,0.405704916,0.8356796
25,GAM13_PRODUCTION_PLANT_V1,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,True,-2.95610832564112,2.05123541374525,-0.478590900467897,3.60607628816549,3.49319384492355,0.105465516,0.218157366,0.9745795,0.30467695,0.0440722,0.006527442,0,0,0,0.0104531292,0.00453410251,0.000465223944,0.0008934238,0.0266714655,0.00460846024,0.08581979
60,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,-2.19114782427758,2.16765209350469,0.720276043621009,5.90949466921355,3.63413347005921,-1,2.32152438,0.101515859,22.69887,0.76210475,0.05183889,183,500,0,1.4008292,1.02505612,0.4849075,0.302777439,0.495919436,0.7668218,0.2597035
140,GAM13_PRODUCTION_PLANT_V1,SUPPORT_WRENCH_INFEASIBLE,False,-1.07530294471295,-10.1879862715913,8.63759843806646,12,9.10517330098651,-1.58353972,1.36227119,0.09950212,2.6910708,1,0.0307257921,19,407,0,1.03734756,0.4391685,0.309174985,0.06378594,0.2612796,0.380731881,0.3300367
170,GAM13_PRODUCTION_PLANT_V1,SUPPORT_WRENCH_INFEASIBLE,False,-0.270812577047356,-12,12,10.5023153061947,12,-1.64731979,1.455367,0.0938830748,2.754515,1,0.03597388,48,500,0,1.22755313,0.2694413,0.339580923,0.0142723108,0.333645135,0.398064852,0.22936897
300,GAM13_PRODUCTION_PLANT_V1,SADDLE_CONTACT_INFEASIBLE,False,5.06035751149798,-12,12,11.290270103009,12,-1.48513591,2.54413342,0.113036916,2.16933775,1,0.0503667779,164,500,0,1.40105569,0.191041112,0.326085061,0.00899176,0.365775317,0.486778438,0.28373763
