load_kg,plant,converged,iterations,evaluations,rejected_steps,initial_residual_norm,final_residual_norm,classification,ankle_bias_deg,knee_bias_deg,hip_bias_deg,abdomen_bias_deg,thorax_bias_deg,com_accel_ap_mps2,com_accel_ml_mps2,com_vel_ap_mps,com_vel_ml_mps,trunk_velocity_rad_s,trunk_accel_rad_s2,pelvis_velocity_mps,joint_velocity_rad_s,posture_error_rad,min_capture_margin_m,max_trunk_pitch_rad,min_pelvis_height_m,max_drive_saturation,max_limit_proximity,max_saddle_separation_m
25,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,True,2,7,0,0.99936664571216,0.100752284573908,ACTUATOR_CAPACITY_BOUND,-1.631392761372312,0.75761059631317107,-0.47377954253722315,3.4378077394771567,3.4133257059804136,0.0472991653,0.06516946,0.02522996,0.007433558,0.0485481247,0.3425272,0.0202645026,0.05839843,0.01309196,0.1136204,0.05032335,0.9779791,0.9879145,0.06233909,0.008276447
35,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,True,1,1,0,0.200544373577822,0.200544373577822,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-1.631392761372312,0.75761059631317107,-0.47377954253722315,3.4378077394771567,3.4133257059804136,0.0212018732,0.207817584,0.008923041,0.0351937078,0.0591882579,0.5608107,0.0435944721,0.07260137,0.01808559,0.09454076,0.06645282,0.9778979,0.7075543,0.05840741,0.01371096
45,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,False,4,31,7,0.527761086390537,0.365448607822304,ACTUATOR_CAPACITY_BOUND,-2.5427700733178877,0.39400674101764421,-0.45383377051498264,4.0152934148064734,4.101651384362925,0.0439872481,0.8058127,0.0276825037,0.278317422,0.165183455,2.34917712,0.2533383,0.272553355,0.06057241,0.06624931,0.06065518,0.9781386,6.759377,0.07094618,0.02162145
55,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,False,3,23,5,0.875286643854879,0.460595310223405,ACTUATOR_CAPACITY_BOUND,-2.3483855258792712,0.50489557353978176,1.2589862145487218,3.942654355496459,4.0891130182120632,0.236685112,0.5862562,0.03206989,0.104911529,0.191555187,1.88609064,0.122018784,0.631896257,0.08124737,0.03102715,0.02825386,0.9770985,4.147523,0.7450684,0.03190119
60,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,False,1,11,5,0.441978943762233,0.441978943762233,ACTUATOR_CAPACITY_BOUND,-2.3483855258792712,0.50489557353978176,1.2589862145487218,3.942654355496459,4.0891130182120632,0.230482623,0.556210339,0.03060745,0.08591709,0.117880575,6.824384,0.0819259956,0.3882691,0.06350673,0.02832843,0.02492088,0.9773154,8.347713,0.2263165,0.02129178
70,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,False,4,35,11,1.03139023923365,0.536845925226624,ACTUATOR_CAPACITY_BOUND,-1.6662850087572618,0.755467387083475,1.4899274197423942,3.3725354202915168,3.9548376045025777,0.14704068,0.828056,0.0227810051,0.223084435,0.245550364,11.7456837,0.242273524,0.3867288,0.07670885,0.07725126,0.07462315,0.972747,16.98575,0.06153478,0.03094944
85,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,False,2,17,5,2.46122253989759,0.953025058138202,SADDLE_CONTACT_INFEASIBLE,-2.1897278281857964,0.963101475362693,2.3779941963599422,3.3999859876031087,3.86932547831032,0.0740624443,0.176948875,0.0798535347,0.06991167,0.09226322,4.247845,0.108532585,0.221446574,0.04429278,-0.006160617,0.09977601,0.9762398,4.416119,0.05607727,0.05203003
105,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,False,2,19,7,1.09194927061144,0.679194491272506,SADDLE_CONTACT_INFEASIBLE,-2.2493085801130568,0.8602431747769097,2.1051536747896789,3.6704507248224707,3.8072949608417708,0.196882948,0.5118393,0.0772685856,0.101941518,0.250103027,3.96255159,0.142996922,0.4627443,0.0870637,-0.02898283,0.1384735,0.9743027,5.800707,0.04981479,0.05144706
125,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,False,2,17,5,1.48350785567742,0.804807971913791,SADDLE_CONTACT_INFEASIBLE,-1.8358843779660414,0.4965121252467215,2.7993645855195997,3.1931846033073077,4.2798742883248426,0.470035851,0.611513734,0.195288181,0.330399066,0.3121974,5.13520765,0.331685454,0.4096991,0.1103658,-0.1808822,0.1535118,0.9746905,9.487803,0.06139725,0.05204014
140,GAM13_STATIC_TRIM_DIAGNOSTIC_IMPEDANCE_X8,True,2,7,0,0.84289931041943,0.179602674100151,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,0.57502149052080509,-0.4588120534008846,2.1766075505720544,3.1464926840556644,4.16800351554455,0.0921317041,0.0383568145,0.0198523737,0.007636658,0.1343549,0.8515837,0.0474080965,0.146571338,0.06923989,0.0638604,0.1055975,0.9741179,0.6406012,0.06317313,0.03713363
