load_kg,plant,converged,iterations,evaluations,rejected_steps,initial_residual_norm,final_residual_norm,classification,ankle_bias_deg,knee_bias_deg,hip_bias_deg,abdomen_bias_deg,thorax_bias_deg,com_accel_ap_mps2,com_accel_ml_mps2,com_vel_ap_mps,com_vel_ml_mps,trunk_velocity_rad_s,trunk_accel_rad_s2,pelvis_velocity_mps,joint_velocity_rad_s,posture_error_rad,min_capture_margin_m,max_trunk_pitch_rad,min_pelvis_height_m,max_drive_saturation,max_limit_proximity,max_saddle_separation_m
25,GAM13_PRODUCTION_PLANT_V1,True,2,7,0,1.03737014334542,0.170414910716383,NO_CONVERGENCE_WITHOUT_PROVEN_CAUSE,-2.9629890543026667,1.7727954943059476,-0.601877242202708,3.4580589478318546,3.3251497637012983,0.08810592,0.0381207466,0.03781746,0.0057816864,0.0565830544,0.572936237,0.0214000586,0.06765096,0.09229122,0.1240174,0.223762,0.972694,0.9225484,0.06023216,0.01123186
35,GAM13_PRODUCTION_PLANT_V1,False,3,24,6,0.456101577951515,0.274847359718042,ACTUATOR_CAPACITY_BOUND,-3.4450552644979044,1.0188525116870089,-0.14802194179546574,4.12746968826583,3.1687009389358378,0.115043335,0.0974240154,0.0563896373,0.0211586,0.103057638,3.24766326,0.0477947742,0.09948275,0.1159533,0.1081226,0.2335799,0.9705517,3.154831,0.08359218,0.02202637
45,GAM13_PRODUCTION_PLANT_V1,False,2,17,5,0.48330071636481,0.425749959075633,ACTUATOR_CAPACITY_BOUND,-3.0565590865134631,1.3497552509061026,-0.82214923652687477,4.9651846660556114,3.0994706469604227,0.152309284,0.471143216,0.0388355963,0.195586279,0.316283852,3.62804365,0.145827025,0.2898115,0.223042,0.06098868,0.5750325,0.9681548,2.775806,0.204633,0.02223106
55,GAM13_PRODUCTION_PLANT_V1,False,2,17,5,0.87392538527291,0.466516476491795,ACTUATOR_CAPACITY_BOUND,-3.1402616470428755,1.1037514122894037,0.12255550995922959,4.5459060827273579,3.2204752667444256,0.227525413,0.1999386,0.047562547,0.09625066,0.390894473,4.49884,0.0907307342,0.3547109,0.2583409,0.03820781,0.6380452,0.9658341,2.65661,0.2736739,0.02331542
60,GAM13_PRODUCTION_PLANT_V1,False,7,51,9,2.25496831733162,0.501947659571258,ACTUATOR_CAPACITY_BOUND,-2.0944176987655529,2.019256040958556,0.12295827851010399,5.4462264314850755,3.4978266007505474,0.09779873,0.120785646,0.0149946464,0.09290791,0.294394821,6.207654,0.07746094,0.402463853,0.3076209,0.09394637,0.6900858,0.9619659,5.616248,0.2368901,0.02266208
70,GAM13_PRODUCTION_PLANT_V1,False,5,43,13,1.77243063785941,0.651520006972152,SADDLE_CONTACT_INFEASIBLE,-3.6593270118108645,2.2922890308116544,0.078676451204478623,6.5384003684581868,3.53123241734734,0.335404843,0.827285469,0.107421845,0.213278666,0.4435912,6.24175072,0.210514054,0.321909934,0.3313403,-0.03307484,0.7001303,0.9600598,3.27375,0.3424511,0.05209478
85,GAM13_PRODUCTION_PLANT_V1,False,1,11,5,1.31653298734249,1.31653298734249,SADDLE_CONTACT_INFEASIBLE,-3.6593270118108645,2.2922890308116544,0.078676451204478623,6.5384003684581868,3.53123241734734,1.15426314,0.8354419,0.269278973,0.12572284,0.5552646,8.160649,0.312757879,0.6461195,0.4661606,-0.295969,0.8417932,0.9553331,11.2885,0.4055607,0.05250929
105,GAM13_PRODUCTION_PLANT_V1,False,4,30,6,1.84146126318953,1.01241424251033,SADDLE_CONTACT_INFEASIBLE,-3.1950750960402994,0.19863159718873921,1.9738900499210552,7.2146969848435472,4.31049681919853,0.5912443,0.38868767,0.133908361,0.225656435,0.420245558,6.23513174,0.244719163,0.3525078,0.5487044,-0.09820168,1.407791,0.9469352,5.675385,0.9271322,0.0514827
125,GAM13_PRODUCTION_PLANT_V1,False,6,43,7,2.34621716086815,0.893501213354129,SADDLE_CONTACT_INFEASIBLE,-1.7725104659857662,-1.9792404298802506,2.577166786205495,8.6414295371211338,6.3221946129768591,0.61629945,0.166953817,0.119850017,0.09665818,0.4184144,8.526881,0.245483875,0.395225316,0.5253329,-0.09927858,1.145961,0.9416555,24.27007,0.6397251,0.05208128
140,GAM13_PRODUCTION_PLANT_V1,False,8,53,4,1.02975212557135,0.344634265101577,SUPPORT_WRENCH_INFEASIBLE,-2.1618237616904894,-10.040433388231307,8.484698810076134,12,8.6780196167367585,0.202000514,0.0157271232,0.04588447,0.00363148539,0.216857627,1.13951838,0.06043845,0.179315612,0.354421,-0.01290871,0.5079141,0.9753458,0.8286212,1,0.03713575
