phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"control","F1","S0",1,300,0,0.98862505,0.08074422,0,7.770082,0.0605161041,0.229483917,0.0605161041,3.099668E-08,0,0,1,0,0,0,0.382335037,true,0.0389447473,0.05031576,1.00631523,0.128372952,0.000316778373,0.00043098742,4189.216,6.35528739E-12,8,true,false,false,false,false,true,false
"control","F1","S0",1,300,1,0.991027,0.06913324,0,7.770082,0.0576668456,0.23281166,0.0578072,4.088889E-07,0.1754796,0.1754796,1,0,0,0,0.16042079,true,0.04853309,0.04330785,0.866156936,0.13846986,0.0002870043,0.000596012338,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,2,0.9920409,0.05796858,1.75251365,6.017776,0.0551449433,0.235536814,0.0553320125,7.176403E-07,0.371749669,0.3705712,0.9968299,0,0,0,0.121161446,true,0.0592098,0.036499247,0.729984939,0.143864378,0.0006746583,0.000268774224,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,3,0.9916778,0.04764479,2.233601,5.58590364,0.0511336625,0.240041032,0.0514599532,9.942067E-07,0.5688607,0.564736366,0.9927498,0,0,0,0.0992342755,true,0.06999789,0.0304229986,0.608459949,0.144022465,0.00103536074,5.072492E-05,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,4,0.98983705,0.0380391628,2.78256559,5.105493,0.04576302,0.245937347,0.0462605953,1.28209865E-06,0.7560634,0.748142064,0.989522934,0,0,0,0.07877539,true,0.0807524845,0.02513971,0.5027942,0.139977634,0.001269669,0.000310560339,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,5,0.9867464,0.0293974951,3.286602,4.619733,0.03573887,0.256335855,0.0364003032,0.00937498,0.7531085,0.7436744,0.9874731,0,0,0,0.111752279,true,0.08864839,0.0205318183,0.410636365,0.131760567,0.001541242,0.0005437236,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,6,0.983094454,0.0216640476,3.75109982,4.1358223,0.0336925462,0.258380055,0.03435608,0.0145413224,2.106646,2.07831287,0.98655057,1,0.174355552,0.101704635,0.166018128,true,0.09119352,0.01602442,0.3204884,0.120613754,0.00260885642,0.0009445493,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,7,0.9794986,0.0146493539,4.175383,4.39105749,0.03332423,0.259868443,0.0341026932,0.0146309361,2.12507153,2.031809,0.95611316,1,0.21867393,0.127556324,0.174146384,true,0.0950213745,0.0111872926,0.223745853,0.107498541,0.003741165,0.00138036138,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,8,0.976140141,0.008642454,4.516562,4.4320507,0.034605775,0.258584857,0.0353863,0.0109167146,2.07787132,1.80946589,0.8708268,1,0.248587191,0.145005256,0.180598274,true,0.09818534,0.00643673074,0.128734618,0.09216929,0.004648361,0.00173805258,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,9,0.9732008,0.00415156176,4.75106859,4.498325,0.03724032,0.255415767,0.0379551053,0.00446949,2.07858419,1.68823838,0.8122059,1,0.248885036,0.145178989,0.350797176,false,0.100083925,0.00505845761,0.101169154,0.07393944,0.00525980955,0.00227629859,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,10,0.9709522,0.00173143635,4.90958548,4.458819,0.0390488952,0.253605247,0.0397656336,0.002575294,2.109519,1.62977338,0.772580564,1,0.227934808,0.132958353,0.197895929,false,0.10073889,0.009941545,0.1988309,0.05223588,0.00556275342,0.003340094,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,11,0.969401836,0.003010016,5.004509,4.344996,0.04135834,0.250707448,0.04194551,0.006853867,0.7523391,0.5729789,0.7615966,0,0,0,0.1647479,false,0.09910915,0.01670708,0.334141582,0.0240319856,0.00552294869,0.00513593759,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,12,0.968382239,0.006027181,5.037877,3.55590487,0.043398995,0.248666942,0.04398603,0.0119419936,1.69951928,1.55236149,0.9134121,1,0.167660445,0.0977992639,0.231690958,false,0.09712386,0.0239776354,0.479552716,0.00440524239,0.00524924928,0.007270924,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,13,0.967706561,0.011358344,4.956722,4.152446,0.0455047749,0.246560574,0.0460923836,0.0172280166,1.61542606,1.5899663,0.9842396,1,0.140861556,0.08216701,0.251051337,false,0.09423705,0.0312177837,0.6243557,0.0339670777,0.004892022,0.009746708,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,14,0.9672053,0.0189635847,4.85844946,4.222182,0.0477344133,0.244329736,0.04832323,0.022768965,1.45341849,1.4341737,0.986759,1,0.115040518,0.0671051443,0.274852931,false,0.090573594,0.0381196178,0.762392342,0.0638893,0.00449343165,0.0123901041,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,15,0.9667666,0.0287303384,4.71484232,4.371043,0.050077457,0.241984874,0.050668098,0.0285089538,1.28127444,1.26721156,0.9890243,1,0.08882365,0.0518123843,0.301546723,false,0.08625247,0.0444927849,0.8898557,0.09335272,0.00414785463,0.0150870755,0,0,8,true,false,false,false,false,false,false
"control","F1","S0",1,300,16,0.9663332,0.04055355,4.53282642,4.59253836,0.0525138862,0.239546,0.0531069562,0.03438202,1.11014545,1.096663,0.9878553,1,0.061492458,0.0358696245,0.330621451,false,0.0813691244,0.0502316244,1.00463247,0.12170542,0.003944022,0.01777101,0,0,8,true,false,false,false,false,true,false
"control","F1","S0",1,300,17,0.964169264,0.0616969429,4.31806564,4.879193,0.05535122,0.236706629,0.0559463352,0.0411950722,0.9472955,0.9346801,0.9866827,0.6486365,0.0215309,0.01255935,0.447531253,false,0.0715132654,0.051304277,1.0260855,0.168093055,0.004011173,0.02043712,3889.49951,2.41162866E-07,8,true,false,false,false,false,true,false
"control","F1","S0",1,300,18,0.96171695,0.08457346,4.074993,5.18824673,0.0585970059,0.233458638,0.05919432,0.0489475019,0.234884232,0.23147893,0.985502243,0,0,0,0.479863584,false,0.0621675774,0.05138861,1.02777219,0.210023254,0.00413254462,0.0238742586,2451.03955,2.58574318E-07,8,true,false,false,false,false,true,false
"control","F1","S0",1,300,19,0.9601414,0.108858824,3.58397269,5.962875,0.06198791,0.230065778,0.06258719,0.05688091,0.4159454,0.4093783,0.984211564,0,0,0,0.5318066,false,0.052941028,0.0514333732,1.02866745,0.246968478,0.00450613536,0.0276766848,2292.95386,3.39471171E-07,8,true,false,false,false,false,true,false
"control","F1","S0",1,300,20,0.959459662,0.135082155,3.11994147,6.904259,0.06530584,0.2267462,0.0659067556,0.06439212,1.12839067,1.10856032,0.9824261,1,0.06728386,0.0392478481,0.5679743,false,0.06559032,0.05142383,1.0284766,0.280521274,0.00510552432,0.03171223,2225.39526,2.01843065E-07,8,true,false,false,false,false,true,false
