phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"matrix","F2","S0",1,270,0,0.9887388,0.08056296,0,7.512907,0.0622023568,0.227797657,0.0622023568,3.190198E-08,0,0,1,0,0,0,0.475957185,true,0.074650526,0.05026793,1.00535858,0.127915829,0.0005581858,0.000440800242,4058.06274,1.46482143E-12,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,1,0.9911909,0.06648196,0,7.512907,0.05549054,0.235323936,0.0557220355,2.36825429E-07,0.189749643,0.189749643,1,0,0,0,0.224243045,true,0.1598338,0.04311287,0.8622574,0.142871544,0.0008176812,0.000570996,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,2,0.99215126,0.05195796,1.48882055,6.1888,0.04788461,0.243381619,0.04829576,2.3439533E-07,0.659567535,0.659567535,1,0,0,0,0.1627075,true,0.228519082,0.03616615,0.723323,0.154253513,0.00134099566,0.00021213654,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,3,0.9916352,0.0379540138,1.92938435,5.98568058,0.03837757,0.189182058,0.03904508,1.31292239E-07,0.773524046,0.773524046,1,0,0,0,0.124402165,true,0.287493169,0.0300206728,0.600413442,0.159854352,0.00169964042,0.00013754463,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,4,0.990092933,0.0253576543,2.40504336,5.60409641,0.0205193423,0.165663064,0.0214465261,0.0181938317,0.1890889,0.1890889,1,0,0,0,0.199455649,true,0.334599525,0.0245255455,0.4905109,0.158187523,0.00205973722,0.000466415,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,5,0.9878334,0.0159386136,2.879069,5.1334796,0.0178252943,0.168356061,0.0187535211,0.0248076636,5.57480764,5.57480764,1,1,0.139329925,0.08127358,0.1400018,true,0.3494292,0.0194517914,0.389035821,0.146597072,0.003069127,0.00103212614,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,6,0.9851862,0.00650197873,3.32755136,4.33976746,0.0172003154,0.168979257,0.0181303322,0.0258240327,3.29023814,3.29023814,1,1,0.0515979379,0.0300979782,0.156893164,true,0.3598466,0.0143485125,0.286970258,0.134345889,0.00376698445,0.00144165137,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,7,0.9824189,-0.00262848032,3.62004852,4.515349,0.0178158227,0.215839162,0.0187704414,0.0235121548,2.39954424,2.39954424,1,1,0.0181502141,0.0105873365,0.1569307,true,0.366057366,0.009311343,0.186226845,0.120932259,0.00424099946,0.00185510528,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,8,0.979728,-0.0118605541,3.83387184,4.52712345,0.01895885,0.243743077,0.0199171528,0.0199557357,2.07595,2.07595,1,1,0.174853534,0.101995111,0.198462784,true,0.363051534,0.005400562,0.108011246,0.107821,0.004709145,0.0023820363,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,9,0.977193236,-0.0206541736,3.995256,5.06530952,0.0203864872,0.272440463,0.0213464573,0.0157137942,2.07552,2.041636,0.9836744,1,0.278276324,0.16232343,0.229502678,false,0.354234517,0.006813645,0.136272892,0.0939152,0.005069712,0.00347918714,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,10,0.9747822,-0.0288179945,4.14848471,5.328067,0.0218781643,0.2713401,0.0228448585,0.0114535643,2.07503581,1.99792135,0.96283704,1,0.378443062,0.220752433,0.244517908,false,0.340719163,0.0120749986,0.241499975,0.0791534558,0.00539170764,0.00456726924,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,11,0.972756147,-0.0357647873,4.280372,5.59864473,0.02395131,0.269607037,0.024989903,0.00791217,2.07304025,1.92765486,0.9298685,1,0.360026121,0.210009515,0.334826082,false,0.3343187,0.01825292,0.3650584,0.06263313,0.005590903,0.005846316,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,12,0.971238256,-0.0397324227,4.398005,5.488618,0.0248203464,0.26873678,0.0258601829,0.005881429,0.6351494,0.5719287,0.900463164,0,0.0326135047,0,0.177874878,false,0.33822906,0.02472676,0.494535178,0.04074714,0.00528780045,0.00743227731,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,13,0.970241666,-0.04312351,4.770802,4.15678,0.0244813543,0.269429833,0.025622189,0.00534325466,1.33952272,1.08136046,0.807273,1,0.314265966,0.183316827,0.238046065,false,0.339245737,0.0314409658,0.6288193,0.0207210835,0.004630694,0.009699806,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,14,0.9696404,-0.0452130176,5.0163846,5.156003,0.024565246,0.269345522,0.0257064849,0.00509937,2.0562768,1.53374255,0.745883346,1,0.306900084,0.179020181,0.242534518,false,0.340259373,0.03807016,0.7614032,0.0008832564,0.00378010632,0.0124007519,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,15,0.9693072,-0.0459906757,5.34655046,5.14521027,0.0248079319,0.269102037,0.0259499773,0.004620018,1.93878138,1.28609061,0.66335,1,0.3026859,0.176561952,0.250237375,false,0.3432824,0.0443770029,0.887540042,0.0184160359,0.002789267,0.0152773121,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,270,16,0.9691192,-0.0455755964,5.624876,5.18779373,0.02525197,0.268656075,0.0263959616,0.00410200842,1.71647334,1.01919961,0.5937754,1,0.300219238,0.175123125,0.259994477,false,0.3433736,0.05019433,1.00388658,0.03659614,0.0017174253,0.0181563627,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,17,0.9672111,-0.0373814665,5.84604,5.27564144,0.02598925,0.267917156,0.02713488,0.003911475,1.46598077,0.789415836,0.538489938,1,0.295895427,0.17260097,0.353090823,false,0.348711669,0.05137978,1.02759564,0.0711472258,0.000614964869,0.0210138876,4030.22583,2.13495639E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,18,0.96497494,-0.02827562,6.01686525,5.3858,0.0269369874,0.266967148,0.0280848742,0.005045792,1.33102429,0.6599054,0.49578768,1,0.2892282,0.168711841,0.35952276,false,0.3476326,0.0515050068,1.03010011,0.101680465,0.000761856558,0.0247323588,2709.31982,1.01239259E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,19,0.963652968,-0.0183093511,6.17866945,5.82994461,0.0281677656,0.2657328,0.0293192342,0.00763946865,1.46852636,0.6686796,0.455340564,1,0.279156953,0.162837118,0.380181968,false,0.3419116,0.0515788272,1.03157651,0.128384143,0.00215305481,0.02887703,2623.81763,2.2377543E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,20,0.9632708,-0.00705479644,6.28447628,6.31096125,0.0296880715,0.264206916,0.0308451131,0.0113454042,1.39259017,0.59727,0.42889148,1,0.2668077,0.1556336,0.403951257,false,0.332816929,0.0516002066,1.03200412,0.1525763,0.00343585014,0.03319987,2635.11719,1.98743081E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,21,0.9637161,0.00513191149,6.349064,6.794494,0.0313805342,0.262506217,0.0325458124,0.0156447738,1.22095287,0.757846355,0.6207008,1,0.2513383,0.146610022,0.424524456,false,0.319767475,0.05156147,1.03122938,0.1734715,0.00445314962,0.03741608,2487.82275,1.348209E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,22,0.9648324,0.0178682748,6.36593866,7.28585768,0.03315361,0.260721773,0.03433025,0.0202017538,0.9787856,0.8810914,0.9001884,0.858570457,0.199784011,0.1165375,0.431404173,false,0.30349198,0.0514678881,1.02935779,0.190366164,0.00506729633,0.0412366055,2174.62329,3.82001446E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,23,0.966452,0.03145633,6.324348,7.6510253,0.03516362,0.258697152,0.0363548547,0.0253804214,0.650930941,0.6387871,0.981343865,0,0,0,0.398976028,false,0.2911722,0.0513192825,1.02638566,0.204312578,0.00525947567,0.04436933,1709.13037,1.01746124E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,24,0.96837765,0.04449362,6.187914,7.47454739,0.0370242074,0.256818831,0.0382332057,0.0301602855,0.20240812,0.199760869,0.986921251,0,0,0,0.425224841,false,0.2723952,0.0511670336,1.0233407,0.212118313,0.00489452668,0.04655963,1221.95032,1.36499139E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,25,0.970399439,0.05622587,5.84067965,7.872434,0.03829534,0.2555289,0.0395231172,0.0333680958,0.401350349,0.397313118,0.9899409,0,0,0,0.418558955,false,0.245429784,0.05101065,1.020213,0.2127318,0.003922338,0.0477674678,742.243164,1.61768142E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,26,0.9722906,0.0661002,5.4607296,8.222654,0.0388842,0.254921019,0.0401310176,0.03480938,0.6924105,0.6876924,0.993186,0,0,0,0.41400525,false,0.221704334,0.0508512743,1.01702547,0.205748081,0.00234529213,0.0480637327,297.874878,1.28859892E-08,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,27,0.9738891,0.0738623962,5.101811,8.524183,0.03871968,0.255068719,0.0399832875,0.0343526751,0.820497155,0.817381442,0.9962026,0,0,0,0.4101941,false,0.192205131,0.050674472,1.01348937,0.19160971,0.000382585829,0.0474983975,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,28,0.975028336,0.07987444,4.751233,8.725111,0.03796327,0.255809069,0.0392429456,0.0326315574,0.813529849,0.8128007,0.9991037,0,0,0,0.410708517,false,0.171913385,0.05031792,1.00635839,0.172374189,0.00189302792,0.04627182,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,29,0.9756394,0.08473022,4.45513,8.862931,0.0368190631,0.256940424,0.0381116122,0.030138636,0.6364946,0.6364946,1,0,0,0,0.409004778,false,0.180443183,0.04955262,0.9910524,0.150631323,0.004636687,0.0446079932,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,30,0.9757828,0.0886212438,4.189982,8.950281,0.0354488753,0.25830102,0.03675101,0.0273442119,0.208481312,0.208481312,1,0,0,0,0.406923771,false,0.1900758,0.04856538,0.9713076,0.127442718,0.00692929327,0.04260869,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,270,31,0.9756249,0.09138007,3.96615052,9.019605,0.0339892171,0.2597539,0.0352981,0.024656754,0.428651929,0.428651929,1,0,0,0,0.402368546,false,0.200027421,0.04757281,0.9514562,0.102924168,0.00883504748,0.04051958,0,0,8,true,false,false,false,false,true,false
