phase,feed_forward,saddle,repeat,load_kg,measured_ticks,initial_pelvis_y,final_pelvis_y,min_pelvis_y,max_trunk_pitch_rad,upright,min_capture_hull_margin_m,min_capture_ap_margin_m,max_com_speed_mps,max_canonical_pose_error_deg,max_target_actual_deflection_deg,max_joint_limit_proximity,max_raw_ankle_authority_fraction,max_applied_ankle_authority_fraction,min_posture_guard_scale,max_hip_strategy_blend,max_hip_authority_usage,max_trunk_authority_usage,max_drive_demand,saturation_fraction,min_rearward_cop_authority_m,min_forward_cop_authority_m,max_saddle_separation_m,max_saddle_limit_occupancy,max_saddle_linear_limit_occupancy,max_saddle_angular_limit_occupancy,max_saddle_angular_x_limit_occupancy,max_saddle_angular_y_limit_occupancy,max_saddle_angular_z_limit_occupancy,max_saddle_force_n,max_saddle_torque_nm,min_support_contacts,support_lost,saddle_invalid,non_finite,support_retained,saddle_valid,loaded_setup_valid,tracking_failure_onset_tick,capture_failure_onset_tick,posture_failure_onset_tick,support_loss_onset_tick,saddle_linear_limit_onset_tick,saddle_angular_limit_onset_tick,standing_gates_pass,pass
"qualification-repeats","F2","S1",1,25,500,0.982151031,0.9785368,0.9771898,0.09985671,true,0.08284136,0.08284136,0.07106796,3.2916,2.43190622,0.0728713349,10.6988192,10.6142883,0.954954863,1,0.285872757,0.166754559,0.355784446,0,0.0762525946,0.153747424,0.005652572,0.05652572,0.05652572,0.007265401,0.007265401,0.00380067877,0.004217618,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",2,25,500,0.982151031,0.9785368,0.9771898,0.09985671,true,0.08284136,0.08284136,0.07106796,3.2916,2.43190622,0.0728713349,10.6988192,10.6142883,0.954954863,1,0.285872757,0.166754559,0.355784446,0,0.0762525946,0.153747424,0.005652572,0.05652572,0.05652572,0.007265401,0.007265401,0.00380067877,0.004217618,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",3,25,500,0.982151031,0.9785368,0.9771898,0.09985671,true,0.08284136,0.08284136,0.07106796,3.2916,2.43190622,0.0728713349,10.6988192,10.6142883,0.954954863,1,0.285872757,0.166754559,0.355784446,0,0.0762525946,0.153747424,0.005652572,0.05652572,0.05652572,0.007265401,0.007265401,0.00380067877,0.004217618,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",1,60,500,0.982567668,0.976727,0.9766073,0.0697476938,true,0.09018748,0.09018748,0.006650715,2.91554213,2.075195,0.06378568,0.8777201,0.8733178,0.99482733,0.184800655,0.000194113338,0.0001132297,0.0992334858,0,0.0616874248,0.1683126,0.0122971432,0.12297143,0.12297143,0.009896338,0.009896338,0.00122484611,0.00605049543,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",2,60,500,0.982567668,0.976727,0.9766073,0.0697476938,true,0.09018748,0.09018748,0.006650715,2.91554213,2.075195,0.06378568,0.8777201,0.8733178,0.99482733,0.184800655,0.000194113338,0.0001132297,0.0992334858,0,0.0616874248,0.1683126,0.0122971432,0.12297143,0.12297143,0.009896338,0.009896338,0.00122484611,0.00605049543,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",3,60,500,0.982567668,0.976727,0.9766073,0.0697476938,true,0.09018748,0.09018748,0.006650715,2.91554213,2.075195,0.06378568,0.8777201,0.8733178,0.99482733,0.184800655,0.000194113338,0.0001132297,0.0992334858,0,0.0616874248,0.1683126,0.0122971432,0.12297143,0.12297143,0.009896338,0.009896338,0.00122484611,0.00605049543,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",1,140,500,0.982528746,0.9751201,0.9751002,0.04963917,true,0.07516492,0.0756911337,0.008636491,3.36404967,4.527988,0.0672763363,0.665321648,0.6653189,0.9999958,0,0,0,0.192854047,0,0.0455922633,0.1868306,0.0282117557,0.282117546,0.282117546,0.0181246269,0.0181246269,0.00375160319,0.0147650363,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",2,140,500,0.982528746,0.9751201,0.9751002,0.04963917,true,0.07516492,0.0756911337,0.008636491,3.36404967,4.527988,0.0672763363,0.665321648,0.6653189,0.9999958,0,0,0,0.192854047,0,0.0455922633,0.1868306,0.0282117557,0.282117546,0.282117546,0.0181246269,0.0181246269,0.00375160319,0.0147650363,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",3,140,500,0.982528746,0.9751201,0.9751002,0.04963917,true,0.07516492,0.0756911337,0.008636491,3.36404967,4.527988,0.0672763363,0.665321648,0.6653189,0.9999958,0,0,0,0.192854047,0,0.0455922633,0.1868306,0.0282117557,0.282117546,0.282117546,0.0181246269,0.0181246269,0.00375160319,0.0147650363,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"qualification-repeats","F2","S1",1,170,500,0.9826244,0.975193,0.975127637,0.0202385914,true,0.07201124,0.07244647,0.009538356,3.356595,4.910702,0.06701052,0.7182656,0.7182656,1,0,0,0,0.209472075,0,0.04178442,0.190801129,0.0341576673,0.341576666,0.341576666,0.0211815033,0.0211815033,0.00437725335,0.0160697233,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
