phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"qualification","F2","S1",1,270,0,0.9827957,0.110294886,0,7.512907,0.0591013134,0.230898708,0.0591013134,0.008143562,0,0,1,0,0,0,0.276443124,true,0.06988519,0.06481407,0.648140669,0.0526183955,0.0006745708,0.000385530235,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,1,0.9840765,0.08826708,0,7.512907,0.058404,0.231596023,0.058404,0.009816151,3.6269455,3.6269455,1,1,0.0389710031,0.0227324665,0.201846644,true,0.134520113,0.0572504327,0.572504342,0.09936603,0.00197016657,0.000215304332,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,2,0.9848867,0.0671669,0.7763166,7.3812294,0.0480896346,0.244104952,0.0486550853,0.0168475881,3.62694669,3.61374187,0.9963592,1,0.0389710031,0.0227324665,0.195398927,true,0.204056263,0.04964426,0.496442616,0.1351028,0.00271649985,7.896427E-05,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,3,0.9847889,0.0477047972,1.43692112,6.93594742,0.0447424762,0.247451454,0.045308575,0.0252364669,2.122369,2.11464214,0.9963592,1,0.113977514,0.06648507,0.1965023,true,0.255185872,0.04243897,0.4243897,0.159297436,0.003889443,0.000127313848,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,4,0.983766,0.0292168278,2.02788544,6.74788475,0.04114767,0.255518854,0.04277152,0.03129223,2.14086366,2.11808062,0.989358068,1,0.148666084,0.08671952,0.194348708,true,0.289662957,0.0356696434,0.356696427,0.174739331,0.00515270326,0.000233176645,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,5,0.981966257,0.0114230812,2.55710721,6.495385,0.03975071,0.256914556,0.0413757861,0.0341905951,1.93703425,1.91015041,0.9861212,1,0.211960316,0.12364015,0.189041615,true,0.3171129,0.029207129,0.292071283,0.183122858,0.00620550849,0.000304120331,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,6,0.979864359,-0.00549188955,3.016359,6.35153,0.03866527,0.258003533,0.04028684,0.03621796,1.94338036,1.90492451,0.9802119,1,0.242350116,0.141367048,0.1819903,true,0.340902865,0.0228274018,0.228274018,0.184872389,0.007054273,0.000499795366,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,7,0.9778545,-0.0211549774,3.42081356,6.131726,0.0373747647,0.259106159,0.0388616621,0.0376736559,1.8957485,1.8528564,0.9773746,1,0.25777334,0.150363684,0.17513983,true,0.36054197,0.0164216273,0.164216265,0.180030689,0.007655808,0.001269449,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,8,0.9761372,-0.035428226,3.76755023,5.860888,0.0368301235,0.2596594,0.038308382,0.0382249169,3.20583057,3.128681,0.9759346,1,0.272008419,0.158667251,0.16861771,true,0.3773443,0.0104611488,0.104611486,0.169324,0.007914218,0.00274342438,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,9,0.974723041,-0.0481828228,4.04762125,5.601022,0.0367467,0.259750575,0.03821723,0.0375456363,3.58375382,3.49273562,0.9746025,1,0.280524939,0.16363509,0.164555147,false,0.38814202,0.00752088847,0.07520888,0.153511971,0.00778660877,0.004687988,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,10,0.973585546,-0.0593855269,4.443517,5.343621,0.0371563137,0.2593467,0.03862112,0.0355683863,2.99889255,2.666274,0.889086246,1,0.284707427,0.166074812,0.161784574,false,0.3943042,0.010957594,0.109575942,0.133613,0.007296175,0.00691624871,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,11,0.97266525,-0.06904117,4.830815,5.1027317,0.03800808,0.258497924,0.0394698828,0.0324464776,2.51947141,1.99610472,0.792271256,1,0.28303495,0.165099218,0.159784064,false,0.3969947,0.0173054468,0.173054472,0.110684037,0.006471103,0.009301167,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,12,0.9719056,-0.07713146,5.176765,4.871002,0.03923545,0.257270515,0.0406972766,0.02837326,2.1138835,1.49196255,0.705792248,1,0.275222719,0.16054222,0.158625722,false,0.396915853,0.0241901223,0.241901219,0.08564312,0.00538010243,0.0117491,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,13,0.971264958,-0.08362714,5.47776556,4.64592648,0.04078838,0.2557147,0.0422531068,0.0234989021,1.76723421,1.1143285,0.6305494,1,0.262021452,0.152841687,0.180160731,false,0.413300335,0.0309925172,0.309925169,0.0592912659,0.004110727,0.0141853094,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,14,0.970714748,-0.08850224,5.731197,4.43169737,0.0426272,0.253870368,0.0440974459,0.01794734,1.460206,0.8282256,0.5671978,1,0.244359091,0.14253892,0.211799964,false,0.431388438,0.03747998,0.374799818,0.0323387459,0.002750548,0.016550988,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,15,0.970240057,-0.09173689,5.934574,4.23551035,0.0447188839,0.251770675,0.0461971238,0.0118283741,1.1864239,0.612619936,0.5163584,1,0.2229395,0.1300445,0.242844924,false,0.4462293,0.04353388,0.4353388,0.005403609,0.00137959979,0.01880478,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,16,0.969831467,-0.09282087,6.08763647,4.06306458,0.0472095273,0.249269754,0.04869806,0.004800672,0.9421732,0.450449735,0.478096545,0.6144878,0.121865608,0.07108633,0.27208814,false,0.462017626,0.0490717739,0.490717739,0.0221830122,1.60881427E-05,0.02090458,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,17,0.9694998,-0.0914265141,6.190697,3.663042,0.0501845,0.246282279,0.051685527,0.0036809356,0.712291539,0.322193563,0.452333868,0,0,0,0.29875496,false,0.479051918,0.05404889,0.5404889,0.0505371839,0.00132970023,0.0228005219,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,18,0.969272733,-0.08818819,6.16852236,3.220924,0.05337753,0.243074477,0.0548933223,0.0122541208,0.49086374,0.484204531,0.986433744,0,0,0,0.3246606,false,0.489397377,0.05847195,0.5847195,0.07747188,0.00252574822,0.0244689137,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,19,0.9691443,-0.08332966,6.01178741,3.21265,0.05665393,0.239781141,0.0581866577,0.0209409036,0.27493903,0.271595955,0.9878406,0,0,0,0.350760341,false,0.492140681,0.0623316765,0.623316765,0.102216877,0.00344981626,0.02592222,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,20,0.9691382,-0.07710659,5.85580873,3.27897143,0.05965523,0.236271262,0.0613314,0.02900349,0.05785348,0.0572309755,0.98924,0,0,0,0.310011119,false,0.4923315,0.06565218,0.656521738,0.124084368,0.00407924736,0.0272504278,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,21,0.96922785,-0.06973416,5.7035327,3.41050053,0.06244145,0.233468682,0.06413398,0.03591548,0.656668961,0.650497139,0.9906013,0,0,0,0.264927119,false,0.489013374,0.06843685,0.684368551,0.142650545,0.004448703,0.0284746755,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,22,0.969400048,-0.0612821281,5.558362,3.600317,0.0648495555,0.231046438,0.0665562153,0.0415963531,1.29206228,1.28159535,0.991898954,1,0.01667063,0.00972427,0.235830665,false,0.482568264,0.07068368,0.7068368,0.157966733,0.004554163,0.0297286268,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,23,0.9696424,-0.05180092,5.42,3.76921225,0.0669133,0.2289713,0.06863134,0.04615923,1.79971147,1.78732717,0.993118763,1,0.04958653,0.0289246887,0.248011515,false,0.4741908,0.0724002048,0.724002063,0.170180008,0.004432852,0.0310189389,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,24,0.9699428,-0.0414703973,5.269553,3.92088985,0.06863949,0.227236629,0.070366025,0.049647063,2.174253,2.16214275,0.994430244,1,0.0774509162,0.045178473,0.261689425,false,0.464113623,0.07360887,0.7360887,0.179163933,0.004126118,0.032333754,0,0,8,true,false,false,false,false,false,false
