phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"qualification-repeats","F2","S1",3,60,0,0.982567668,0.115436614,0,4.82838345,0.09028003,0.19972,0.09028003,0.00400615251,0,0,1,0,0,0,0.0394539721,true,0.0156292953,0.06440222,0.6440222,0.0199682526,1.49355321E-06,0.000415361457,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,1,0.9834157,0.100167446,0,4.82838345,0.09023931,0.1997607,0.09023931,0.0040048114,15.26432,15.26432,1,1,0.01705488,0.009948409,0.0135209616,true,0.030355392,0.0563037246,0.5630372,0.0267472044,0.000195373,0.000383333478,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,2,0.98352766,0.0867805257,0.7033183,4.184186,0.0879736,0.202026427,0.0879736,0.0102228848,0.30389902,0.303447962,0.9985157,0,0,0,0.04108902,true,0.0432700552,0.0484019332,0.484019339,0.0256217979,0.000286896364,0.0002563471,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,3,0.9826541,0.07531148,1.36599267,3.46198487,0.08603862,0.2039614,0.08603862,0.0153232208,15.2744923,15.2744923,1,1,0.0173237752,0.0101052606,0.05495049,true,0.053184405,0.0411270745,0.411270738,0.0213062167,0.0004565608,6.34287062E-05,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,4,0.9808773,0.06534933,1.9471525,2.940937,0.08500086,0.204999164,0.08500086,0.017769536,15.9843979,15.96029,0.998491764,1,0.04431449,0.0258494131,0.0406669676,true,0.0607245974,0.0345563181,0.345563173,0.0163188968,0.000646934,0.000175745357,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,5,0.9787264,0.0571775548,2.39329815,2.590258,0.08563916,0.204360873,0.08563916,0.0154812271,3.323071,3.31023955,0.996138632,1,0.0668743,0.03900895,0.03847807,true,0.06600743,0.0284955353,0.284955353,0.011119293,0.000770241,0.0006002403,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,6,0.9767258,0.05172093,2.73317981,2.32999349,0.08855984,0.201440185,0.08855984,0.006925665,0.3445286,0.3425218,0.994175255,0,0,0,0.06784736,true,0.06980988,0.0228192173,0.228192165,0.005182731,0.0006859642,0.00128480687,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,7,0.9752151,0.0481772237,2.97138834,1.85913956,0.09244987,0.197550148,0.09244987,0.00457736151,1.35263348,1.35263348,1,1,0.06960064,0.0405992679,0.06557388,true,0.07155988,0.0174624845,0.174624845,0.0002548263,0.0003769642,0.00227714144,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,8,0.9742844,0.04683525,3.14443326,1.93505561,0.09667487,0.193325162,0.09667487,0.0161477439,1.435093,1.42639184,0.9939368,1,0.0338829681,0.0197645258,0.06867077,true,0.07250972,0.0126947528,0.126947522,0.00427954365,0.00013405185,0.00358531764,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,9,0.9739201,0.0477184579,3.226994,1.73861325,0.100706086,0.189293936,0.100706086,0.0269922391,2.03530812,2.0293026,0.9970493,1,0.0127014648,0.00740898633,0.07168017,false,0.07262159,0.008911037,0.08911037,0.008260989,0.0007757629,0.005117036,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,10,0.9740439,0.0506395921,3.27586651,1.54607487,0.104133621,0.1858664,0.104133621,0.03586594,2.720838,2.71759,0.998806238,1,0.06251077,0.0364636257,0.105914541,false,0.0718402341,0.00671864534,0.06718645,0.0114176366,0.00146063161,0.00673775375,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,11,0.9745233,0.0552489758,3.28803062,1.38703144,0.106625341,0.183374673,0.106625341,0.04188113,3.263634,3.2568028,0.9979069,1,0.1092976,0.0637552,0.145859912,false,0.07022945,0.00651916955,0.06519169,0.0135623077,0.00208185147,0.008312308,0,0,8,true,false,false,false,false,false,false
