AbdomenActualAngleRad,AbdomenMarginRad,AbdomenPass,AbdomenStandingBiasDegrees,AnkleStandingBiasDegrees,AppliedAnkleDemandRad,BarAngularSpeedMagnitudeRadS,BarAngularSpeedMarginRadS,BarAngularSpeedPass,BarAngularSpeedThresholdRadS,BarAngularVelocityBarXRadS,BarAngularVelocityBarYRadS,BarAngularVelocityBarZRadS,BarAvailable,BarLinearSpeedMagnitudeMps,BarLinearSpeedMarginMps,BarLinearSpeedPass,BarLinearSpeedThresholdMps,BarVerticalSpeedMarginMps,BarVerticalSpeedMps,BarVerticalSpeedPass,BarVerticalSpeedThresholdMps,CaptureApM,CaptureMargin2DM,CaptureMlM,ComApM,ComMlM,ComSpeedMps,ConsecutiveValidRunLength,CopMeasuredApM,CopMeasuredMlM,GuardedAnkleDemandRad,HipAuthority,HipStandingBiasDegrees,HipStrategyBlend,KneeStandingBiasDegrees,LeftFootAvailable,LeftFootContact,LeftHipActualAngleRad,LeftHipMarginRad,LeftHipPass,LeftKneeActualAngleRad,LeftKneeMarginRad,LeftKneePass,OverallStartCandidate,PostureGuardScale,RawAnkleAuthorityFraction,RawAnkleDemandRad,RequiredRunLength,RightFootAvailable,RightFootContact,RightHipActualAngleRad,RightHipMarginRad,RightHipPass,RightKneeActualAngleRad,RightKneeMarginRad,RightKneePass,SimulationTick,SimulationTimeSeconds,SupportAvailable,SupportPresent,ThoraxActualAngleRad,ThoraxMarginRad,ThoraxPass,ThoraxStandingBiasDegrees,TrunkAuthority
0.00900347,0.165529445,true,3.45571113,0,0,1.35384989,-1.15384984,false,0.2,1.35384977,-7.71039049E-05,-0.000665954256,true,0.443793,-0.423793,false,0.02,-0.433567822,-0.4435678,false,0.01,-0.0487355925,0.105983451,-8.373585E-06,-0.04848209,-3.45815556E-06,0.000741848664,0,NA,0.0699190646,0,0,0,0,0,true,false,0.00119604,0.173336878,true,0.000690533954,0.0865759254,true,false,1,0,0,3,true,false,0.001691456,0.17284146,true,0,0.08726646,true,1,0.01,true,true,0.0104724783,0.164060444,true,3.347665,0
0.0174556859,0.157077238,true,3.45571113,0,0.04,1.40612209,-1.206122,false,0.2,1.40612173,-0.000425578328,-0.0008505435,true,0.610579848,-0.590579867,false,0.02,-0.600513756,-0.610513747,false,0.01,-0.05082177,0.103897274,-0.000102563936,-0.0485385172,-8.522578E-06,0.00669176038,0,-0.07406877,0.0393916965,0.480230331,0.00297861337,0,1,0,true,false,0.000690533954,0.173842385,true,0.00138106791,0.08588539,true,false,1,1.83434057,0.480230331,3,true,false,0.00229024212,0.172242671,true,0,0.08726646,true,2,0.02,true,true,0.01889851,0.1556344,true,3.347665,0.00173747714
0.0239607766,0.150572151,true,3.45571113,0,0,1.243752,-1.043752,false,0.2,1.24375165,-0.000565581548,-0.0007034467,true,0.675804,-0.655804038,false,0.02,-0.6657244,-0.6757244,false,0.01,-0.0525439829,0.102175057,-0.000100835234,-0.04865295,-1.3951777E-05,0.0114108324,0,0.135280982,-0.006654571,-3.60764527,0.00297861337,0,1,0,true,false,0,0.17453292,true,0.002071602,0.0851948559,true,false,0.997846365,13.8098993,-3.61543155,3,true,false,0.00258374168,0.171949178,true,0.0009765625,0.0862899,true,3,0.03,true,true,0.0253438018,0.149189115,true,3.347665,0.00173747714
0.0286053587,0.145927563,true,3.45571113,0,0.04,1.061179,-0.861179054,false,0.2,1.0611788,-0.000560682849,-0.000289290067,true,0.6872334,-0.6672334,false,0.02,-0.6771234,-0.6871234,false,0.01,-0.05290277,0.101816267,0.000136638133,-0.0487883538,-1.22910806E-05,0.0120878713,0,-0.07992276,-0.008163519,0.427119553,0.0271822959,0,1,0,true,false,0,0.17453292,true,0.00258374168,0.08468272,true,false,0.997083962,1.636244,0.4283687,3,true,false,0.0018269812,0.172705933,true,0.00138106791,0.08588539,true,4,0.04,true,true,0.0302106552,0.144322261,true,3.347665,0.0158559065
0.0320116356,0.142521292,true,3.45571113,0,0,0.85001564,-0.650015652,false,0.2,0.850015461,-0.000433186884,0.00037334938,true,0.6617657,-0.6417657,false,0.02,-0.6515547,-0.6615547,false,0.01,-0.05146521,0.103253826,0.0004558411,-0.0488899276,1.06503308E-06,0.007689109,0,-0.0592506453,-0.004942888,-0.111646757,0,0,0,0,true,false,0,0.17453292,true,0.00316442479,0.0841020346,true,false,0.9967103,0.427865773,-0.112015255,3,true,false,0.00138106791,0.173151851,true,0.00218366017,0.0850828,true,5,0.05,true,true,0.03365286,0.140880063,true,3.347665,0
0.034214966,0.140317947,true,3.45571113,0,0.04,0.7000455,-0.500045538,false,0.2,0.700044,-0.000176897272,0.00146204862,true,0.6002605,-0.5802605,false,0.02,-0.5899932,-0.599993169,false,0.01,-0.0491777919,0.105541244,0.0009416805,-0.04891418,2.75861876E-05,0.00280084112,0,-0.08823045,-0.007067003,0.427744776,0.0502122641,0,1,0,true,false,-0.0009765625,0.173556358,true,0.00358812045,0.08367834,true,false,0.9976738,1.6376704,0.4287421,3,true,false,0,0.17453292,true,0.00323889172,0.084027566,true,6,0.06,true,true,0.036205817,0.1383271,true,3.347665,0.0292896889
0.0359480679,0.138584852,true,3.45571113,0,0.08,0.5400697,-0.3400697,false,0.2,0.540061057,0.000283341884,0.00304082339,true,0.5131868,-0.4931868,false,0.02,-0.5027425,-0.5127425,false,0.01,-0.0465260968,0.108192943,0.00148319511,-0.0488535352,6.927193E-05,0.008025912,0,-0.0767714158,-0.0072655296,0.320024252,0.0328141153,0,1,0,true,false,-0.00154408091,0.172988832,true,0.00358812045,0.08367834,true,false,0.9957725,1.22758949,0.3213829,3,true,false,-0.0009765625,0.173556358,true,0.00414320454,0.08312325,true,7,0.07,true,true,0.037961103,0.136571825,true,3.347665,0.0191410445
0.03731494,0.137217984,true,3.45571113,0,0.12,0.3808965,-0.1808965,false,0.2,0.380862743,0.0009396759,0.004983465,true,0.413478225,-0.3934782,false,0.02,-0.4025861,-0.4125861,false,0.01,-0.0439114273,0.110807613,0.00202046358,-0.0487119555,0.000125509629,0.0152216228,0,-0.06846922,-0.0067623,0.341098279,0.00593457744,0,1,0,true,false,-0.00154408091,0.172988832,true,0.00338291214,0.08388355,true,false,0.997237742,1.30650544,0.3420431,3,true,false,-0.00138106791,0.173151851,true,0.00473406352,0.0825324,true,8,0.08,true,true,0.0391302034,0.135402709,true,3.347665,0.00346174254
0.03840446,0.136128455,true,3.45571113,0,0.16,0.2376159,-0.0376158953,false,0.2,0.237503335,0.00172938523,0.00710580125,true,0.314434022,-0.294434,false,0.02,-0.3025696,-0.3125696,false,0.01,-0.04178498,0.11293406,0.00249819481,-0.0485057347,0.0001940114,0.0209637973,0,-0.059859,-0.006027613,0.383345,0.0246989559,0,1,0,true,false,-0.000690533954,0.173842385,true,0.00284714461,0.08441932,true,false,0.998362839,1.46666789,0.383973628,3,true,false,-0.00138106791,0.173151851,true,0.00502716471,0.08223929,true,9,0.09,true,true,0.03987862,0.1346543,true,3.347665,0.0144073311
0.03927617,0.135256752,true,3.45571113,0,0.199999988,0.120348126,0.07965188,true,0.2,0.119967006,0.002557806,0.009222047,true,0.227188542,-0.207188547,false,0.02,-0.213378876,-0.223378882,false,0.01,-0.04054057,0.114178471,0.00288044428,-0.0482629873,0.000271423167,0.02405639,0,-0.04901286,-0.005069728,0.376254171,0.05444191,0,1,0,true,false,0,0.17453292,true,0.00218366017,0.0850828,true,false,0.9962698,1.44256282,0.377662927,3,true,false,0,0.17453292,true,0.00502716471,0.08223929,true,10,0.1,true,true,0.0403895453,0.134143382,true,3.347665,0.0317569152
