AbdomenActualAngleRad,AbdomenMarginRad,AbdomenPass,AbdomenStandingBiasDegrees,AnkleStandingBiasDegrees,AppliedAnkleDemandRad,BarAngularSpeedMagnitudeRadS,BarAngularSpeedMarginRadS,BarAngularSpeedPass,BarAngularSpeedThresholdRadS,BarAngularVelocityBarXRadS,BarAngularVelocityBarYRadS,BarAngularVelocityBarZRadS,BarAvailable,BarLinearSpeedMagnitudeMps,BarLinearSpeedMarginMps,BarLinearSpeedPass,BarLinearSpeedThresholdMps,BarVerticalSpeedMarginMps,BarVerticalSpeedMps,BarVerticalSpeedPass,BarVerticalSpeedThresholdMps,CaptureApM,CaptureMargin2DM,CaptureMlM,ComApM,ComMlM,ComSpeedMps,ConsecutiveValidRunLength,CopMeasuredApM,CopMeasuredMlM,GuardedAnkleDemandRad,HipAuthority,HipStandingBiasDegrees,HipStrategyBlend,KneeStandingBiasDegrees,LeftFootAvailable,LeftFootContact,LeftHipActualAngleRad,LeftHipMarginRad,LeftHipPass,LeftKneeActualAngleRad,LeftKneeMarginRad,LeftKneePass,OverallStartCandidate,PostureGuardScale,RawAnkleAuthorityFraction,RawAnkleDemandRad,RequiredRunLength,RightFootAvailable,RightFootContact,RightHipActualAngleRad,RightHipMarginRad,RightHipPass,RightKneeActualAngleRad,RightKneeMarginRad,RightKneePass,SimulationTick,SimulationTimeSeconds,SupportAvailable,SupportPresent,ThoraxActualAngleRad,ThoraxMarginRad,ThoraxPass,ThoraxStandingBiasDegrees,TrunkAuthority
0.01354928,0.160983637,true,3.93,0,0,3.587912,-3.387912,false,0.2,3.58791161,0.00103375071,-0.00131700619,true,0.282482177,-0.262482166,false,0.02,-0.220611259,-0.230611265,false,0.01,-0.0484493338,0.1062697,-2.10589035E-09,-0.0484493338,-1.772307E-09,9.760261E-10,0,NA,NA,0,0,0,0,0,true,false,0.0009765625,0.173556358,true,0.0009765625,0.0862899,true,false,1,0,0,3,true,false,0.000690533954,0.173842385,true,0.0009765625,0.0862899,true,1,0.01,true,true,0.0195679143,0.154965013,true,3.67,0
0.0180862527,0.156446666,true,3.93,0,0.04,0.9779104,-0.7779104,false,0.2,0.9779091,0.00114043232,-0.00112595106,true,0.4839577,-0.4639577,false,0.02,-0.471940041,-0.481940031,false,0.01,-0.0484487638,0.106270276,-1.84761029E-09,-0.04844932,-1.6695122E-09,1.62696858E-06,0,NA,NA,0.186481535,0,0,0,0,true,false,0.0009765625,0.173556358,true,0,0.08726646,true,false,1,0.712305367,0.186481535,3,true,false,0,0.17453292,true,0.000690533954,0.0865759254,true,2,0.02,true,true,0.0239309054,0.150602013,true,3.67,0
0.02273537,0.151797548,true,3.93,0,0.08,0.850165963,-0.650166,false,0.2,0.850165069,0.00105657044,-0.0006479972,true,0.591159,-0.571159,false,0.02,-0.581155956,-0.591155946,false,0.01,-0.048448585,0.106270455,-1.06687825E-09,-0.0484492928,1.58082925E-09,2.07062044E-06,0,NA,NA,0.18441,0,0,0,0,true,false,0.000690533954,0.173842385,true,0,0.08726646,true,false,0.9987566,0.705269635,0.184639588,3,true,false,0,0.17453292,true,0,0.08726646,true,3,0.03,true,true,0.0272478815,0.147285044,true,3.67,0
0.0260946974,0.148438215,true,3.93,0,0.12,0.641147435,-0.441147447,false,0.2,0.6411468,0.000922000036,-4.510541E-05,true,0.641472638,-0.621472657,false,0.02,-0.6311754,-0.6411754,false,0.01,-0.04887285,0.105846189,0.000182084987,-0.0484571755,2.62156982E-06,0.00132963993,0,NA,-0.008322593,0.182874277,0,0,0,0,true,false,0,0.17453292,true,0,0.08726646,true,false,0.9987566,0.6993963,0.183101952,3,true,false,0,0.17453292,true,0,0.08726646,true,4,0.04,true,true,0.02918298,0.145349935,true,3.67,0
0.027870778,0.146662146,true,3.93,0,0.08,0.410330832,-0.210330829,false,0.2,0.410329282,0.000844021444,0.0007475595,true,0.6414767,-0.6214767,false,0.02,-0.6305864,-0.6405864,false,0.01,-0.0483018234,0.106417216,0.000533375831,-0.0484636575,1.53960718E-05,0.00159619912,0,-0.0274089482,-0.007685598,-0.4110575,8.552636E-06,0,1,0,true,false,0,0.17453292,true,0,0.08726646,true,false,0.9987566,1.572075,-0.411569238,3,true,false,-0.0009765625,0.173556358,true,0.0009765625,0.0862899,true,5,0.05,true,true,0.0295241289,0.145008788,true,3.67,4.988902E-06
0.0283542052,0.146178722,true,3.93,0,0.04,0.197593182,0.00240682065,true,0.2,0.197583,0.0009118633,0.00178675645,true,0.5991741,-0.5791741,false,0.02,-0.5875305,-0.5975305,false,0.01,-0.0462688319,0.108450204,0.00102688279,-0.04842081,4.30459877E-05,0.00696980348,0,-0.05208283,-0.0078906,0.0373459719,0,0,0,0,true,false,-0.000690533954,0.173842385,true,0.00154408091,0.08572238,true,false,1,0.142650783,0.0373459719,3,true,false,-0.0018269812,0.172705933,true,0.00258374168,0.08468272,true,6,0.06,true,true,0.02846331,0.146069616,true,3.67,0
0.0279732458,0.146559671,true,3.93,0,0.08,0.0122442665,0.187755734,true,0.2,0.0117910244,0.00115240924,0.00309285754,true,0.5263347,-0.5063347,false,0.02,-0.513694167,-0.523694158,false,0.01,-0.0434226356,0.1112964,0.001578958,-0.048292052,8.701534E-05,0.0150185972,0,-0.06690754,-0.007650626,0.372926,0.001796623,0,1,0,true,false,-0.00119604,0.173336878,true,0.00258374168,0.08468272,true,false,0.9995337,1.42513371,0.373099983,3,true,false,-0.00267442665,0.17185849,true,0.00414320454,0.08312325,true,7,0.07,true,true,0.0264576487,0.148075268,true,3.67,0.00104800158
0.0270282384,0.147504687,true,3.93,0,0.12,0.144662634,0.05533737,true,0.2,-0.1445796,0.00154401688,0.004651045,true,0.437896818,-0.4178968,false,0.02,-0.4238403,-0.4338403,false,0.01,-0.0404030755,0.114315964,0.00211863755,-0.0480708256,0.00014594954,0.02336783,0,-0.06612148,-0.00720089674,0.518562734,0.0253045987,0,1,0,true,false,-0.00138106791,0.173151851,true,0.00316442479,0.0841020346,true,false,0.998979032,1.98278368,0.519092739,3,true,false,-0.00338291214,0.171150014,true,0.005694291,0.08157217,true,8,0.08,true,true,0.0239109714,0.150621951,true,3.67,0.0147606144
0.0257173534,0.148815572,true,3.93,0,0.16,0.268090069,-0.06809007,false,0.2,-0.2680062,0.00203028438,0.00639077974,true,0.34863922,-0.3286392,false,0.02,-0.332578152,-0.342578143,false,0.01,-0.0377524868,0.116966553,0.00260186987,-0.0477702655,0.000217236229,0.0304096472,0,-0.0631799549,-0.00655891141,0.6832937,0.057802923,0,1,0,true,false,-0.00119604,0.173336878,true,0.0035210466,0.08374541,true,false,0.996068,2.62028646,0.685991,3,true,false,-0.0035210466,0.17101188,true,0.006905343,0.08036112,true,9,0.09,true,true,0.0211939812,0.153338939,true,3.67,0.0337174535
0.02415897,0.150373951,true,3.93,0,0.199999988,0.355801016,-0.155801013,false,0.2,-0.355697125,0.00253417087,0.008215389,true,0.269925952,-0.249925956,false,0.02,-0.251149237,-0.261149228,false,0.01,-0.0358647741,0.118854269,0.003006543,-0.0474164672,0.000297881023,0.0350491181,0,-0.05779089,-0.00570451049,0.8097482,0.09180356,0,1,0,true,false,0,0.17453292,true,0.00378221087,0.08348425,true,false,0.991033733,3.1209867,0.8170743,3,true,false,-0.00284714461,0.17168577,true,0.00772040943,0.07954605,true,10,0.1,true,true,0.0185804367,0.155952483,true,3.67,0.05355062
