field,value
arm,P2
load_kg,25
probe_ticks,2200
diagnostic_ticks,2200
required_run_length,3
qualified_three_tick_run,false
longest_valid_run,2
entered_start_window,false
lifecycle_state_at_end,START_WINDOW
adapter_state_at_end,SETUP
classification,START_BAR_MOTION
observed_failure_predicates,bar_angular_speed|bar_linear_speed|bar_vertical_speed
blocking_failure_predicates,bar_linear_speed|bar_vertical_speed|bar_angular_speed
terminal_failure_predicates,bar_linear_speed|bar_angular_speed
squat_command_tick,18446744073709551615
terminal_reason,NOT_FINALIZED
bar_linear_speed_magnitude_mps_min,0.003232791
bar_linear_speed_magnitude_mps_max,0.7001889
bar_angular_speed_magnitude_rad_s_min,0.00443041231
bar_angular_speed_magnitude_rad_s_max,1.36399651
bar_vertical_speed_mps_min,-0.699452043
bar_vertical_speed_mps_max,0.077553615
bar_angular_velocity_x_rad_s_min,-0.7043764
bar_angular_velocity_x_rad_s_max,1.36399627
bar_angular_velocity_y_rad_s_min,-0.010850261
bar_angular_velocity_y_rad_s_max,0.0108822593
bar_angular_velocity_z_rad_s_min,-0.00544403773
bar_angular_velocity_z_rad_s_max,0.0152771659
raw_ankle_demand_rad_min,-3.67582965
raw_ankle_demand_rad_max,2.908341
guarded_ankle_demand_rad_min,-3.67582965
guarded_ankle_demand_rad_max,2.878799
applied_ankle_demand_rad_min,-0.2618
applied_ankle_demand_rad_max,0.2618
hip_strategy_blend_min,0
hip_strategy_blend_max,1
com_ap_m_min,-0.050724443
com_ap_m_max,-0.0406807326
com_ml_m_min,-0.00145515543
com_ml_m_max,0.0009697233
cop_measured_ap_m_min,-0.154719055
cop_measured_ap_m_max,0.135280967
cop_measured_ml_m_min,-0.0118022943
cop_measured_ml_m_max,0.0194609873
capture_ap_m_min,-0.07187768
capture_ap_m_max,-0.0204012
capture_ml_m_min,-0.00344164972
capture_ml_m_max,0.0025419516
com_speed_mps_min,0.000538821565
com_speed_mps_max,0.07106796
capture_margin_2d_m_min,0.08284136
capture_margin_2d_m_max,0.134317845
bar_vertical_zero_crossings,301
bar_angular_x_zero_crossings,153
bar_angular_y_zero_crossings,144
bar_angular_z_zero_crossings,277
com_ap_zero_crossings,0
com_ml_zero_crossings,2
cop_ap_zero_crossings,154
cop_ml_zero_crossings,292
capture_ap_zero_crossings,0
capture_ml_zero_crossings,150
AbdomenMarginRad_first,0.164128959
AbdomenMarginRad_last,0.13992992
AbdomenMarginRad_min,0.117299907
AbdomenMarginRad_max,0.164128959
BarAngularSpeedMarginRadS_first,-1.15275538
BarAngularSpeedMarginRadS_last,-0.06329073
BarAngularSpeedMarginRadS_min,-1.16399646
BarAngularSpeedMarginRadS_max,0.19556959
BarLinearSpeedMarginMps_first,-0.416847885
BarLinearSpeedMarginMps_last,-0.00734076276
BarLinearSpeedMarginMps_min,-0.6801889
BarLinearSpeedMarginMps_max,0.0167672075
BarVerticalSpeedMarginMps_first,-0.426341742
BarVerticalSpeedMarginMps_last,0.00916820951
BarVerticalSpeedMarginMps_min,-0.689452052
BarVerticalSpeedMarginMps_max,0.009952502
CaptureMargin2DM_first,0.10524258
CaptureMargin2DM_last,0.116368815
CaptureMargin2DM_min,0.08284136
CaptureMargin2DM_max,0.134317845
LeftHipMarginRad_first,0.172140837
LeftHipMarginRad_last,0.14083758
LeftHipMarginRad_min,0.14083758
LeftHipMarginRad_max,0.17453292
LeftKneeMarginRad_first,0.084027566
LeftKneeMarginRad_last,0.06686346
LeftKneeMarginRad_min,0.0572617054
LeftKneeMarginRad_max,0.084027566
RightHipMarginRad_first,0.171949178
RightHipMarginRad_last,0.139587089
RightHipMarginRad_min,0.139587089
RightHipMarginRad_max,0.17453292
RightKneeMarginRad_first,0.0841783
RightKneeMarginRad_last,0.0673722848
RightKneeMarginRad_min,0.0572537556
RightKneeMarginRad_max,0.0841783
ThoraxMarginRad_first,0.163636461
ThoraxMarginRad_last,0.136817575
ThoraxMarginRad_min,0.117295742
ThoraxMarginRad_max,0.163636461
