recorded_pre_squat,p2_evaluated,AbdomenActualAngleRad,AbdomenMarginRad,AbdomenPass,AbdomenStandingBiasDegrees,AnkleStandingBiasDegrees,AppliedAnkleDemandRad,BarAngularSpeedMagnitudeRadS,BarAngularSpeedMarginRadS,BarAngularSpeedPass,BarAngularSpeedThresholdRadS,BarAngularVelocityBarXRadS,BarAngularVelocityBarYRadS,BarAngularVelocityBarZRadS,BarAvailable,BarLinearSpeedMagnitudeMps,BarLinearSpeedMarginMps,BarLinearSpeedPass,BarLinearSpeedThresholdMps,BarVerticalSpeedMarginMps,BarVerticalSpeedMps,BarVerticalSpeedPass,BarVerticalSpeedThresholdMps,CaptureApM,CaptureMargin2DM,CaptureMlM,ComApM,ComMlM,ComSpeedMps,ConsecutiveValidRunLength,CopMeasuredApM,CopMeasuredMlM,GuardedAnkleDemandRad,HipAuthority,HipStandingBiasDegrees,HipStrategyBlend,KneeStandingBiasDegrees,LeftFootAvailable,LeftFootContact,LeftHipActualAngleRad,LeftHipMarginRad,LeftHipPass,LeftKneeActualAngleRad,LeftKneeMarginRad,LeftKneePass,OverallStartCandidate,PostureGuardScale,RawAnkleAuthorityFraction,RawAnkleDemandRad,RequiredRunLength,RightFootAvailable,RightFootContact,RightHipActualAngleRad,RightHipMarginRad,RightHipPass,RightKneeActualAngleRad,RightKneeMarginRad,RightKneePass,SimulationTick,SimulationTimeSeconds,SupportAvailable,SupportPresent,ThoraxActualAngleRad,ThoraxMarginRad,ThoraxPass,ThoraxStandingBiasDegrees,TrunkAuthority
false,false,0.009134914,0.165398,true,3.45571113,0,0.08,1.35380459,-1.15380454,false,0.2,1.35380447,-1.89660768E-05,-0.0006208223,true,0.432391673,-0.412391663,false,0.02,-0.422086865,-0.432086855,false,0.01,-0.0510529578,0.103666082,-0.0002327189,-0.0484936535,-5.15446663E-06,0.00751708634,0,NA,0.0114480834,0.190995142,0,0,0,0,true,true,0.0009765625,0.173556358,true,0,0.08726646,true,false,1,0.729546,0.190995142,3,true,true,0.00119604,0.173336878,true,0,0.08726646,true,1,0.01,true,true,0.0103810132,0.1641519,true,3.347665,0
false,false,0.0170829184,0.15745,true,3.45571113,0,0.04,1.424349,-1.2243489,false,0.2,1.42434871,-0.000405928848,-0.0008215536,true,0.58695364,-0.566953659,false,0.02,-0.5768607,-0.5868607,false,0.01,-0.0534383021,0.101280734,-0.000236050517,-0.04862865,-1.46602815E-05,0.0140962992,0,0.1297562,0.0137481149,-3.694628,0.0303705558,0,1,0,true,true,0,0.17453292,true,0.00138106791,0.08588539,true,false,1,14.1124067,-3.694628,3,true,true,0.00138106791,0.173151851,true,0,0.08726646,true,2,0.02,true,true,0.0187719278,0.155760989,true,3.347665,0.0177156739
false,false,0.0236200336,0.150912881,true,3.45571113,0,0,1.30042017,-1.10042012,false,0.2,1.30041969,-0.0007893876,-0.000837507832,true,0.6484046,-0.6284046,false,0.02,-0.638323367,-0.648323357,false,0.01,-0.0554258078,0.09929323,-0.000221995841,-0.0488239,-2.16585358E-05,0.0193590615,0,0.135280967,0.0119622592,-3.79299259,0.0303705558,0,1,0,true,true,0,0.17453292,true,0.0018269812,0.08543948,true,false,0.9974438,14.5252609,-3.80271316,3,true,true,0.000690533954,0.173842385,true,0,0.08726646,true,3,0.03,true,true,0.0253532063,0.149179712,true,3.347665,0.0177156739
false,false,0.0285803415,0.145952582,true,3.45571113,0,-0.04,1.14344347,-0.9434435,false,0.2,1.14344263,-0.00116050744,-0.0006573077,true,0.671946943,-0.651946962,false,0.02,-0.661870539,-0.6718705,false,0.01,-0.056165833,0.09855321,-4.07514053E-05,-0.0490486,-2.38064149E-05,0.0208901279,0,0.135280967,-0.004853037,-3.98160815,0.0576749258,0,1,0,true,true,-0.0009765625,0.173556358,true,0.002489756,0.08477671,true,false,0.9974438,15.2475634,-3.991812,3,true,true,0,0.17453292,true,0.0009765625,0.0862899,true,4,0.04,true,true,0.03061051,0.143922418,true,3.347665,0.03364279
false,false,0.03256546,0.141967461,true,3.45571113,0,0,0.91245687,-0.7124569,false,0.2,0.9124559,-0.00130670681,-0.000121565921,true,0.662300467,-0.6423005,false,0.02,-0.6521183,-0.6621183,false,0.01,-0.0549320132,0.09978703,0.000228004341,-0.0492435656,-1.58594758E-05,0.016736865,0,-0.0795583,-0.004294999,0.0551551,0,0,0,0,true,true,-0.0009765625,0.173556358,true,0.0030099682,0.08425649,true,false,0.995141745,0.211704984,0.0554243624,3,true,true,0,0.17453292,true,0.00154408091,0.08572238,true,5,0.05,true,true,0.0343540534,0.140178859,true,3.347665,0
false,false,0.03537306,0.139159858,true,3.45571113,0,0.04,0.707006335,-0.507006347,false,0.2,0.7070048,-0.00114209962,0.0009566967,true,0.6134498,-0.593449831,false,0.02,-0.6030462,-0.613046169,false,0.01,-0.05231454,0.102404505,0.000693156035,-0.04935436,4.3885675E-06,0.008946474,0,-0.08906779,-0.00720330328,0.186257452,0,0,0,0,true,true,-0.0009765625,0.173556358,true,0.003088162,0.0841783,true,false,0.999016166,0.7121501,0.186440885,3,true,true,-0.000690533954,0.173842385,true,0.002489756,0.08477671,true,6,0.06,true,true,0.03687788,0.137655035,true,3.347665,0
false,false,0.0373341069,0.1371988,true,3.45571113,0,0.06995318,0.5213088,-0.3213088,false,0.2,0.521301866,-0.000676433556,0.00259358925,true,0.532651663,-0.5126517,false,0.02,-0.5218338,-0.531833768,false,0.01,-0.0491937734,0.10552527,0.00123491429,-0.04936173,3.970964E-05,0.003556848,0,-0.07788342,-0.007544375,0.06995318,0,0,0,0,true,true,-0.000690533954,0.173842385,true,0.00284714461,0.08441932,true,false,0.998810649,0.267519027,0.07003648,3,true,true,-0.00154408091,0.172988832,true,0.00338291214,0.08388355,true,7,0.07,true,true,0.0385469943,0.135985926,true,3.347665,0
false,false,0.03862732,0.1359056,true,3.45571113,0,0.10995318,0.360599041,-0.160599038,false,0.2,0.360569,2.68770837E-05,0.004655137,true,0.432921648,-0.412921637,false,0.02,-0.421390861,-0.431390852,false,0.01,-0.04624279,0.108476251,0.00178114336,-0.0492726862,8.97944337E-05,0.010234287,0,-0.06979622,-0.00711225765,0.122818269,0,0,0,0,true,true,-0.0009765625,0.173556358,true,0.00267442665,0.08459204,true,false,0.9987797,0.469703317,0.122968324,3,true,true,-0.002071602,0.172461316,true,0.004026471,0.08323999,true,8,0.08,true,true,0.03962671,0.1349062,true,3.347665,0
false,false,0.0394578725,0.135075048,true,3.45571113,0,0.149953187,0.234696865,-0.0346968621,false,0.2,0.234592572,0.000866662,0.006941864,true,0.32905367,-0.309053659,false,0.02,-0.3163677,-0.326367676,false,0.01,-0.04403145,0.110687591,0.00227317121,-0.0491122268,0.000152536712,0.0162457768,0,-0.06163385,-0.00642650155,0.212077856,0,0,0,0,true,true,-0.0009765625,0.173556358,true,0.00239208,0.08487438,true,false,0.998663247,0.8111602,0.212361738,3,true,true,-0.00229024212,0.172242671,true,0.004580485,0.08268598,true,9,0.09,true,true,0.0403895453,0.134143382,true,3.347665,0
false,false,0.040087346,0.134445578,true,3.45571113,0,0.189953178,0.134997815,0.06500219,true,0.2,0.134669974,0.0017410327,0.009239989,true,0.234870225,-0.214870229,false,0.02,-0.2201231,-0.2301231,false,0.01,-0.042871017,0.111848027,0.0026759468,-0.0489161,0.000224889154,0.0192523487,0,-0.0513101853,-0.00550250849,0.243613452,0.0163450558,0,0.5467706,0,true,true,-0.000690533954,0.173842385,true,0.001953125,0.0853133351,true,false,0.998409,0.9320156,0.244001672,3,true,true,-0.00229024212,0.172242671,true,0.004632244,0.08263422,true,10,0.1,true,true,0.04097563,0.13355729,true,3.347665,0.009534356
