offset_deg,ankle_actual_deg,ankle_actual_vel_deg_s,solver_tau_left_nm,solver_tau_right_nm,solver_tau_combined_nm,cop_ap,com_ap,com_ap_vel,com_ap_accel,lean_deg,fz_n,pelvis_y,foot_pitch_deg,max_demand,contacts
-3.0,-3.624,-20.483,1.208,1.299,2.506,-0.07911,-0.01345,0.14846,0.62856,-0.2045,980.9,0.9707,-0.019,0.141,8
-2.0,-3.490,-19.514,1.163,1.256,2.419,-0.07549,-0.01426,0.14060,0.58761,-0.2492,983.0,0.9710,-0.023,0.142,8
-1.0,-3.348,-18.685,1.122,1.212,2.335,-0.07188,-0.01515,0.13234,0.54696,-0.2979,987.8,0.9712,-0.024,0.143,8
0.0,-3.200,-17.533,1.071,1.166,2.237,-0.06831,-0.01611,0.12394,0.50798,-0.3503,986.9,0.9716,-0.024,0.144,8
1.0,-3.040,-16.380,1.011,1.109,2.121,-0.06473,-0.01716,0.11499,0.46879,-0.4077,984.9,0.9720,-0.025,0.144,8
2.0,-2.871,-15.217,0.952,1.051,2.003,-0.06120,-0.01830,0.10562,0.43008,-0.4695,983.3,0.9723,-0.025,0.144,8
3.0,-2.700,-14.053,0.894,0.994,1.888,-0.05770,-0.01944,0.09615,0.39136,-0.5322,982.4,0.9727,-0.026,0.144,8

# G_target_tau_Nm_per_rad,-5.94
# K_inner_effective_Nm_per_rad,-108.46
# K_gravity_Nm_per_rad,1027.15
# K_inner_over_K_gravity,-0.1056
# G_target_cop_m_per_rad,0.20446
# authored_ankle_spring_per_joint_Nm_per_rad,650.0
# G_target_tau_over_authored_pair_spring,-0.0046
