tick,time_s,pelvis_y,com_ap,com_ap_vel,cop_measured_ap,cop_desired_ap,cop_error,capture_ap,support_ap_rear,support_ap_front,capture_margin_rear,capture_margin_front,ankle_nominal_deg,ankle_preload_deg,ankle_balance_deg,ankle_final_deg,ankle_actual_deg,hip_balance_deg,trunk_balance_deg,requested_ankle_torque_nm,normal_impulse,fz_estimate_n,max_demand,ankle_saturated,foot_pitch_deg,contacts,slip_mps
0,0.000,0.9808,-0.03181,0.00000,NaN,-0.03181,-0.03806,-0.03181,-0.03181,-0.03181,0.00000,0.00000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.97,0.0000,0.0,0.015,0,0.00,0,0.0005
5,0.050,0.9740,-0.03175,0.00629,-0.07031,-0.02347,-0.04683,-0.02968,-0.15472,0.13528,0.12504,0.16497,0.00,0.00,4.79,4.79,-0.31,0.00,0.00,108.78,11.0633,1106.3,0.055,0,-0.03,8,0.0006
10,0.100,0.9743,-0.03040,0.04212,-0.05864,0.02689,-0.08553,-0.01660,-0.15472,0.13528,0.13812,0.15188,0.00,0.00,8.64,8.64,-0.71,0.00,0.00,196.15,12.2634,1226.3,0.166,0,-0.03,8,0.0030
15,0.150,0.9764,-0.02769,0.05643,-0.02831,0.05389,-0.08220,-0.00920,-0.15472,0.13528,0.14552,0.14448,0.00,0.00,9.67,9.67,-1.06,0.00,0.00,219.31,8.5156,851.6,0.177,0,-0.03,8,0.0014
20,0.200,0.9753,-0.02499,0.05207,-0.02843,0.05662,-0.08505,-0.00794,-0.15472,0.13528,0.14678,0.14322,0.00,0.00,9.91,9.91,-1.58,0.00,0.00,224.78,9.1098,911.0,0.149,0,-0.03,8,0.0005
25,0.250,0.9742,-0.02238,0.05353,-0.02931,0.06640,-0.09571,-0.00488,-0.15472,0.13528,0.14984,0.14016,0.00,0.00,10.79,10.79,-2.15,0.00,0.00,244.84,10.0848,1008.5,0.147,0,-0.03,8,0.0013
30,0.300,0.9730,-0.01968,0.05333,-0.02465,0.07431,-0.09897,-0.00228,-0.15472,0.13528,0.15244,0.13756,0.00,0.00,11.27,11.27,-2.64,0.00,0.00,255.77,10.1337,1013.4,0.147,0,-0.03,8,0.0006
35,0.350,0.9728,-0.01703,0.05750,-0.02667,0.08774,-0.11442,0.00172,-0.15472,0.13528,0.15644,0.13356,0.00,0.00,12.52,12.52,-3.05,0.00,0.00,284.13,10.7382,1073.8,0.161,0,-0.03,8,0.0016
40,0.400,0.9734,-0.01396,0.06199,-0.00999,0.10308,-0.11308,0.00625,-0.15472,0.13528,0.16097,0.12903,0.00,0.00,13.13,13.13,-3.33,0.39,-0.20,297.84,9.3407,934.1,0.148,0,-0.03,8,0.0011
45,0.450,0.9726,-0.01096,0.05923,-0.00908,0.10528,-0.11436,0.00834,-0.15472,0.13528,0.16306,0.12694,0.00,0.00,13.28,13.28,-3.67,0.56,-0.28,301.25,9.5229,952.3,0.134,0,-0.03,8,0.0008
50,0.500,0.9717,-0.00800,0.06065,-0.01098,0.10528,-0.11626,0.01175,-0.15472,0.13528,0.16647,0.12353,0.00,0.00,13.36,13.36,-4.05,0.69,-0.35,303.12,9.9439,994.4,0.134,0,-0.03,8,0.0010
55,0.550,0.9711,-0.00489,0.06395,-0.00790,0.10528,-0.11318,0.01593,-0.15472,0.13528,0.17065,0.11935,0.00,0.00,13.23,13.23,-4.44,0.59,-0.29,300.10,9.7513,975.1,0.136,0,-0.02,8,0.0010
60,0.600,0.9703,-0.00166,0.06580,-0.00573,0.10528,-0.11101,0.01975,-0.15472,0.13528,0.17447,0.11553,0.00,0.00,13.13,13.13,-4.85,0.50,-0.25,297.97,9.6738,967.4,0.134,0,-0.02,8,0.0009
65,0.650,0.9694,0.00168,0.06837,-0.00497,0.10528,-0.11025,0.02390,-0.15472,0.13528,0.17862,0.11138,0.00,0.00,13.10,13.10,-5.29,0.49,-0.25,297.22,9.7673,976.7,0.134,0,-0.02,8,0.0010
70,0.700,0.9684,0.00518,0.07222,-0.00323,0.10528,-0.10851,0.02864,-0.15472,0.13528,0.18336,0.10664,0.00,0.00,13.02,13.02,-5.74,0.41,-0.21,295.52,9.7565,975.6,0.134,0,-0.02,8,0.0010
75,0.750,0.9674,0.00888,0.07632,-0.00116,0.10528,-0.10644,0.03365,-0.15472,0.13528,0.18837,0.10163,0.00,0.00,12.93,12.93,-6.20,0.30,-0.15,293.49,9.7127,971.3,0.133,0,-0.02,8,0.0011
80,0.800,0.9662,0.01279,0.08075,0.00066,0.10528,-0.10462,0.03897,-0.15472,0.13528,0.19369,0.09631,0.00,0.00,12.86,12.86,-6.68,0.19,-0.09,291.70,9.6986,969.9,0.136,0,-0.02,8,0.0011
85,0.850,0.9650,0.01694,0.08568,0.00279,0.10528,-0.10249,0.04469,-0.15472,0.13528,0.19940,0.09060,0.00,0.00,12.76,12.76,-7.16,0.03,-0.01,289.61,9.6527,965.3,0.144,0,-0.02,8,0.0011
90,0.900,0.9638,0.02133,0.09063,0.00532,0.10528,-0.09996,0.05064,-0.15472,0.13528,0.20536,0.08464,0.00,0.00,12.65,12.65,-7.65,0.00,0.00,287.13,9.5566,955.7,0.152,0,-0.02,8,0.0012
95,0.950,0.9621,0.02597,0.09546,0.00805,0.10528,-0.09723,0.05679,-0.15472,0.13528,0.21151,0.07849,0.00,0.00,12.54,12.54,-8.12,0.00,0.00,284.45,9.4289,942.9,0.157,0,-0.02,8,0.0037
100,1.000,0.9603,0.03102,0.10956,0.00138,0.10528,-0.10391,0.06633,-0.15472,0.13528,0.22105,0.06895,0.00,0.00,12.83,12.83,-8.71,0.18,-0.09,291.01,10.3370,1033.7,0.163,0,-0.02,8,0.0016
110,1.100,0.9568,0.04334,0.13327,0.01303,0.10528,-0.09225,0.08618,-0.15472,0.13528,0.24090,0.04910,0.00,0.00,12.32,12.32,-9.95,0.00,0.00,279.57,9.6162,961.6,0.177,0,-0.01,8,0.0019
120,1.200,0.9519,0.05815,0.16350,0.01860,0.10528,-0.08668,0.11052,-0.15472,0.13528,0.26523,0.02477,0.00,0.00,12.08,12.08,-11.43,0.00,0.00,274.10,9.6065,960.7,0.197,0,-0.01,8,0.0023
130,1.300,0.9455,0.07616,0.19809,0.02362,0.10528,-0.08166,0.13933,-0.15472,0.13528,0.29405,-0.00405,0.00,0.00,11.86,11.86,-13.12,0.00,0.00,269.18,9.6698,967.0,0.217,0,-0.01,8,0.0029
140,1.400,0.9373,0.09832,0.24633,0.02956,0.10528,-0.07573,0.17647,-0.15472,0.13528,0.33119,-0.04119,0.00,0.00,11.61,11.61,-15.07,0.00,0.00,263.37,9.7287,972.9,0.235,0,-0.01,8,0.0035
