tick,time_s,pelvis_y,com_ap,com_ap_vel,cop_measured_ap,cop_desired_ap,cop_error,capture_ap,support_ap_rear,support_ap_front,capture_margin_rear,capture_margin_front,ankle_nominal_deg,ankle_preload_deg,ankle_balance_deg,ankle_final_deg,ankle_actual_deg,hip_balance_deg,trunk_balance_deg,requested_ankle_torque_nm,normal_impulse,fz_estimate_n,max_demand,ankle_saturated,foot_pitch_deg,contacts,slip_mps
0,0.000,0.9808,-0.03181,0.00000,NaN,-0.03181,-0.03806,-0.03181,-0.03181,-0.03181,0.00000,0.00000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.63,0.0000,0.0,0.015,1,0.00,0,0.0005
5,0.050,0.9741,-0.03175,0.00617,-0.06511,-0.02363,-0.04147,-0.02972,-0.15472,0.13528,0.12499,0.16501,0.00,0.00,11.46,11.46,-0.30,0.00,0.00,62.67,11.2664,1126.6,0.055,1,-0.03,8,0.0003
10,0.100,0.9748,-0.03051,0.03748,-0.04671,0.02057,-0.06728,-0.01823,-0.15472,0.13528,0.13649,0.15351,0.00,0.00,15.00,15.00,-0.62,0.00,0.00,106.02,12.2922,1229.2,0.168,1,-0.03,8,0.0033
15,0.150,0.9774,-0.02831,0.04183,-0.00170,0.03317,-0.03487,-0.01460,-0.15472,0.13528,0.14012,0.14988,0.00,0.00,15.00,15.00,-0.85,0.00,0.00,118.32,8.4364,843.6,0.179,1,-0.03,8,0.0014
20,0.200,0.9763,-0.02671,0.02559,-0.00568,0.01719,-0.02287,-0.01833,-0.15472,0.13528,0.13639,0.15361,0.00,0.00,15.00,15.00,-1.21,0.00,0.00,102.64,9.0777,907.8,0.150,1,-0.03,8,0.0005
25,0.250,0.9754,-0.02575,0.01713,-0.01441,0.00923,-0.02364,-0.02014,-0.15472,0.13528,0.13458,0.15542,0.00,0.00,15.00,15.00,-1.58,0.00,0.00,94.84,10.1475,1014.7,0.149,1,-0.03,8,0.0012
30,0.300,0.9743,-0.02510,0.01001,-0.02325,0.00203,-0.02528,-0.02183,-0.15472,0.13528,0.13289,0.15711,0.00,0.00,12.84,12.84,-1.90,0.00,0.00,87.77,9.6283,962.8,0.148,0,-0.03,8,0.0007
35,0.350,0.9743,-0.02473,0.00984,-0.02247,0.00293,-0.02540,-0.02152,-0.15472,0.13528,0.13320,0.15680,0.00,0.00,15.00,15.00,-2.09,0.00,0.00,88.68,11.0463,1104.6,0.163,1,-0.03,8,0.0016
40,0.400,0.9751,-0.02419,0.00977,-0.01371,0.00456,-0.01827,-0.02100,-0.15472,0.13528,0.13372,0.15628,0.00,0.00,12.50,12.50,-2.16,0.00,0.00,90.26,9.0329,903.3,0.149,0,-0.03,8,0.0008
45,0.450,0.9743,-0.02384,0.00620,-0.02325,0.00107,-0.02432,-0.02182,-0.15472,0.13528,0.13290,0.15710,0.00,0.00,13.37,13.37,-2.31,0.00,0.00,86.84,9.5350,953.5,0.132,0,-0.03,8,0.0010
50,0.500,0.9738,-0.02349,0.00896,-0.02847,0.00567,-0.03414,-0.02056,-0.15472,0.13528,0.13415,0.15585,0.00,0.00,10.04,10.04,-2.50,0.00,0.00,91.36,9.9769,997.7,0.135,0,-0.02,8,0.0009
55,0.550,0.9731,-0.02286,0.01603,-0.04454,0.01664,-0.06117,-0.01763,-0.15472,0.13528,0.13709,0.15291,0.00,0.00,3.50,3.50,-2.77,0.00,0.00,102.13,9.3920,939.2,0.134,0,-0.02,8,0.0005
60,0.600,0.9716,-0.02165,0.03192,-0.06905,0.04060,-0.10966,-0.01125,-0.15472,0.13528,0.14347,0.14653,0.00,0.00,0.00,0.00,-3.20,0.00,0.00,125.67,9.4863,948.6,0.129,0,-0.02,8,0.0006
65,0.650,0.9705,-0.01925,0.05949,-0.07083,0.08301,-0.15384,0.00011,-0.15472,0.13528,0.15483,0.13517,0.00,0.00,0.00,0.00,-3.75,0.00,0.00,167.28,10.0402,1004.0,0.131,0,-0.01,8,0.0013
70,0.700,0.9697,-0.01543,0.08661,-0.06539,0.10528,-0.17067,0.01274,-0.15472,0.13528,0.16746,0.12254,0.00,0.00,0.00,0.00,-4.38,0.00,0.00,189.12,9.5604,956.0,0.131,0,-0.01,8,0.0012
75,0.750,0.9684,-0.01041,0.10900,-0.06049,0.10528,-0.16577,0.02501,-0.15472,0.13528,0.17973,0.11027,0.00,0.00,0.00,0.00,-5.12,0.00,0.00,189.11,9.4195,941.9,0.127,0,-0.01,8,0.0010
80,0.800,0.9666,-0.00429,0.13145,-0.05682,0.10528,-0.16210,0.03835,-0.15472,0.13528,0.19307,0.09693,0.00,0.00,0.00,0.00,-5.95,0.00,0.00,189.12,9.5633,956.3,0.141,0,-0.01,8,0.0010
85,0.850,0.9646,0.00299,0.15496,-0.05195,0.10528,-0.15723,0.05316,-0.15472,0.13528,0.20788,0.08212,0.00,0.00,0.00,0.00,-6.86,0.00,0.00,189.12,9.4919,949.2,0.156,0,-0.01,8,0.0010
90,0.900,0.9622,0.01143,0.17779,-0.04637,0.10528,-0.15165,0.06886,-0.15472,0.13528,0.22357,0.06643,0.00,0.00,0.00,0.00,-7.83,0.00,0.00,189.11,9.3471,934.7,0.170,0,-0.01,8,0.0008
95,0.950,0.9589,0.02098,0.20024,-0.04204,0.10528,-0.14732,0.08548,-0.15472,0.13528,0.24020,0.04980,0.00,0.00,0.00,0.00,-8.86,0.00,0.00,189.12,9.4227,942.3,0.183,0,-0.01,8,0.0019
100,1.000,0.9551,0.03189,0.23332,-0.04103,0.10528,-0.14631,0.10681,-0.15472,0.13528,0.26153,0.02847,0.00,0.00,0.00,0.00,-10.07,0.00,0.00,189.13,10.0528,1005.3,0.197,0,-0.01,8,0.0015
110,1.100,0.9460,0.05879,0.29734,-0.02377,0.10528,-0.12906,0.15367,-0.15472,0.13528,0.30838,-0.01838,0.00,0.00,0.00,0.00,-12.75,0.00,0.00,189.12,9.4380,943.8,0.225,0,-0.01,8,0.0013
120,1.200,0.9326,0.09240,0.37120,-0.00922,0.10528,-0.11451,0.20987,-0.15472,0.13528,0.36459,-0.07459,0.00,0.00,0.00,0.00,-15.92,0.00,0.00,189.12,9.4081,940.8,0.258,0,0.00,8,0.0022
130,1.300,0.9141,0.13410,0.46109,0.00618,0.10528,-0.09910,0.27852,-0.15472,0.13528,0.43324,-0.14324,0.00,0.00,0.00,0.00,-19.53,0.00,0.00,189.14,9.3933,939.3,0.281,0,0.00,8,0.0035
140,1.400,0.8876,0.18613,0.57825,0.02558,0.10528,-0.07970,0.36496,-0.15472,0.13528,0.51968,-0.22968,0.00,0.00,6.88,6.88,-23.97,0.00,0.00,189.14,10.1338,1013.4,0.279,0,0.01,8,0.0058
150,1.500,0.8549,0.25113,0.70800,0.07807,0.10528,-0.02721,0.46710,-0.15472,0.13528,0.62182,-0.33182,0.00,0.00,2.87,2.87,-28.75,0.00,0.00,189.15,8.3979,839.8,0.272,0,0.00,8,0.0103
160,1.600,0.8103,0.32879,0.84960,0.11893,0.10528,0.01365,0.58273,-0.15472,0.13528,0.73745,-0.44745,0.00,0.00,-3.68,-3.68,-33.89,0.00,0.00,189.01,7.3489,734.9,0.260,0,0.00,8,0.0252
170,1.700,0.7371,0.42129,1.00802,0.13358,0.10528,0.02830,0.71258,-0.15490,0.13528,0.86748,-0.57730,0.00,0.00,0.00,0.00,-41.20,0.00,0.00,187.55,8.1662,816.6,0.325,0,-0.37,8,0.0419
172,1.720,0.7287,0.43150,1.02883,0.13496,0.10528,0.02968,0.72755,-0.15490,0.13528,0.88245,-0.59227,0.00,0.00,0.00,0.00,-41.96,0.00,0.00,187.23,8.1726,817.3,0.341,0,-0.53,8,0.0450
