tick,time_s,pelvis_y,com_ap,com_ap_vel,com_ml,com_ml_vel,cop_measured_ap,cop_desired_ap,cop_excursion_from_initial,cop_error,capture_ap,support_ap_rear,support_ap_front,capture_margin_rear,capture_margin_front,ankle_nominal_deg,ankle_gravity_deg,ankle_balance_deg,ankle_final_deg,ankle_actual_deg,knee_actual_deg,hip_actual_deg,abdomen_actual_deg,thorax_actual_deg,max_demand,foot_pitch_deg,contacts,slip_mps
0,0.000,0.9808,-0.0318,0.0000,0.0000,0.0000,NaN,-0.0318,0.0000,-0.0381,-0.0318,-0.0318,-0.0318,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.015,0.00,0,0.0005
5,0.050,0.9737,-0.0317,0.0091,0.0000,0.0021,-0.0866,-0.0318,0.0000,-0.0381,-0.0287,-0.1547,0.1353,0.1260,0.1640,0.00,0.00,0.00,0.00,-0.40,0.26,-0.23,-0.39,-0.55,0.052,-0.02,8,0.0014
10,0.100,0.9736,-0.0299,0.0579,0.0003,0.0053,-0.0860,-0.0318,0.0006,-0.0381,-0.0109,-0.1547,0.1353,0.1438,0.1462,0.00,0.00,0.00,0.00,-0.96,0.60,-0.63,-1.48,-2.11,0.162,-0.02,8,0.0029
15,0.150,0.9747,-0.0258,0.0905,0.0006,0.0075,-0.0744,-0.0318,0.0122,-0.0381,0.0038,-0.1547,0.1353,0.1585,0.1315,0.00,0.00,0.00,0.00,-1.57,0.82,-0.30,-2.94,-3.55,0.170,-0.02,8,0.0015
20,0.200,0.9730,-0.0208,0.1066,0.0010,0.0103,-0.0701,-0.0318,0.0165,-0.0381,0.0141,-0.1547,0.1353,0.1688,0.1212,0.00,0.00,0.00,0.00,-2.42,1.02,0.42,-4.64,-4.89,0.146,-0.02,8,0.0006
25,0.250,0.9714,-0.0148,0.1286,0.0017,0.0136,-0.0673,-0.0318,0.0193,-0.0381,0.0272,-0.1547,0.1353,0.1819,0.1081,0.00,0.00,0.00,0.00,-3.40,1.25,1.20,-6.60,-6.41,0.144,-0.02,8,0.0014
30,0.300,0.9689,-0.0077,0.1488,0.0024,0.0166,-0.0635,-0.0318,0.0231,-0.0381,0.0407,-0.1547,0.1353,0.1954,0.0946,0.00,0.00,0.00,0.00,-4.41,1.50,2.05,-8.50,-7.30,0.150,-0.03,8,0.0002
35,0.350,0.9675,0.0005,0.1795,0.0034,0.0202,-0.0629,-0.0318,0.0237,-0.0381,0.0589,-0.1547,0.1353,0.2136,0.0764,0.00,0.00,0.00,0.00,-5.43,1.67,2.52,-9.71,-8.09,0.156,-0.02,8,0.0019
40,0.400,0.9661,0.0104,0.2089,0.0044,0.0220,-0.0517,-0.0318,0.0349,-0.0381,0.0783,-0.1547,0.1353,0.2330,0.0570,0.00,0.00,0.00,0.00,-6.44,1.73,3.08,-11.00,-9.13,0.141,-0.02,8,0.0012
45,0.450,0.9631,0.0216,0.2326,0.0056,0.0230,-0.0473,-0.0318,0.0393,-0.0381,0.0970,-0.1547,0.1353,0.2517,0.0383,0.00,0.00,0.00,0.00,-7.58,1.80,3.71,-12.34,-10.15,0.139,-0.02,8,0.0006
50,0.500,0.9595,0.0341,0.2631,0.0067,0.0239,-0.0437,-0.0318,0.0429,-0.0381,0.1192,-0.1547,0.1353,0.2739,0.0161,0.00,0.00,0.00,0.00,-8.84,1.87,4.32,-13.75,-11.20,0.153,-0.02,8,0.0008
55,0.550,0.9554,0.0482,0.2973,0.0080,0.0244,-0.0362,-0.0318,0.0504,-0.0381,0.1442,-0.1547,0.1353,0.2989,-0.0089,0.00,0.00,0.00,0.00,-10.19,1.93,4.95,-15.20,-12.29,0.168,-0.01,8,0.0008
60,0.600,0.9505,0.0641,0.3321,0.0092,0.0242,-0.0287,-0.0318,0.0579,-0.0381,0.1710,-0.1547,0.1353,0.3257,-0.0357,0.00,0.00,0.00,0.00,-11.64,1.98,5.59,-16.65,-13.36,0.181,-0.01,8,0.0008
70,0.700,0.9371,0.1016,0.4133,0.0115,0.0227,-0.0139,-0.0318,0.0727,-0.0381,0.2336,-0.1547,0.1353,0.3883,-0.0983,0.00,0.00,0.00,0.00,-14.91,2.05,6.83,-19.51,-15.45,0.208,-0.01,8,0.0016
80,0.800,0.9179,0.1480,0.5122,0.0136,0.0199,0.0051,-0.0318,0.0917,-0.0381,0.3101,-0.1547,0.1353,0.4648,-0.1748,0.00,0.00,0.00,0.00,-18.71,2.06,7.96,-22.19,-17.41,0.231,0.00,8,0.0031
