tick,time_s,pelvis_y,com_ap,com_ap_vel,com_ml,com_ml_vel,cop_measured_ap,cop_desired_ap,cop_excursion_from_initial,cop_error,capture_ap,support_ap_rear,support_ap_front,capture_margin_rear,capture_margin_front,ankle_nominal_deg,ankle_gravity_deg,ankle_balance_deg,ankle_final_deg,ankle_actual_deg,knee_actual_deg,hip_actual_deg,abdomen_actual_deg,thorax_actual_deg,max_demand,foot_pitch_deg,contacts,slip_mps
0,0.000,0.9808,-0.0318,0.0000,0.0000,0.0000,NaN,-0.0318,0.0000,-0.0381,-0.0318,-0.0318,-0.0318,0.0000,0.0000,0.00,11.50,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.015,-0.01,0,0.0010
25,0.250,0.9750,-0.0261,0.0291,0.0026,0.0193,-0.0275,-0.0318,0.0000,-0.0381,-0.0166,-0.1547,0.1353,0.1381,0.1519,0.00,11.50,0.00,11.50,-1.67,0.67,0.11,-4.89,-5.37,0.149,-0.03,8,0.0013
50,0.500,0.9730,-0.0181,0.0381,0.0088,0.0269,-0.0232,-0.0318,0.0043,-0.0381,-0.0057,-0.1547,0.1353,0.1491,0.1409,0.00,11.50,0.00,11.50,-3.16,0.99,1.39,-8.10,-7.25,0.134,-0.02,8,0.0012
75,0.750,0.9701,-0.0065,0.0540,0.0149,0.0205,-0.0131,-0.0318,0.0144,-0.0381,0.0110,-0.1547,0.1353,0.1658,0.1242,0.00,11.50,0.00,11.50,-4.91,1.14,2.81,-11.33,-9.63,0.132,-0.02,8,0.0011
100,1.000,0.9652,0.0093,0.0794,0.0182,0.0043,-0.0025,-0.0318,0.0250,-0.0381,0.0350,-0.1547,0.1353,0.1897,0.1003,0.00,11.50,0.00,11.50,-7.02,1.29,4.37,-14.95,-12.14,0.151,-0.01,8,0.0013
125,1.250,0.9567,0.0336,0.1171,0.0145,-0.0334,0.0085,-0.0318,0.0361,-0.0381,0.0712,-0.1547,0.1353,0.2259,0.0641,0.00,11.50,0.00,11.50,-9.95,1.57,6.23,-19.22,-15.33,0.203,-0.01,8,0.0020
150,1.500,0.9436,0.0709,0.1884,0.0009,-0.0729,0.0234,-0.0318,0.0510,-0.0381,0.1307,-0.1547,0.1353,0.2854,0.0046,0.00,11.50,0.00,11.50,-13.73,1.95,8.14,-23.55,-18.14,0.245,-0.01,8,0.0030
175,1.750,0.9207,0.1331,0.3194,-0.0235,-0.1172,0.0432,-0.0318,0.0707,-0.0381,0.2333,-0.1547,0.1353,0.3880,-0.0980,0.00,11.50,0.00,11.50,-19.20,2.51,10.50,-24.93,-18.78,0.248,-0.01,8,0.0044
200,2.000,0.8777,0.2408,0.5620,-0.0551,-0.1315,0.0823,-0.0318,0.1098,-0.0381,0.4145,-0.1547,0.1353,0.5692,-0.2792,0.00,11.50,0.00,11.50,-25.96,1.83,9.33,-24.44,-18.66,0.265,-0.01,8,0.0238
225,2.250,0.7860,0.4301,0.9739,-0.0933,-0.1861,0.1347,-0.0318,0.1622,-0.0381,0.7184,-0.1553,0.1351,0.8737,-0.5834,0.00,11.50,0.00,11.50,-35.90,0.37,6.79,-19.38,-16.55,0.347,-2.22,8,0.0403
250,2.500,0.5542,0.7609,1.6929,-0.1527,-0.3060,0.1296,-0.0318,0.1572,-0.0381,1.2001,0.0915,0.1400,1.1086,-1.0601,0.00,11.50,0.00,11.50,-35.22,0.55,6.81,-18.79,-17.44,0.280,-29.88,8,0.0370
275,2.750,0.1149,1.2269,1.6477,-0.2393,0.1760,0.2396,-0.0318,0.2671,-0.0381,1.4622,0.1258,0.2514,1.3364,-1.2108,0.00,11.50,0.00,11.50,9.91,3.88,8.19,-0.30,2.94,0.946,-71.74,8,0.0225
300,3.000,0.1315,1.2884,-0.0155,-0.2561,0.0007,0.2619,-0.0318,0.2894,-0.0381,1.2862,0.1828,0.2917,1.1034,-0.9946,0.00,11.50,0.00,11.50,19.74,2.47,4.70,-0.31,11.20,0.148,-67.02,7,0.0083
325,3.250,0.1317,1.2876,-0.0040,-0.2560,0.0005,0.2624,-0.0318,0.2899,-0.0381,1.2870,0.1828,0.2917,1.1042,-0.9953,0.00,11.50,0.00,11.50,19.76,2.33,4.56,-0.53,11.22,0.145,-67.09,7,0.0085
350,3.500,0.1317,1.2876,0.0000,-0.2560,0.0000,NaN,-0.0318,NaN,-0.0381,1.2876,1.2876,1.2876,0.0000,0.0000,0.00,11.50,0.00,11.50,19.76,2.32,4.55,-0.56,11.23,0.146,-67.10,0,0.0000
375,3.750,0.1317,1.2876,0.0000,-0.2560,0.0000,NaN,-0.0318,NaN,-0.0381,1.2876,1.2876,1.2876,0.0000,0.0000,0.00,11.50,0.00,11.50,19.76,2.32,4.55,-0.56,11.23,0.146,-67.10,0,0.0000
400,4.000,0.1317,1.2876,0.0000,-0.2560,0.0000,NaN,-0.0318,NaN,-0.0381,1.2876,1.2876,1.2876,0.0000,0.0000,0.00,11.50,0.00,11.50,19.76,2.32,4.55,-0.56,11.23,0.146,-67.10,0,0.0000
425,4.250,0.1317,1.2876,0.0000,-0.2560,0.0000,NaN,-0.0318,NaN,-0.0381,1.2876,1.2876,1.2876,0.0000,0.0000,0.00,11.50,0.00,11.50,19.76,2.32,4.55,-0.56,11.23,0.146,-67.10,0,0.0000
450,4.500,0.1317,1.2876,0.0000,-0.2560,0.0000,NaN,-0.0318,NaN,-0.0381,1.2876,1.2876,1.2876,0.0000,0.0000,0.00,11.50,0.00,11.50,19.76,2.32,4.55,-0.56,11.23,0.146,-67.10,0,0.0000
475,4.750,0.1317,1.2876,0.0000,-0.2560,0.0000,NaN,-0.0318,NaN,-0.0381,1.2876,1.2876,1.2876,0.0000,0.0000,0.00,11.50,0.00,11.50,19.76,2.32,4.55,-0.56,11.23,0.146,-67.10,0,0.0000
499,4.990,0.1317,1.2876,0.0000,-0.2560,0.0000,NaN,-0.0318,NaN,-0.0381,1.2876,1.2876,1.2876,0.0000,0.0000,0.00,11.50,0.00,11.50,19.76,2.32,4.55,-0.56,11.23,0.146,-67.10,0,0.0000
