tick,pelvis_y,left_sole_y,right_sole_y,left_foot_vel_y,contacts
0,0.98161,0.00000,0.00000,0.00000,8
1,0.98080,-0.00019,-0.00018,-0.00768,0
2,0.97943,-0.00037,-0.00038,-0.00858,8
3,0.97780,-0.00051,-0.00052,-0.00985,8
4,0.97617,-0.00059,-0.00061,-0.01097,8
5,0.97475,-0.00062,-0.00065,-0.01202,8
6,0.97367,-0.00062,-0.00066,-0.01135,8
7,0.97301,-0.00062,-0.00066,-0.00880,8
8,0.97274,-0.00060,-0.00065,-0.00616,8
9,0.97281,-0.00060,-0.00065,-0.00386,8
10,0.97311,-0.00062,-0.00067,-0.00214,8
11,0.97355,-0.00065,-0.00069,-0.00116,8
12,0.97402,-0.00070,-0.00074,-0.00091,8
13,0.97442,-0.00077,-0.00080,-0.00131,8
14,0.97469,-0.00084,-0.00087,-0.00220,8
15,0.97480,-0.00092,-0.00095,-0.00337,8
16,0.97475,-0.00115,-0.00121,-0.00463,8
17,0.97454,-0.00120,-0.00127,-0.00585,8
18,0.97422,-0.00124,-0.00130,-0.00678,8
19,0.97382,-0.00127,-0.00134,-0.00746,8
20,0.97339,-0.00131,-0.00137,-0.00787,8
