repeat,offset_deg,cop_ap_combined,cop_ap_left,cop_ap_right,com_ap,com_minus_cop,fz_n,contacts_left,contacts_right,pelvis_y
0,-3.0,-0.079106,-0.078880,-0.079325,-0.013448,0.065658,980.9,4,4,0.9707
0,-2.0,-0.075489,-0.075202,-0.075766,-0.014265,0.061224,983.0,4,4,0.9710
0,-1.0,-0.071877,-0.071549,-0.072195,-0.015155,0.056722,987.8,4,4,0.9712
0,0.0,-0.068314,-0.067892,-0.068721,-0.016113,0.052200,986.9,4,4,0.9716
0,1.0,-0.064735,-0.064221,-0.065229,-0.017163,0.047572,984.9,4,4,0.9720
0,2.0,-0.061205,-0.060600,-0.061785,-0.018296,0.042909,983.3,4,4,0.9723
0,3.0,-0.057704,-0.057008,-0.058371,-0.019444,0.038260,982.4,4,4,0.9727
1,-3.0,-0.079106,-0.078880,-0.079325,-0.013448,0.065658,980.9,4,4,0.9707
1,-2.0,-0.075489,-0.075202,-0.075766,-0.014265,0.061224,983.0,4,4,0.9710
1,-1.0,-0.071877,-0.071549,-0.072195,-0.015155,0.056722,987.8,4,4,0.9712
1,0.0,-0.068314,-0.067892,-0.068721,-0.016113,0.052200,986.9,4,4,0.9716
1,1.0,-0.064735,-0.064221,-0.065229,-0.017163,0.047572,984.9,4,4,0.9720
1,2.0,-0.061205,-0.060600,-0.061785,-0.018296,0.042909,983.3,4,4,0.9723
1,3.0,-0.057704,-0.057008,-0.058371,-0.019444,0.038260,982.4,4,4,0.9727

# G_target_cop_combined_m_per_rad,0.20446
# G_target_cop_r2,0.999968
# G_target_cop_max_abs_residual_m,0.0000623
# G_target_cop_repeat_m_per_rad,0.20446
# G_target_cop_repeatability_rel,0.000000
# G_target_cop_left_m_per_rad,0.20902
# G_target_cop_right_m_per_rad,0.20010
# required_static_cop_shift_m,0.05220
# ankle_cop_authority_at_bound_m,0.05353
# authority_margin_m,0.00133
