# initial pre-simulation state
joint,initial_actual_deg,nominal_target_deg,drive_space_error_deg,initial_ang_vel_x,target_ang_vel_x,limit_proximity,max_force_nm
left_thigh,0.000,0.000,0.000,0.0000,0.0000,0.000,2052.0
right_thigh,0.000,0.000,0.000,0.0000,0.0000,0.000,2052.0
abdomen,0.000,0.000,0.000,0.0000,0.0000,0.000,1482.0
thorax,0.000,0.000,0.000,0.0000,0.0000,0.000,1482.0
left_shank,0.000,0.000,0.000,0.0000,0.0000,0.000,2052.0
right_shank,0.000,0.000,0.000,0.0000,0.0000,0.000,2052.0
left_foot,0.000,0.000,2.292,0.0000,0.0000,0.000,1710.0
right_foot,0.000,0.000,2.292,0.0000,0.0000,0.000,1710.0
# transient trace
tick,t_s,hip_l_err,hip_r_err,abdomen_err,thorax_err,knee_l_err,knee_r_err,protected_max_err,ankle_l_actual,ankle_l_track_err,ankle_l_limit_prox,pelvis_y,pelvis_vy,com_ap,com_ap_vel,com_y_vel,cop_ap,fz_n,left_contacts,right_contacts,foot_pitch_deg,abdomen_ang_vel,abdomen_demand
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.292,0.000,0.9816,0.0000,-0.03181,0.00000,0.00000,-0.06987,934.0,1,1,0.000,0.0000,0.000
1,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.145,0.000,0.9808,-0.0764,-0.03181,0.00000,0.00000,NaN,0.0,1,1,-0.004,0.0000,0.000
2,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.015,0.000,0.000,0.9794,-0.1298,-0.03182,-0.00039,-0.07792,-0.04981,201.4,1,1,-0.009,-0.0247,0.002
3,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.074,0.177,0.002,0.9778,-0.1547,-0.03182,-0.00039,-0.07792,-0.07853,411.5,1,1,-0.013,-0.0700,0.005
4,0.040,0.000,0.000,0.000,0.163,0.000,0.000,0.163,-0.168,0.277,0.004,0.9762,-0.1545,-0.03182,0.00040,-0.13480,-0.08257,668.4,1,1,-0.015,-0.1263,0.009
5,0.050,0.163,0.172,0.280,0.326,0.186,0.206,0.326,-0.281,0.386,0.006,0.9747,-0.1345,-0.03179,0.00348,-0.16597,-0.08506,908.1,1,1,-0.017,-0.1830,0.013
6,0.060,0.265,0.288,0.439,0.551,0.259,0.306,0.551,-0.402,0.493,0.009,0.9737,-0.1018,-0.03171,0.00912,-0.17316,-0.08660,1103.3,1,1,-0.018,-0.2358,0.017
7,0.070,0.371,0.409,0.624,0.825,0.338,0.405,0.825,-0.523,0.599,0.012,0.9730,-0.0634,-0.03155,0.01704,-0.16081,-0.08747,1238.2,1,1,-0.018,-0.2835,0.022
8,0.080,0.473,0.534,0.835,1.132,0.413,0.511,1.132,-0.640,0.702,0.014,0.9727,-0.0257,-0.03130,0.02662,-0.13499,-0.08780,1308.2,1,1,-0.018,-0.3258,0.026
9,0.090,0.564,0.640,1.063,1.458,0.483,0.610,1.458,-0.752,0.802,0.017,0.9728,0.0063,-0.03093,0.03711,-0.10218,-0.08767,1316.7,1,1,-0.018,-0.3630,0.030
10,0.100,0.629,0.720,1.308,1.790,0.545,0.699,1.790,-0.859,0.901,0.019,0.9731,0.0291,-0.03045,0.04774,-0.06853,-0.08707,1275.4,1,1,-0.018,-0.3952,0.034
11,0.110,0.661,0.763,1.565,2.118,0.603,0.779,2.118,-0.964,1.002,0.021,0.9736,0.0416,-0.02987,0.05785,-0.03903,-0.08596,1200.3,1,1,-0.018,-0.4228,0.038
12,0.120,0.657,0.766,1.833,2.434,0.655,0.847,2.434,-1.070,1.105,0.024,0.9740,0.0440,-0.02919,0.06696,-0.01704,-0.08430,1108.6,1,1,-0.018,-0.4465,0.042
13,0.130,0.617,0.730,2.111,2.735,0.699,0.902,2.735,-1.181,1.214,0.026,0.9744,0.0379,-0.02843,0.07477,-0.00423,-0.08213,1016.3,1,1,-0.018,-0.4669,0.046
14,0.140,0.544,0.657,2.399,3.019,0.741,0.950,3.019,-1.299,1.332,0.029,0.9747,0.0258,-0.02761,0.08122,-0.00066,-0.07957,936.0,1,1,-0.019,-0.4848,0.050
15,0.150,0.444,0.554,2.695,3.290,0.778,0.991,3.290,-1.427,1.462,0.032,0.9748,0.0105,-0.02674,0.08639,-0.00512,-0.07689,876.1,1,1,-0.020,-0.5011,0.054
16,0.160,0.324,0.428,3.002,3.552,0.817,1.027,3.552,-1.566,1.602,0.035,0.9747,-0.0053,-0.02582,0.09054,-0.01557,-0.07442,840.1,1,1,-0.021,-0.5166,0.057
17,0.170,0.194,0.291,3.318,3.810,0.856,1.062,3.810,-1.715,1.768,0.038,0.9745,-0.0194,-0.02488,0.09397,-0.02961,-0.07251,829.0,1,1,-0.022,-0.5321,0.061
18,0.180,0.000,0.000,3.645,4.069,0.895,1.097,4.069,-1.878,1.928,0.042,0.9742,-0.0303,-0.02390,0.09703,-0.04475,-0.07117,838.0,1,1,-0.023,-0.5486,0.065
19,0.190,0.000,0.000,3.983,4.334,0.936,1.135,4.334,-2.050,2.098,0.046,0.9738,-0.0374,-0.02290,0.09999,-0.05900,-0.07051,861.9,1,1,-0.023,-0.5662,0.070
20,0.200,0.277,0.181,4.333,4.608,0.980,1.174,4.608,-2.231,2.277,0.050,0.9734,-0.0407,-0.02186,0.10313,-0.07084,-0.07024,892.5,1,1,-0.024,-0.5842,0.074
21,0.210,0.422,0.329,4.695,4.891,1.023,1.216,4.891,-2.418,2.462,0.054,0.9730,-0.0407,-0.02080,0.10660,-0.07963,-0.07012,923.7,1,1,-0.024,-0.6023,0.078
22,0.220,0.572,0.481,5.068,5.184,1.068,1.260,5.184,-2.610,2.651,0.058,0.9726,-0.0382,-0.01969,0.11048,-0.08529,-0.06996,951.0,1,1,-0.024,-0.6200,0.083
23,0.230,0.722,0.634,5.452,5.485,1.113,1.304,5.485,-2.805,2.843,0.062,0.9722,-0.0342,-0.01855,0.11473,-0.08821,-0.06965,971.5,1,1,-0.024,-0.6367,0.087
24,0.240,0.878,0.788,5.844,5.792,1.158,1.349,5.844,-3.001,3.037,0.067,0.9719,-0.0297,-0.01735,0.11925,-0.08909,-0.06911,983.5,1,1,-0.024,-0.6518,0.092
25,0.250,1.036,0.950,6.244,6.103,1.203,1.393,6.244,-3.200,3.232,0.071,0.9716,-0.0256,-0.01611,0.12394,-0.08876,-0.06831,986.9,1,1,-0.024,-0.6648,0.097
26,0.260,1.200,1.117,6.651,6.415,1.247,1.436,6.651,-3.399,3.427,0.076,0.9714,-0.0224,-0.01483,0.12864,-0.08810,-0.06727,982.8,1,1,-0.024,-0.6751,0.101
27,0.270,1.372,1.291,7.061,6.725,1.290,1.477,7.061,-3.599,3.623,0.080,0.9711,-0.0206,-0.01349,0.13324,-0.08784,-0.06600,973.0,1,1,-0.024,-0.6824,0.105
28,0.280,1.549,1.472,7.474,7.031,1.331,1.516,7.474,-3.800,3.820,0.084,0.9709,-0.0202,-0.01211,0.13764,-0.08857,-0.06455,959.6,1,1,-0.024,-0.6867,0.109
29,0.290,1.733,1.660,7.888,7.332,1.372,1.553,7.888,-4.001,4.018,0.089,0.9704,-0.0462,-0.01069,0.14175,-0.09064,-0.06300,945.0,1,1,-0.025,-0.6879,0.113
30,0.300,1.909,1.845,8.261,7.420,1.427,1.598,8.261,-4.201,4.215,0.093,0.9696,-0.0773,-0.00923,0.14556,-0.09416,-0.06215,958.7,1,1,-0.027,-0.6261,0.113
31,0.310,2.055,1.998,8.552,7.301,1.497,1.660,8.552,-4.405,4.421,0.098,0.9689,-0.0611,-0.00774,0.14885,-0.09631,-0.06346,1035.7,1,1,-0.027,-0.4756,0.108
32,0.320,2.170,2.113,8.784,7.370,1.556,1.718,8.784,-4.623,4.639,0.103,0.9685,-0.0452,-0.00622,0.15235,-0.09076,-0.06520,1097.8,1,1,-0.025,-0.3636,0.103
33,0.330,2.264,2.205,9.021,7.513,1.598,1.765,9.021,-4.837,4.851,0.107,0.9681,-0.0321,-0.00465,0.15773,-0.07900,-0.06583,1102.9,1,1,-0.023,-0.3738,0.106
34,0.340,2.346,2.284,9.267,7.692,1.628,1.801,9.267,-5.041,5.053,0.112,0.9678,-0.0221,-0.00300,0.16458,-0.06674,-0.06563,1090.6,1,1,-0.022,-0.3900,0.109
