configuration,joint,t_s,nominal_deg,preload_deg,balance_offset_deg,final_target_deg,actual_deg,posture_error_deg,drive_space_error_deg,drive_error_x_deg,drive_error_y_deg,drive_error_z_deg,applied_vs_nominal_deg,target_ang_vel_x,actual_ang_vel_x,low_limit,high_limit,limit_proximity,spring,damper,max_force_nm,activation,capacity_scale,modelled_demand,implied_spring_torque_nm,solver_torque_x_nm
A_NOMINAL_ONLY,left_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-120.0,45.0,0.000,900,90,2052.0,1.00,5.70,0.000,0.0,0.000
A_NOMINAL_ONLY,right_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-120.0,45.0,0.000,900,90,2052.0,1.00,5.70,0.000,0.0,-0.004
A_NOMINAL_ONLY,abdomen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-35.0,45.0,0.000,800,85,1482.0,1.00,5.70,0.000,0.0,-0.026
A_NOMINAL_ONLY,thorax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-35.0,50.0,0.000,800,85,1482.0,1.00,5.70,0.000,0.0,0.000
A_NOMINAL_ONLY,left_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-5.0,145.0,0.000,800,80,2052.0,1.00,6.84,0.000,0.0,0.008
A_NOMINAL_ONLY,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-5.0,145.0,0.000,800,80,2052.0,1.00,6.84,0.000,0.0,0.000
A_NOMINAL_ONLY,left_foot,0.00,0.00,0.00,2.29,2.29,0.00,0.00,2.29,2.292,0.000,0.000,2.29,0.000,0.000,-45.0,55.0,0.000,650,70,1710.0,1.00,9.50,0.015,26.0,0.599
A_NOMINAL_ONLY,right_foot,0.00,0.00,0.00,2.29,2.29,0.00,0.00,2.29,2.292,0.000,0.000,2.29,0.000,0.000,-45.0,55.0,0.000,650,70,1710.0,1.00,9.50,0.015,26.0,0.596
A_NOMINAL_ONLY,left_thigh,0.25,0.00,0.00,0.00,0.00,1.04,1.04,1.04,-1.036,0.007,-0.022,0.00,0.000,0.307,-120.0,45.0,0.023,900,90,2052.0,1.00,5.70,0.022,16.3,0.000
A_NOMINAL_ONLY,right_thigh,0.25,0.00,0.00,0.00,0.00,0.95,0.95,0.95,-0.950,-0.015,-0.010,0.00,0.000,0.326,-120.0,45.0,0.021,900,90,2052.0,1.00,5.70,0.022,14.9,0.004
A_NOMINAL_ONLY,abdomen,0.25,0.00,0.00,0.00,0.00,-6.19,6.24,6.24,6.190,0.045,-0.821,0.00,0.000,-0.665,-35.0,45.0,0.177,800,85,1482.0,1.00,5.70,0.097,87.2,-0.058
A_NOMINAL_ONLY,thorax,0.25,0.00,0.00,0.00,0.00,-6.10,6.10,6.10,6.101,-0.054,0.161,0.00,0.000,-0.563,-35.0,50.0,0.174,800,85,1482.0,1.00,5.70,0.090,85.2,0.002
A_NOMINAL_ONLY,left_shank,0.25,0.00,0.00,0.00,0.00,1.20,1.20,1.20,-1.203,-0.002,0.005,0.00,0.000,-0.002,-5.0,145.0,0.008,800,80,2052.0,1.00,6.84,0.008,16.8,0.011
A_NOMINAL_ONLY,right_shank,0.25,0.00,0.00,0.00,0.00,1.39,1.39,1.39,-1.393,0.000,0.000,0.00,0.000,-0.036,-5.0,145.0,0.010,800,80,2052.0,1.00,6.84,0.008,19.5,0.000
