tick,time_s,pelvis_y,com_ap,com_ap_vel,cop_measured_ap,cop_desired_ap,cop_error,capture_ap,support_ap_rear,support_ap_front,capture_margin_rear,capture_margin_front,ankle_nominal_deg,ankle_preload_deg,ankle_balance_deg,ankle_final_deg,ankle_actual_deg,hip_balance_deg,trunk_balance_deg,requested_ankle_torque_nm,normal_impulse,fz_estimate_n,max_demand,ankle_saturated,foot_pitch_deg,contacts,slip_mps
0,0.000,0.9808,-0.03181,0.00000,NaN,-0.03181,-0.03806,-0.03181,-0.03181,-0.03181,0.00000,0.00000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.63,0.0000,0.0,0.015,1,0.00,0,0.0005
5,0.050,0.9741,-0.03175,0.00616,-0.06512,-0.02365,-0.04147,-0.02973,-0.15472,0.13528,0.12499,0.16501,0.00,0.00,11.46,11.46,-0.30,0.16,-0.08,62.66,11.2661,1126.6,0.055,1,-0.03,8,0.0003
10,0.100,0.9748,-0.03050,0.03826,-0.04682,0.02162,-0.06844,-0.01796,-0.15472,0.13528,0.13676,0.15324,0.00,0.00,15.00,15.00,-0.63,1.05,-0.52,107.06,12.2912,1229.1,0.168,1,-0.03,8,0.0032
15,0.150,0.9773,-0.02819,0.04490,-0.00072,0.03751,-0.03823,-0.01347,-0.15472,0.13528,0.14125,0.14875,0.00,0.00,15.00,15.00,-0.90,1.32,-0.66,122.58,8.3885,838.9,0.178,1,-0.03,8,0.0015
20,0.200,0.9762,-0.02640,0.02959,-0.00320,0.02332,-0.02652,-0.01671,-0.15472,0.13528,0.13801,0.15199,0.00,0.00,15.00,15.00,-1.33,1.00,-0.50,108.65,8.9691,896.9,0.148,1,-0.03,8,0.0005
25,0.250,0.9751,-0.02525,0.02047,-0.01200,0.01504,-0.02705,-0.01856,-0.15472,0.13528,0.13616,0.15384,0.00,0.00,15.00,15.00,-1.80,0.81,-0.40,100.54,10.0663,1006.6,0.146,1,-0.03,8,0.0012
30,0.300,0.9738,-0.02448,0.01104,-0.01746,0.00527,-0.02273,-0.02087,-0.15472,0.13528,0.13385,0.15615,0.00,0.00,15.00,15.00,-2.17,0.60,-0.30,90.95,11.0232,1102.3,0.165,1,-0.04,8,0.0005
35,0.350,0.9742,-0.02404,0.01059,-0.01612,0.00602,-0.02214,-0.02059,-0.15472,0.13528,0.13413,0.15587,0.00,0.00,15.00,15.00,-2.40,0.60,-0.30,91.70,10.4199,1042.0,0.161,1,-0.03,8,0.0016
40,0.400,0.9746,-0.02358,0.00707,-0.00806,0.00298,-0.01105,-0.02127,-0.15472,0.13528,0.13345,0.15655,0.00,0.00,12.38,12.38,-2.54,0.00,0.00,88.70,9.1131,911.3,0.145,0,-0.03,8,0.0008
45,0.450,0.9737,-0.02346,0.00090,-0.01866,-0.00454,-0.01413,-0.02316,-0.15472,0.13528,0.13155,0.15845,0.00,0.00,13.77,13.77,-2.75,0.38,-0.19,81.33,9.6498,965.0,0.133,1,-0.03,8,0.0009
