family,bias_deg,initial_pelvis_y,settled_pelvis_y,min_pelvis_y,final_pelvis_y,initial_sag,final_com_ap,final_com_ap_vel,max_com_ap_vel,worst_capture_margin,cop_min_ap,cop_max_ap,max_saturation,sustained_saturation,max_posture_error_deg,worst_foot_pitch_deg,lost_contact
Ankle,-6.0,1.0749,1.0180,1.0128,1.0128,0.0569,0.0115,0.1726,0.1726,0.0614,-0.0614,-0.0327,0.128,0.000,11.60,0.15,False
Ankle,-4.0,1.0749,1.0171,1.0103,1.0103,0.0578,0.0196,0.2097,0.2097,0.0417,-0.0673,-0.0386,0.137,0.000,12.52,0.18,False
Ankle,-2.0,1.0749,1.0164,1.0078,1.0078,0.0585,0.0287,0.2475,0.2475,0.0223,-0.0722,-0.0433,0.149,0.000,13.53,0.30,False
Ankle,0.0,1.0749,1.0153,1.0055,1.0055,0.0596,0.0362,0.2791,0.2791,0.0067,-0.0757,-0.0476,0.160,0.000,14.37,0.29,False
Ankle,2.0,1.0749,1.0143,1.0022,1.0022,0.0606,0.0460,0.3209,0.3209,-0.0147,-0.0833,-0.0529,0.173,0.000,15.43,0.43,False
Ankle,4.0,1.0748,1.0134,0.9991,0.9991,0.0614,0.0548,0.3570,0.3570,-0.0328,-0.0888,-0.0572,0.185,0.000,16.37,0.50,False
Ankle,6.0,1.0748,1.0126,0.9960,0.9960,0.0623,0.0633,0.3895,0.3895,-0.0509,-0.0887,-0.0590,0.196,0.000,17.25,0.41,False
Knee,-6.0,1.0748,1.0195,1.0112,1.0112,0.0553,0.0405,0.3063,0.3063,0.0067,-0.0788,-0.0581,0.148,0.000,13.86,0.22,False
Knee,-4.0,1.0749,1.0187,1.0100,1.0100,0.0562,0.0385,0.2969,0.2969,0.0081,-0.0781,-0.0555,0.151,0.000,13.89,0.33,False
Knee,-2.0,1.0749,1.0172,1.0079,1.0079,0.0576,0.0379,0.2903,0.2903,0.0063,-0.0768,-0.0519,0.156,0.000,14.18,0.34,False
Knee,0.0,1.0749,1.0153,1.0055,1.0055,0.0595,0.0363,0.2790,0.2790,0.0070,-0.0755,-0.0474,0.160,0.000,14.37,0.29,False
Knee,2.0,1.0748,1.0128,1.0020,1.0020,0.0621,0.0368,0.2776,0.2776,0.0023,-0.0773,-0.0433,0.167,0.000,14.79,0.38,False
Knee,4.0,1.0748,1.0108,1.0001,1.0001,0.0641,0.0354,0.2719,0.2719,0.0004,-0.0801,-0.0415,0.170,0.000,15.26,0.28,False
Knee,6.0,1.0748,1.0100,0.9988,0.9988,0.0649,0.0357,0.2781,0.2781,-0.0077,-0.0843,-0.0443,0.172,0.000,15.48,0.31,False
Hip,-6.0,1.0748,1.0091,0.9927,0.9927,0.0657,0.0448,0.3000,0.3000,-0.0162,-0.0835,-0.0360,0.211,0.000,18.03,0.45,False
Hip,-4.0,1.0748,1.0107,0.9968,0.9968,0.0641,0.0427,0.2952,0.2952,-0.0099,-0.0829,-0.0396,0.197,0.000,17.04,0.44,False
Hip,-2.0,1.0748,1.0127,1.0010,1.0010,0.0621,0.0401,0.2899,0.2899,-0.0032,-0.0800,-0.0435,0.180,0.000,15.81,0.44,False
Hip,0.0,1.0748,1.0152,1.0054,1.0054,0.0596,0.0364,0.2796,0.2796,0.0064,-0.0759,-0.0476,0.160,0.000,14.40,0.29,False
Hip,2.0,1.0749,1.0170,1.0092,1.0092,0.0579,0.0337,0.2737,0.2737,0.0137,-0.0739,-0.0511,0.142,0.000,13.11,0.23,False
Hip,4.0,1.0749,1.0183,1.0126,1.0126,0.0566,0.0307,0.2680,0.2680,0.0209,-0.0754,-0.0555,0.136,0.000,11.79,0.23,False
Hip,6.0,1.0749,1.0195,1.0149,1.0149,0.0554,0.0288,0.2652,0.2652,0.0262,-0.0775,-0.0615,0.146,0.000,10.69,0.31,False
Abdomen,-6.0,1.0749,1.0124,0.9987,0.9987,0.0625,0.0406,0.2839,0.2839,0.0006,-0.0765,-0.0348,0.206,0.000,23.54,0.37,False
Abdomen,-4.0,1.0749,1.0121,0.9991,0.9991,0.0628,0.0411,0.2903,0.2903,-0.0050,-0.0800,-0.0398,0.198,0.000,21.22,0.38,False
Abdomen,-2.0,1.0749,1.0133,1.0023,1.0023,0.0615,0.0388,0.2854,0.2854,0.0003,-0.0792,-0.0435,0.180,0.000,17.83,0.33,False
Abdomen,0.0,1.0749,1.0152,1.0054,1.0054,0.0596,0.0364,0.2796,0.2796,0.0064,-0.0759,-0.0476,0.160,0.000,14.41,0.29,False
Abdomen,2.0,1.0749,1.0163,1.0083,1.0083,0.0585,0.0343,0.2752,0.2752,0.0115,-0.0742,-0.0509,0.141,0.000,11.01,0.22,False
Abdomen,4.0,1.0748,1.0171,1.0104,1.0104,0.0577,0.0330,0.2765,0.2765,0.0135,-0.0769,-0.0572,0.136,0.000,9.98,0.27,False
Abdomen,6.0,1.0748,1.0179,1.0124,1.0124,0.0570,0.0305,0.2696,0.2696,0.0198,-0.0786,-0.0606,0.147,0.000,9.23,0.30,False
Thorax,-6.0,1.0748,1.0135,1.0015,1.0015,0.0613,0.0394,0.2838,0.2838,0.0030,-0.0779,-0.0392,0.188,0.000,19.43,0.34,False
Thorax,-4.0,1.0749,1.0130,1.0013,1.0013,0.0619,0.0399,0.2883,0.2883,-0.0018,-0.0803,-0.0426,0.185,0.000,17.28,0.35,False
Thorax,-2.0,1.0749,1.0138,1.0034,1.0034,0.0611,0.0381,0.2839,0.2839,0.0023,-0.0790,-0.0448,0.173,0.000,15.28,0.32,False
Thorax,0.0,1.0749,1.0152,1.0054,1.0054,0.0596,0.0364,0.2795,0.2795,0.0065,-0.0759,-0.0476,0.160,0.000,14.40,0.29,False
Thorax,2.0,1.0748,1.0160,1.0074,1.0074,0.0589,0.0347,0.2758,0.2758,0.0102,-0.0741,-0.0500,0.147,0.000,13.54,0.22,False
Thorax,4.0,1.0748,1.0164,1.0088,1.0088,0.0584,0.0341,0.2789,0.2789,0.0104,-0.0767,-0.0545,0.137,0.000,12.84,0.27,False
Thorax,6.0,1.0748,1.0169,1.0103,1.0103,0.0579,0.0322,0.2749,0.2749,0.0144,-0.0780,-0.0603,0.143,0.000,12.07,0.28,False
