tick,pelvis_y,left_foot_min_y,right_foot_min_y,left_foot_vel_y,contacts
0,1.0758,0.0468,0.0468,0.0000,0
1,1.0749,0.0458,0.0458,-0.0981,0
2,1.0729,0.0438,0.0438,-0.1961,0
3,1.0700,0.0409,0.0409,-0.2941,0
4,1.0660,0.0370,0.0370,-0.3920,0
5,1.0611,0.0321,0.0321,-0.4899,0
6,1.0553,0.0262,0.0262,-0.5878,0
7,1.0484,0.0193,0.0193,-0.6856,0
8,1.0406,0.0115,0.0115,-0.7834,0
9,1.0318,0.0027,0.0027,-0.8811,8
10,1.0231,-0.0006,-0.0006,-0.2680,8
11,1.0161,-0.0017,-0.0016,-0.0557,8
12,1.0114,-0.0024,-0.0023,-0.0271,8
13,1.0091,-0.0028,-0.0026,-0.0332,8
14,1.0089,-0.0027,-0.0026,-0.0434,8
15,1.0103,-0.0024,-0.0026,-0.0691,8
16,1.0129,-0.0019,-0.0017,-0.0927,8
17,1.0159,-0.0015,-0.0014,-0.0774,8
18,1.0189,-0.0011,-0.0011,-0.0669,8
19,1.0214,-0.0007,-0.0008,-0.0499,8
20,1.0232,-0.0005,-0.0006,-0.0257,8
