tick,com_ap,com_vel_ap,capture_ap,cop_des_ap,cop_meas_ap,support_ap_min,support_ap_max,capture_margin_front,capture_margin_rear,ankle_offset_deg,hip_offset_deg,trunk_offset_deg,hip_blend,max_drive_saturation,foot_pitch_deg,contacts,slip_mps,pelvis_y
0,-0.0318,0.0000,-0.0318,0.0000,0.0000,-0.0318,-0.0318,0.0000,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0,0.0000,1.0749
25,-0.0175,0.0975,0.0151,0.1052,0.0685,-0.1549,0.1352,0.1201,0.1700,9.87,0.00,0.00,0.00,0.128,-0.33,8,0.0060,1.0240
50,0.0053,0.0938,0.0364,0.1052,-0.0080,-0.1549,0.1352,0.0987,0.1913,13.23,0.88,-0.44,0.21,0.134,0.00,8,0.0014,1.0153
75,0.0325,0.1270,0.0745,0.1052,0.0069,-0.1549,0.1352,0.0607,0.2294,12.59,0.00,0.00,0.00,0.166,-0.03,8,0.0016,1.0078
100,0.0724,0.2008,0.1382,0.1052,0.0186,-0.1549,0.1352,-0.0030,0.2931,12.09,0.00,0.00,0.00,0.201,0.01,8,0.0024,0.9948
125,0.1384,0.3401,0.2484,0.1052,0.0336,-0.1549,0.1352,-0.1133,0.4033,11.45,0.00,0.00,0.00,0.235,0.12,8,0.0157,0.9702
150,0.2551,0.6060,0.4468,0.1052,0.0694,-0.1549,0.1352,-0.3117,0.6017,9.92,0.00,0.00,0.00,0.260,0.28,8,0.0086,0.9169
175,0.4561,1.0262,0.7644,0.1052,0.1328,-0.1555,0.1352,-0.6292,0.9199,7.13,0.00,0.00,0.00,0.360,-0.10,8,0.0392,0.7958
200,0.8021,1.7780,1.2643,0.1136,0.1326,0.0841,0.1333,-1.1311,1.1802,4.92,0.00,0.00,0.00,0.301,-22.97,8,0.0190,0.5664
225,1.2860,1.2530,1.4649,0.2458,0.2705,0.1631,0.2758,-1.1890,1.3018,-5.02,0.00,0.00,0.00,0.924,-84.13,8,0.0154,0.1147
250,1.2986,-0.0103,1.2971,0.2458,0.2700,0.1632,0.2758,-1.0213,1.1339,-4.85,0.00,0.00,0.00,0.138,-85.79,8,0.0124,0.1316
275,1.2981,-0.0024,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0220,1.1346,-4.84,0.00,0.00,0.00,0.139,-85.82,8,0.0123,0.1340
300,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0220,1.1346,-4.84,0.00,0.00,0.00,0.139,-85.83,8,0.0123,0.1341
325,1.2982,-0.0025,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
350,1.2982,-0.0026,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
375,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
400,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
425,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
450,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
475,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
500,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
525,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
550,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
575,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
600,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
625,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
650,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
675,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
700,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
725,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
750,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
775,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
800,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
825,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
850,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
875,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
900,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
925,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
950,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
975,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
999,1.2982,-0.0027,1.2978,0.2458,0.2700,0.1632,0.2758,-1.0221,1.1346,-4.84,0.00,0.00,0.00,0.138,-85.83,8,0.0123,0.1341
