tick,pelvis_y_m,ap_com_error_m,ml_com_error_m,ankle_balance_rad,max_drive_saturation
0,1.0740,-0.0387,0.0000,0.0310,0.162
25,1.0233,-0.0397,-0.0005,0.0228,0.318
50,1.0180,-0.0007,-0.0015,-0.0153,0.355
75,1.0109,0.0540,0.0018,-0.0610,0.730
100,0.9986,0.1033,0.0067,-0.0951,1.168
125,1.0010,0.1282,0.0061,-0.1087,1.153
150,1.0063,0.1406,0.0059,-0.1167,1.081
175,1.0056,0.1537,0.0048,-0.1284,1.101
200,1.0076,0.1719,-0.0011,-0.1463,1.068
225,1.0088,0.2049,-0.0116,-0.1745,1.065
250,0.9981,0.2710,-0.0249,-0.1745,1.046
275,0.9549,0.4015,-0.0434,-0.1745,1.113
300,0.8309,0.6384,-0.0709,-0.1745,1.019
325,0.4731,0.9759,-0.1041,-0.1745,0.287
350,0.1825,1.1354,-0.1319,-0.1745,0.631
375,0.2039,1.0344,-0.1390,-0.1745,0.601
400,0.1673,1.1005,-0.1634,-0.1745,0.568
425,0.1263,1.1074,-0.1576,-0.1745,0.285
450,0.1263,1.1087,-0.1599,-0.1745,0.600
475,0.1263,1.1086,-0.1607,-0.1745,0.615
499,0.1263,1.1087,-0.1598,-0.1745,0.592
