tick,pelvis_y_m,ap_com_error_m,ml_com_error_m,ankle_balance_rad,max_drive_saturation
0,1.0748,-0.0221,0.0000,0.0177,0.102
25,1.0241,-0.0179,-0.0004,0.0036,0.096
50,1.0195,0.0304,-0.0004,-0.0430,0.416
75,1.0128,0.0929,0.0039,-0.0968,0.878
100,1.0060,0.1584,0.0075,-0.1483,1.253
125,1.0166,0.2229,0.0075,-0.1745,0.993
150,0.9940,0.3263,0.0116,-0.1745,1.092
175,0.9242,0.5146,0.0152,-0.1745,1.066
200,0.6922,0.8138,0.0156,-0.1745,0.543
225,0.1176,1.0577,0.0137,-0.1745,0.183
250,0.1362,1.0566,-0.0119,-0.1745,0.217
275,0.1260,1.0584,-0.0254,-0.1745,0.270
300,0.1260,1.0586,-0.0238,-0.1745,0.271
325,0.1260,1.0585,-0.0242,-0.1745,0.270
350,0.1260,1.0585,-0.0242,-0.1745,0.271
375,0.1260,1.0585,-0.0241,-0.1745,0.271
400,0.1260,1.0585,-0.0242,-0.1745,0.271
425,0.1260,1.0585,-0.0242,-0.1745,0.271
450,0.1260,1.0585,-0.0242,-0.1745,0.271
475,0.1260,1.0585,-0.0242,-0.1745,0.271
499,0.1260,1.0585,-0.0242,-0.1745,0.271
