tick,com_ap,com_vel_ap,capture_ap,cop_ap,support_ap_min,support_ap_max,margin_front,margin_rear,ankle_target_deg,ankle_actual_deg,ankle_demand,foot_pitch_deg,contacts,slip_mps
0,-0.0318,0.0000,-0.0318,nan,-0.0318,-0.0318,0.0000,0.0000,0.00,0.00,0.000,0.00,0,0.0000
10,-0.0318,0.0000,-0.0318,-0.0715,-0.1547,0.1353,0.1671,0.1229,0.00,-0.10,0.128,0.07,8,0.0041
20,-0.0237,0.1472,0.0255,-0.0514,-0.1548,0.1354,0.1591,0.1310,0.00,-1.41,0.058,-0.27,8,0.0286
30,-0.0130,0.0983,0.0199,-0.0717,-0.1548,0.1354,0.1484,0.1417,0.00,-2.30,0.154,0.17,8,0.0003
40,0.0004,0.1567,0.0528,-0.0595,-0.1548,0.1354,0.1350,0.1551,0.00,-2.55,0.145,0.08,8,0.0010
50,0.0181,0.2032,0.0859,-0.0664,-0.1548,0.1354,0.1173,0.1728,0.00,-3.37,0.202,0.29,8,0.0024
60,0.0437,0.2962,0.1426,-0.0404,-0.1548,0.1354,0.0916,0.1985,0.00,-4.51,0.290,0.20,8,0.0004
70,0.0771,0.3662,0.1991,-0.0121,-0.1548,0.1354,0.0582,0.2319,0.00,-6.51,0.433,0.13,8,0.0013
80,0.1172,0.4309,0.2603,0.0212,-0.1548,0.1354,0.0182,0.2720,0.00,-8.89,0.595,0.09,8,0.0026
90,0.1638,0.5004,0.3292,0.0546,-0.1548,0.1354,-0.0285,0.3186,0.00,-11.56,0.780,0.09,8,0.0102
100,0.2179,0.5803,0.4084,0.0985,-0.1548,0.1354,-0.0825,0.3726,0.00,-14.69,0.997,0.03,8,0.0121
110,0.2806,0.6772,0.5009,0.1318,-0.1551,0.1354,-0.1452,0.4357,0.00,-17.58,1.228,-0.85,8,0.0251
120,0.3553,0.8235,0.6201,0.1348,-0.1551,0.1351,-0.2202,0.5104,0.00,-19.66,1.324,-3.57,8,0.0496
130,0.4484,1.0409,0.7788,0.1337,-0.0165,0.1342,-0.3142,0.4649,0.00,-19.83,1.276,-9.43,8,0.0334
140,0.5660,1.3075,0.9733,0.1330,0.0697,0.1339,-0.4321,0.4963,0.00,-17.93,1.102,-18.65,8,0.0107
150,0.7108,1.5792,1.1861,0.1328,0.0991,0.1333,-0.5775,0.6117,0.00,-14.52,0.847,-31.05,8,0.0129
160,0.8806,1.7980,1.3871,0.1320,0.1122,0.1322,-0.7483,0.7684,0.00,-9.34,0.471,-47.33,8,0.0146
170,1.0657,1.8708,1.5277,0.1315,0.1312,0.1726,-0.8931,0.9345,0.00,-1.15,0.138,-68.87,8,0.1814
180,1.2484,1.7786,1.5740,0.1684,0.1666,0.2680,-0.9804,1.0818,0.00,2.47,0.114,-86.85,8,0.8988
190,1.3598,0.1112,1.3757,0.3124,0.2134,0.3128,-1.0471,1.1464,0.00,6.78,0.494,-79.33,8,0.4664
200,1.3693,0.0114,1.3710,0.3315,0.2316,0.3322,-1.0372,1.1377,0.00,5.95,0.351,-82.51,8,0.0262
210,1.3668,-0.0421,1.3608,0.3315,0.2316,0.3322,-1.0346,1.1352,0.00,5.02,0.290,-83.25,8,0.0121
220,1.3640,-0.0184,1.3614,0.3313,0.2311,0.3318,-1.0321,1.1329,0.00,4.26,0.257,-83.72,8,0.0189
230,1.3638,-0.0030,1.3634,0.3313,0.2311,0.3318,-1.0320,1.1327,0.00,4.28,0.263,-83.71,8,0.0191
240,1.3639,-0.0040,1.3633,0.3313,0.2311,0.3318,-1.0320,1.1328,0.00,4.28,0.263,-83.71,8,0.0191
250,1.3639,-0.0042,1.3633,0.3313,0.2311,0.3318,-1.0320,1.1328,0.00,4.28,0.263,-83.71,8,0.0191
260,1.3639,-0.0041,1.3633,0.3313,0.2311,0.3318,-1.0320,1.1328,0.00,4.28,0.263,-83.71,8,0.0000
270,1.3639,0.0000,1.3639,nan,1.3639,1.3639,0.0000,0.0000,0.00,4.28,0.270,-83.71,0,0.0000
280,1.3639,0.0000,1.3639,nan,1.3639,1.3639,0.0000,0.0000,0.00,4.28,0.270,-83.71,0,0.0000
290,1.3639,0.0000,1.3639,nan,1.3639,1.3639,0.0000,0.0000,0.00,4.28,0.270,-83.71,0,0.0000
299,1.3639,0.0000,1.3639,nan,1.3639,1.3639,0.0000,0.0000,0.00,4.28,0.270,-83.71,0,0.0000
