phase,direction,joint,expected_deg,actual_deg,parity_error_deg,flexion_deg,abduction_deg,axial_deg,limit_low_deg,limit_high_deg,limit_secondary_deg
0.00,Descent,left_upper_arm,88.9501,88.9502,0.000000,62.808,47.978,-40.810,-100.0,100.0,105.0
0.00,Descent,right_upper_arm,88.9502,88.9503,0.000000,-62.808,-47.978,-40.810,-100.0,100.0,105.0
0.00,Descent,left_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.00,Descent,right_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.00,Descent,left_hand,76.1577,76.1577,0.000000,-70.000,11.094,-27.874,-70.0,70.0,30.0
0.00,Descent,right_hand,76.1577,76.1577,0.000000,70.000,-11.093,-27.874,-70.0,70.0,30.0
0.25,Descent,left_upper_arm,91.3295,91.3296,0.000000,65.210,45.450,-44.978,-100.0,100.0,105.0
0.25,Descent,right_upper_arm,91.3296,91.3296,0.000000,-65.211,-45.450,-44.978,-100.0,100.0,105.0
0.25,Descent,left_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.25,Descent,right_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.25,Descent,left_hand,76.1577,76.1577,0.000000,-70.000,11.094,-27.874,-70.0,70.0,30.0
0.25,Descent,right_hand,76.1577,76.1577,0.000000,70.000,-11.093,-27.874,-70.0,70.0,30.0
0.55,Descent,left_upper_arm,92.5805,92.5806,0.000000,66.389,44.151,-47.057,-100.0,100.0,105.0
0.55,Descent,right_upper_arm,92.5806,92.5807,0.000000,-66.389,-44.151,-47.057,-100.0,100.0,105.0
0.55,Descent,left_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.55,Descent,right_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.55,Descent,left_hand,76.1577,76.1577,0.000000,-70.000,11.094,-27.874,-70.0,70.0,30.0
0.55,Descent,right_hand,76.1577,76.1577,0.000000,70.000,-11.093,-27.874,-70.0,70.0,30.0
1.00,Descent,left_upper_arm,92.8355,92.8356,0.000000,66.623,43.888,-47.473,-100.0,100.0,105.0
1.00,Descent,right_upper_arm,92.8356,92.8356,0.000000,-66.623,-43.889,-47.473,-100.0,100.0,105.0
1.00,Descent,left_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
1.00,Descent,right_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
1.00,Descent,left_hand,76.1577,76.1577,0.000000,-70.000,11.094,-27.874,-70.0,70.0,30.0
1.00,Descent,right_hand,76.1577,76.1577,0.000000,70.000,-11.093,-27.874,-70.0,70.0,30.0
0.00,Ascent,left_upper_arm,88.9501,88.9502,0.000000,62.808,47.978,-40.810,-100.0,100.0,105.0
0.00,Ascent,right_upper_arm,88.9502,88.9503,0.000000,-62.808,-47.978,-40.810,-100.0,100.0,105.0
0.00,Ascent,left_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.00,Ascent,right_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.00,Ascent,left_hand,76.1577,76.1577,0.000000,-70.000,11.094,-27.874,-70.0,70.0,30.0
0.00,Ascent,right_hand,76.1577,76.1577,0.000000,70.000,-11.093,-27.874,-70.0,70.0,30.0
0.25,Ascent,left_upper_arm,91.3295,91.3296,0.000000,65.210,45.450,-44.978,-100.0,100.0,105.0
0.25,Ascent,right_upper_arm,91.3296,91.3296,0.000000,-65.211,-45.450,-44.978,-100.0,100.0,105.0
0.25,Ascent,left_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.25,Ascent,right_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.25,Ascent,left_hand,76.1577,76.1577,0.000000,-70.000,11.094,-27.874,-70.0,70.0,30.0
0.25,Ascent,right_hand,76.1577,76.1577,0.000000,70.000,-11.093,-27.874,-70.0,70.0,30.0
0.55,Ascent,left_upper_arm,92.5805,92.5806,0.000000,66.389,44.151,-47.057,-100.0,100.0,105.0
0.55,Ascent,right_upper_arm,92.5806,92.5807,0.000000,-66.389,-44.151,-47.057,-100.0,100.0,105.0
0.55,Ascent,left_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.55,Ascent,right_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
0.55,Ascent,left_hand,76.1577,76.1577,0.000000,-70.000,11.094,-27.874,-70.0,70.0,30.0
0.55,Ascent,right_hand,76.1577,76.1577,0.000000,70.000,-11.093,-27.874,-70.0,70.0,30.0
1.00,Ascent,left_upper_arm,92.8355,92.8356,0.000000,66.623,43.888,-47.473,-100.0,100.0,105.0
1.00,Ascent,right_upper_arm,92.8356,92.8356,0.000000,-66.623,-43.889,-47.473,-100.0,100.0,105.0
1.00,Ascent,left_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
1.00,Ascent,right_forearm,118.7948,118.7948,0.000000,118.795,0.000,0.000,-5.0,145.0,0.0
1.00,Ascent,left_hand,76.1577,76.1577,0.000000,-70.000,11.094,-27.874,-70.0,70.0,30.0
1.00,Ascent,right_hand,76.1577,76.1577,0.000000,70.000,-11.093,-27.874,-70.0,70.0,30.0
