t_s,joint,target_deg,tracking_error_deg
0.0,left_upper_arm,88.9502,88.9502
0.0,right_upper_arm,88.9503,88.9503
0.0,left_forearm,118.7948,118.7948
0.0,right_forearm,118.7948,118.7948
0.0,left_hand,76.1577,76.1577
0.0,right_hand,76.1577,76.1577
2.0,left_upper_arm,88.9502,24.2258
2.0,right_upper_arm,88.9503,21.7399
2.0,left_forearm,118.7948,27.6513
2.0,right_forearm,118.7948,27.3344
2.0,left_hand,76.1577,2.0876
2.0,right_hand,76.1577,22.0864
5.0,left_upper_arm,88.9502,24.2260
5.0,right_upper_arm,88.9503,21.7402
5.0,left_forearm,118.7948,27.6514
5.0,right_forearm,118.7948,27.3310
5.0,left_hand,76.1577,2.0849
5.0,right_hand,76.1577,22.0846
10.0,left_upper_arm,88.9502,24.2260
10.0,right_upper_arm,88.9503,21.7401
10.0,left_forearm,118.7948,27.6513
10.0,right_forearm,118.7948,27.3311
10.0,left_hand,76.1577,2.0850
10.0,right_hand,76.1577,22.0849
t_s,com_x,com_y,com_z,com_ap_error_m,com_ml_error_m,pelvis_height_m,neck_error_deg,left_contact,right_contact,failure_reason
0.0,0.0000,1.0636,-0.0318,-0.0221,0.0000,0.9816,0.000,True,True,NONE
2.0,0.0007,1.0480,-0.0289,-0.0192,0.0008,0.9804,0.358,True,True,NONE
5.0,0.0007,1.0480,-0.0291,-0.0194,0.0007,0.9804,0.358,True,True,NONE
10.0,0.0007,1.0480,-0.0291,-0.0194,0.0007,0.9804,0.356,True,True,NONE
